"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"C-PCA","Int-Euclidean",5,0.931583333333333,0.0613721461187214,0.930185504179278,0.063417985251536,0.235333333333333,0.0293333333333333,1,"I"
"C-PCA","Int-Euclidean",10,0.93288107791447,0.0508447568834212,0.927141549159229,0.058435237078941,0.349333333333333,0.0573333333333333,1,"I"
"C-PCA","Int-Euclidean",20,0.936551020408163,0.0384390847247991,0.923164556500137,0.0532053216523928,0.469,0.0858333333333333,1,"I"
"C-PCA","Int-Euclidean",40,0.94375173973556,0.0244533750869868,0.917516933266819,0.0480568920465934,0.609583333333333,0.112916666666667,1,"I"
"V-PCA","Int-Euclidean",5,0.932447488584475,0.0590776255707762,0.931111958723987,0.0611314811624874,0.237333333333333,0.024,1,"I"
"V-PCA","Int-Euclidean",10,0.931865846514353,0.0525635618043351,0.927143703033678,0.05805750614499,0.346666666666667,0.057,1,"I"
"V-PCA","Int-Euclidean",20,0.936136982065553,0.0386215213358071,0.923210039551384,0.0526205095692759,0.466833333333333,0.0856666666666666,1,"I"
"V-PCA","Int-Euclidean",40,0.943576026443981,0.0240066109951287,0.917583682485264,0.0473521370461301,0.609333333333333,0.110666666666667,1,"I"
"MR-PCA","Int-Euclidean",5,0.738428082191781,0.268691780821918,0.74921077671416,0.270747594556685,0.0766666666666667,0.004,1,"I"
"MR-PCA","Int-Euclidean",10,0.735240187463386,0.224338605741066,0.742354221616947,0.249991505782378,0.136333333333333,0.027,1,"I"
"MR-PCA","Int-Euclidean",20,0.724900742115028,0.191309214594929,0.731821883767232,0.232921288282008,0.197166666666667,0.0401666666666667,1,"I"
"MR-PCA","Int-Euclidean",40,0.716098469032707,0.147402226861517,0.719284109303359,0.213350043970031,0.2865,0.0615833333333333,1,"I"
"SPCA","Int-Euclidean",5,0.931583333333333,0.0613721461187214,0.930185504179278,0.063417985251536,0.235333333333333,0.0293333333333333,1,"I"
"SPCA","Int-Euclidean",10,0.93288107791447,0.0508447568834212,0.927141549159229,0.058435237078941,0.349333333333333,0.0573333333333333,1,"I"
"SPCA","Int-Euclidean",20,0.936551020408163,0.0384390847247991,0.923164556500137,0.0532053216523928,0.469,0.0858333333333333,1,"I"
"SPCA","Int-Euclidean",40,0.94375173973556,0.0244533750869868,0.917516933266819,0.0480568920465934,0.609583333333333,0.112916666666667,1,"I"
"IMDS","Int-Euclidean",5,0.559730593607306,-0.0282922374429224,0.556742254595566,-0.031878747610962,0.0253333333333333,0.000666666666666666,1,"I"
"IMDS","Int-Euclidean",10,0.573021089630932,-0.0401980082015231,0.560341501169126,-0.0361288121313332,0.045,-0.00133333333333333,1,"I"
"IMDS","Int-Euclidean",20,0.586776437847866,-0.033321583178726,0.562421770934456,-0.0343693794340166,0.0825,-0.00383333333333333,1,"I"
"IMDS","Int-Euclidean",40,0.61536099512874,-0.0257359081419626,0.565085133900537,-0.0324177266469434,0.148666666666667,-0.0205833333333333,1,"I"
"Int-UMAP","Int-Euclidean",5,0.779163242009132,-0.0996872146118722,0.781641894496805,-0.101262806473575,0.117333333333333,0.016,1,"I"
"Int-UMAP","Int-Euclidean",10,0.777503807850029,-0.0960527240773287,0.777131124437602,-0.0989882577765537,0.167333333333333,0.004,1,"I"
"Int-UMAP","Int-Euclidean",20,0.778850340136054,-0.104504638218924,0.771794164935611,-0.100413445219863,0.252166666666667,0.00716666666666667,1,"I"
"Int-UMAP","Int-Euclidean",40,0.787717814892136,-0.10662630480167,0.765219655194739,-0.0998430150580647,0.363416666666667,0.00716666666666665,1,"I"
"C-PCA","Hausdorff",5,0.942559360730594,0.0411552511415525,0.939199826102649,0.0469857519009769,0.241333333333333,0.044,1,"I"
"C-PCA","Hausdorff",10,0.946654364381957,0.0330978324545986,0.937736535866769,0.0425467485169661,0.356666666666667,0.0623333333333334,1,"I"
"C-PCA","Hausdorff",20,0.954735312306741,0.0217414965986394,0.935777014202047,0.0374395957432226,0.483166666666667,0.0893333333333333,1,"I"
"C-PCA","Hausdorff",40,0.970490431454419,0.0120727209464162,0.933201345776775,0.0333350620404742,0.664833333333333,0.1025,1,"I"
"V-PCA","Hausdorff",5,0.941929223744292,0.0425205479452054,0.938571170772121,0.0485011196692669,0.242666666666667,0.0453333333333333,1,"I"
"V-PCA","Hausdorff",10,0.946931458699473,0.0323772700644406,0.937555725552489,0.0430642801799184,0.356666666666667,0.0656666666666667,1,"I"
"V-PCA","Hausdorff",20,0.954611935683364,0.0218163265306123,0.935531036050649,0.0380243032057697,0.481833333333333,0.0895,1,"I"
"V-PCA","Hausdorff",40,0.970402226861517,0.0121517049408489,0.932979283433822,0.0338460820320761,0.66525,0.104416666666667,1,"I"
"MR-PCA","Hausdorff",5,0.753159817351598,0.228908675799087,0.769034049429502,0.224135475879945,0.0906666666666667,0.0146666666666667,1,"I"
"MR-PCA","Hausdorff",10,0.739540714704159,0.207212653778559,0.756824726969932,0.21522677780229,0.135333333333333,0.0263333333333333,1,"I"
"MR-PCA","Hausdorff",20,0.719104514533086,0.172770562770563,0.741250267352099,0.200905507389949,0.185666666666667,0.0491666666666667,1,"I"
"MR-PCA","Hausdorff",40,0.701374043145442,0.119205288796103,0.724238180005562,0.181328544800347,0.262166666666667,0.0724166666666667,1,"I"
"SPCA","Hausdorff",5,0.942559360730594,0.0411552511415525,0.939199826102649,0.0469857519009769,0.241333333333333,0.044,1,"I"
"SPCA","Hausdorff",10,0.946654364381957,0.0330978324545986,0.937736535866769,0.0425467485169661,0.356666666666667,0.0623333333333334,1,"I"
"SPCA","Hausdorff",20,0.954735312306741,0.0217414965986394,0.935777014202047,0.0374395957432226,0.483166666666667,0.0893333333333333,1,"I"
"SPCA","Hausdorff",40,0.970490431454419,0.0120727209464162,0.933201345776775,0.0333350620404742,0.664833333333333,0.1025,1,"I"
"IMDS","Hausdorff",5,0.610262557077626,-0.0877214611872146,0.614772333915725,-0.104722625521897,0.0406666666666667,0.004,1,"I"
"IMDS","Hausdorff",10,0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,1,"I"
"IMDS","Hausdorff",20,0.608031539888683,-0.0542102659245517,0.604731089339081,-0.0837034559930311,0.109833333333333,-0.00933333333333333,1,"I"
"IMDS","Hausdorff",40,0.614642310368824,-0.0431468336812805,0.598603902651056,-0.0763511756041074,0.196833333333333,-0.01275,1,"I"
"Int-UMAP","Hausdorff",5,0.905545662100457,-0.00843835616438349,0.908906661416935,-0.00416779453863883,0.246666666666667,0.0286666666666667,1,"I"
"Int-UMAP","Hausdorff",10,0.90290158172232,-0.00934856473345047,0.903369252221768,-0.00514824198249789,0.285333333333333,0.018,1,"I"
"Int-UMAP","Hausdorff",20,0.907058750773036,-0.0131935683364255,0.89844826125658,-0.00679852406352897,0.378833333333333,0.0166666666666667,1,"I"
"Int-UMAP","Hausdorff",40,0.922912317327766,-0.01592832289492,0.89386893475028,-0.00839085313040315,0.531916666666667,0.0126666666666667,1,"I"
"C-PCA","Ichino-Yaguchi",5,0.922001141552511,0.077920091324201,0.919775081821985,0.0834900870307027,0.243333333333333,0.0506666666666667,1,"I"
"C-PCA","Ichino-Yaguchi",10,0.923912712360867,0.0647978910369069,0.917377016916128,0.0766947161606444,0.342333333333333,0.0713333333333333,1,"I"
"C-PCA","Ichino-Yaguchi",20,0.92660791589363,0.0478379715522573,0.913424782657337,0.069231538855666,0.463833333333333,0.0993333333333334,1,"I"
"C-PCA","Ichino-Yaguchi",40,0.926408489909534,0.0212247738343772,0.905929020120153,0.0598000843639143,0.583833333333333,0.125916666666667,1,"I"
