"scenario","Method","Metric","K","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"I","C-PCA","Centers-Euclidean",5,0.840150593607306,0.00655329045990964,0.00131065809198193,0.828777168949772,0.849499315068493,0.157968767123288,0.00992816634367734,0.00198563326873547,0.146203196347032,0.177097716894977,0.841444511159781,0.00675517887209129,0.00135103577441826,0.830665633125805,0.850692882512652,0.165924896030711,0.0116273977524209,0.00232547955048418,0.150676001345244,0.185546406804964,0.150026666666667,0.0110595693439697,0.00221191386879394,0.132933333333333,0.1704,0.0306666666666667,0.00922757542088648,0.0018455150841773,0.0141333333333333,0.046
"II","C-PCA","Centers-Euclidean",5,0.922194797979798,0.0038707064710834,0.00077414129421668,0.914910069444444,0.929638636363637,0.128620277777778,0.00722416879239151,0.0014448337584783,0.114163383838384,0.141849684343435,0.923031676241788,0.0040874768894483,0.00081749537788966,0.915837660463454,0.92998600153935,0.130969762775228,0.0078240332461802,0.00156480664923604,0.117205200802661,0.144486484876806,0.33642,0.0165239283565783,0.00330478567131567,0.3097,0.36195,0.07134,0.00758455118426046,0.00151691023685209,0.059,0.0833
"III","C-PCA","Centers-Euclidean",5,0.837974583333333,0.00801502862251947,0.00160300572450389,0.825109375,0.85040625,0.147935,0.011178529640361,0.0022357059280722,0.132553125,0.167415625,0.837622058878123,0.00856045601074611,0.00171209120214922,0.822736273527119,0.849474199057059,0.155577428815384,0.0135343315286721,0.00270686630573442,0.131825444555815,0.17565296803653,0.18836,0.0175211301005386,0.00350422602010772,0.1616,0.2208,0.03372,0.00859030461237163,0.00171806092247433,0.0192,0.0474
"IV","C-PCA","Centers-Euclidean",5,0.90442436803653,0.0166647991882396,0.00333295983764793,0.87856704109589,0.937454885844749,0.0902802575342465,0.0200500990316635,0.0040100198063327,0.0527504109589041,0.124861881278539,0.903689479243054,0.0150959992667107,0.00301919985334214,0.880660839464855,0.933867361271747,0.0949082394861826,0.0191323209535364,0.00382646419070727,0.0587682594679726,0.128096122581227,0.228101866666667,0.0265341878366033,0.00530683756732067,0.19,0.281466666666667,0.0384218666666667,0.0120823758271968,0.00241647516543936,0.017128,0.058368
"I","IMDS","Centers-Euclidean",5,0.501001415525114,0.0074437170218053,0.00148874340436106,0.484786529680365,0.50974200913242,-0.00223041095890411,0.0134002784260673,0.00268005568521346,-0.0229470319634704,0.0225109589041096,0.50018366349222,0.00789812631375264,0.00157962526275053,0.484476322891289,0.511777698484961,-0.00229897220103191,0.014485351508559,0.0028970703017118,-0.03145584893898,0.0240255268187447,0.0167466666666667,0.0038792897402603,0.000775857948052061,0.0104,0.0221333333333333,0.000453333333333333,0.00301059856236326,0.000602119712472651,-0.0056,0.00586666666666666
"II","IMDS","Centers-Euclidean",5,0.613037222222222,0.0235204550197124,0.00470409100394248,0.568618339646465,0.644809943181819,-0.0751445202020202,0.0234484336335426,0.00468968672670852,-0.106085858585858,-0.025132196969697,0.618691418583982,0.0234841035069838,0.00469682070139677,0.574656451295161,0.648982838084243,-0.0828011554284982,0.025738475254888,0.00514769505097759,-0.114066288243218,-0.0291027492967555,0.0328,0.00583853934359157,0.00116770786871831,0.01935,0.0408,-0.00208,0.00283276955175202,0.000566553910350404,-0.0076,0.00185
"III","IMDS","Centers-Euclidean",5,0.506051666666667,0.0112612743176618,0.00225225486353237,0.485431770833333,0.525680208333333,-0.00372499999999999,0.0129657817993016,0.00259315635986032,-0.0322427083333333,0.0150614583333334,0.503870449567509,0.0110187145671435,0.00220374291342869,0.486439581245127,0.52447586962171,-0.00272026580539778,0.0130584259521272,0.00261168519042544,-0.03033990422096,0.0168387719493634,0.02636,0.00595035012975427,0.00119007002595085,0.0182,0.0392,0.00096,0.004773887304912,0.000954777460982401,-0.0062,0.0106
"IV","IMDS","Centers-Euclidean",5,0.547417174429224,0.0124672065194813,0.00249344130389625,0.531665835616439,0.574093735159817,-0.0547546264840183,0.0215906452538587,0.00431812905077175,-0.107535506849315,-0.0271258812785388,0.547623258836364,0.0124398009636421,0.00248796019272841,0.529426321496829,0.574698371106791,-0.0617495347261527,0.0228283454215202,0.00456566908430404,-0.116540793201598,-0.0347404188301302,0.0291909333333333,0.00516915742113205,0.00103383148422641,0.0213333333333333,0.0382133333333333,0.00114933333333333,0.00348981162603158,0.000697962325206316,-0.004912,0.0076
"I","Int-UMAP","Centers-Euclidean",5,0.60741196347032,0.0108700993625712,0.00217401987251425,0.590947260273972,0.626567123287671,-0.090069406392694,0.0181527918830146,0.00363055837660292,-0.122468493150685,-0.0673433789954339,0.612707544028021,0.0115752556530454,0.00231505113060908,0.596097095422071,0.632620149125182,-0.0916687977294912,0.0188395941886892,0.00376791883773784,-0.128345366701938,-0.0634028430576404,0.0890933333333333,0.0108215833715158,0.00216431667430316,0.0673333333333333,0.104,-0.000720000000000001,0.00753736372028389,0.00150747274405678,-0.0157333333333333,0.0109333333333333
"II","Int-UMAP","Centers-Euclidean",5,0.911975656565657,0.0362122826359126,0.00724245652718253,0.855062405303031,0.959451799242424,0.0135148484848485,0.0114649252685827,0.00229298505371654,-0.00330410353535358,0.0366827651515151,0.940975836105079,0.0252820350188627,0.00505640700377254,0.900696213245737,0.973600624673575,0.0110369430165755,0.00890011862390485,0.00178002372478097,-0.000451751010198193,0.0299811200601079,0.61411,0.0333689195459887,0.00667378390919774,0.56715,0.663,-0.01751,0.00703876172822086,0.00140775234564417,-0.0327,-0.00775000000000001
"III","Int-UMAP","Centers-Euclidean",5,0.511008958333333,0.00885289797257601,0.0017705795945152,0.4968609375,0.525950520833333,-0.00444291666666666,0.0182560201193534,0.00365120402387067,-0.0363177083333333,0.0289541666666667,0.509573768422616,0.00875945036742538,0.00175189007348508,0.497339532984371,0.525663585402977,-0.0064201358725916,0.0203307042030576,0.00406614084061151,-0.0426093477373129,0.0259415673608791,0.02864,0.00550666263115268,0.00110133252623054,0.0192,0.0384,-0.00068,0.00310537169004506,0.000621074338009013,-0.0064,0.0054
"IV","Int-UMAP","Centers-Euclidean",5,0.818025139726027,0.0270163435028288,0.00540326870056576,0.76547104109589,0.85901894063927,0.0493373333333334,0.0331619470711905,0.0066323894142381,0.00400797260273974,0.119846703196347,0.83345297553133,0.0245526533836285,0.0049105306767257,0.786313129742189,0.870273224401407,0.0528371530706827,0.0303557127721928,0.00607114255443856,0.0119776820795498,0.116591421610847,0.278972266666667,0.0275646036901058,0.00551292073802115,0.228266666666667,0.3216,0.0135184,0.00975742400735252,0.0019514848014705,-0.00192266666666667,0.0330133333333333
