"scenario","Metric","index","K","tau.mean","tau.q025","tau.q975"
"I","Centers-Euclidean","B_LC",5,0.81713749481128,0.433333333333333,1
"II","Centers-Euclidean","B_LC",5,0.787839032595536,0.310410489494777,1
"III","Centers-Euclidean","B_LC",5,0.869966073896984,0.5,1
"IV","Centers-Euclidean","B_LC",5,0.792056203499758,0.422758591385022,1
"I","Hausdorff","B_LC",5,0.781501233680926,0.380585537112531,1
"II","Hausdorff","B_LC",5,0.863576285325505,0.496847202726495,1
"III","Hausdorff","B_LC",5,0.722874577780363,0.405392720475077,1
"IV","Hausdorff","B_LC",5,0.817238895552643,0.517898135150997,1
"I","Ichino-Yaguchi","B_LC",5,0.83977989369609,0.571428571428571,1
"II","Ichino-Yaguchi","B_LC",5,0.811100123177126,0.367553346637634,1
"III","Ichino-Yaguchi","B_LC",5,0.684560378500043,0.39047619047619,1
"IV","Ichino-Yaguchi","B_LC",5,0.612351386939316,0.28,0.866666666666667
"I","Int-Euclidean","B_LC",5,0.824362707105257,0.431807060856475,1
"II","Int-Euclidean","B_LC",5,0.799949256049639,0.413333333333333,1
"III","Int-Euclidean","B_LC",5,0.447965589139925,-0.470878305668796,0.914285714285714
"IV","Int-Euclidean","B_LC",5,0.668402451696791,0.226666666666667,1
"I","Wasserstein","B_LC",5,0.835858998666478,0.457142857142857,1
"II","Wasserstein","B_LC",5,0.786692890403608,0.314285714285714,1
"III","Wasserstein","B_LC",5,0.645949695116682,0.228571428571429,0.963624111659432
"IV","Wasserstein","B_LC",5,0.624929385608886,0.281839060923348,1
"I","Centers-Euclidean","B_RE",5,0.9,0.5,1
"II","Centers-Euclidean","B_RE",5,0.904,0.466666666666667,1
"III","Centers-Euclidean","B_RE",5,0.913333333333333,0.5,1
"IV","Centers-Euclidean","B_RE",5,0.872,0.466666666666667,1
"I","Hausdorff","B_RE",5,0.988571428571428,0.885714285714286,1
"II","Hausdorff","B_RE",5,0.925333333333333,0.573333333333333,1
"III","Hausdorff","B_RE",5,0.971428571428571,0.8,1
"IV","Hausdorff","B_RE",5,0.882666666666667,0.466666666666667,1
"I","Ichino-Yaguchi","B_RE",5,0.942857142857143,0.714285714285714,1
"II","Ichino-Yaguchi","B_RE",5,0.930666666666667,0.68,1
"III","Ichino-Yaguchi","B_RE",5,0.954285714285714,0.714285714285714,1
"IV","Ichino-Yaguchi","B_RE",5,0.909333333333333,0.466666666666667,1
"I","Int-Euclidean","B_RE",5,0.96,0.714285714285714,1
"II","Int-Euclidean","B_RE",5,0.936,0.626666666666667,1
"III","Int-Euclidean","B_RE",5,0.777142857142857,0.371428571428571,1
"IV","Int-Euclidean","B_RE",5,0.968,0.866666666666667,1
"I","Wasserstein","B_RE",5,0.965714285714286,0.714285714285714,1
"II","Wasserstein","B_RE",5,0.946666666666667,0.68,1
"III","Wasserstein","B_RE",5,0.965714285714286,0.657142857142857,1
"IV","Wasserstein","B_RE",5,0.914666666666667,0.68,1
"I","Centers-Euclidean","B_TC",5,0.74,0.5,1
"II","Centers-Euclidean","B_TC",5,0.824,0.466666666666667,1
"III","Centers-Euclidean","B_TC",5,0.726666666666667,0.433333333333333,1
"IV","Centers-Euclidean","B_TC",5,0.520141200454416,0.276026223736942,0.866666666666667
"I","Hausdorff","B_TC",5,0.837032803990902,0.714285714285714,1
"II","Hausdorff","B_TC",5,0.754666666666667,0.146666666666667,1
"III","Hausdorff","B_TC",5,0.84,0.514285714285714,1
"IV","Hausdorff","B_TC",5,0.758269289040361,0.36,1
"I","Ichino-Yaguchi","B_TC",5,0.84,0.714285714285714,1
"II","Ichino-Yaguchi","B_TC",5,0.816561573424217,0.445615734242165,1
"III","Ichino-Yaguchi","B_TC",5,0.8,0.571428571428571,1
"IV","Ichino-Yaguchi","B_TC",5,0.813333333333333,0.493333333333333,1
"I","Int-Euclidean","B_TC",5,0.885714285714286,0.714285714285714,1
"II","Int-Euclidean","B_TC",5,0.827977004656505,0.546666666666667,1
"III","Int-Euclidean","B_TC",5,0.648461375419473,0.0285714285714286,1
"IV","Int-Euclidean","B_TC",5,0.785310337989839,0.28,1
"I","Wasserstein","B_TC",5,0.871318518276616,0.714285714285714,1
"II","Wasserstein","B_TC",5,0.813333333333333,0.466666666666667,1
"III","Wasserstein","B_TC",5,0.862857142857143,0.571428571428571,1
"IV","Wasserstein","B_TC",5,0.784935955707027,0.386666666666667,1
"I","Centers-Euclidean","Q_LC",5,0.809282032302755,0.5,1
"II","Centers-Euclidean","Q_LC",5,0.87870274555082,0.56,1
"III","Centers-Euclidean","Q_LC",5,0.785230731272177,0.433333333333333,1
"IV","Centers-Euclidean","Q_LC",5,0.425874446052747,-0.166666666666667,1
"I","Hausdorff","Q_LC",5,0.828131215963608,0.39203174421748,1
"II","Hausdorff","Q_LC",5,0.887191835855184,0.547372668938746,1
"III","Hausdorff","Q_LC",5,0.890768252516841,0.657142857142857,1
"IV","Hausdorff","Q_LC",5,0.514309775638614,0.142857142857143,0.857142857142857
"I","Ichino-Yaguchi","Q_LC",5,0.770695556805626,0.285714285714286,1
"II","Ichino-Yaguchi","Q_LC",5,0.865911275347279,0.381756934696581,1
"III","Ichino-Yaguchi","Q_LC",5,0.826464869095889,0.571428571428571,1
"IV","Ichino-Yaguchi","Q_LC",5,0.606939163738427,0.222758591385022,0.979655069847577
"I","Int-Euclidean","Q_LC",5,0.894175661133759,0.714285714285714,1
"II","Int-Euclidean","Q_LC",5,0.922986605628867,0.725714285714286,1
"III","Int-Euclidean","Q_LC",5,0.838644090823784,0.657142857142857,1
"IV","Int-Euclidean","Q_LC",5,0.707084814902564,0.242306877097367,1
"I","Wasserstein","Q_LC",5,0.768994099868438,0.285714285714286,1
"II","Wasserstein","Q_LC",5,0.914157540716333,0.660820978989553,1
"III","Wasserstein","Q_LC",5,0.854668202677053,0.571428571428571,1
"IV","Wasserstein","Q_LC",5,0.553589082419799,0.140919530461674,1
"I","Centers-Euclidean","Q_RE",5,0.92,0.5,1
"II","Centers-Euclidean","Q_RE",5,0.872,0.413333333333333,1
"III","Centers-Euclidean","Q_RE",5,0.906666666666667,0.433333333333333,1
"IV","Centers-Euclidean","Q_RE",5,0.904,0.546666666666667,1
"I","Hausdorff","Q_RE",5,0.965714285714286,0.714285714285714,1
"II","Hausdorff","Q_RE",5,0.834666666666667,0.306666666666667,1
"III","Hausdorff","Q_RE",5,0.977142857142857,0.714285714285714,1
"IV","Hausdorff","Q_RE",5,0.962666666666667,0.813333333333333,1
"I","Ichino-Yaguchi","Q_RE",5,0.954285714285714,0.714285714285714,1
"II","Ichino-Yaguchi","Q_RE",5,0.872,0.28,1
"III","Ichino-Yaguchi","Q_RE",5,0.988571428571428,0.885714285714286,1
"IV","Ichino-Yaguchi","Q_RE",5,0.914666666666667,0.6,1
"I","Int-Euclidean","Q_RE",5,0.954285714285714,0.714285714285714,1
"II","Int-Euclidean","Q_RE",5,0.866666666666667,0.413333333333333,1
"III","Int-Euclidean","Q_RE",5,0.931428571428571,0.714285714285714,1
"IV","Int-Euclidean","Q_RE",5,0.957333333333333,0.733333333333333,1
"I","Wasserstein","Q_RE",5,0.965714285714286,0.714285714285714,1
