"arm","par","Method","n_breakpoints","n_distinct_rankings","n_distinct_idx","range_Q_TC","range_B_TC","range_Q_RE","range_B_RE","range_Q_LC","range_B_LC"
"Face","lambda","C-PCA",3134,3135,197,0.00857699805068224,0.0171539961013646,0.0191766240900976,0.0163439088037358,0.0518518518518518,0.0518518518518518
"Face","lambda","V-PCA",3105,3106,203,0.00994152046783625,0.0175438596491229,0.0198003937188115,0.015279494574921,0.0444444444444444,0.0666666666666667
"Face","lambda","MR-PCA",3209,3210,403,0.0253411306042884,0.0159844054580897,0.0257920157487525,0.0210250423476629,0.125925925925926,0.0740740740740741
"Face","lambda","SPCA",3134,3135,197,0.00857699805068224,0.0171539961013646,0.0191766240900976,0.0163439088037358,0.0518518518518518,0.0518518518518518
"Face","lambda","IMDS",4077,4078,1662,0.0664717348927875,0.101364522417154,0.0516584260403791,0.0758824337316303,0.0444444444444445,0.118518518518519
"Face","lambda","Int-UMAP",3432,3433,703,0.0491228070175439,0.0553606237816764,0.0180721512612736,0.0538845396694594,0.0592592592592592,0.0666666666666667
"Face","nu","C-PCA",1427,1428,83,0.0124756335282652,0.0093567251461989,0.0113365838025912,0.011399533031177,0.0666666666666667,0.0222222222222222
"Face","nu","V-PCA",1417,1418,77,0.0111111111111112,0.00662768031189087,0.00799455203039878,0.00555097742984023,0.0592592592592592,0.0222222222222222
"Face","nu","MR-PCA",1572,1573,211,0.0167641325536063,0.00740740740740742,0.0188275420043035,0.00937371240214257,0.0740740740740741,0.0592592592592593
"Face","nu","SPCA",1427,1428,83,0.0124756335282652,0.0093567251461989,0.0113365838025912,0.011399533031177,0.0666666666666667,0.0222222222222222
"Face","nu","IMDS",1234,1235,426,0.015009746588694,0.0401559454191033,0.0140834592317904,0.0195485968044682,0.0518518518518519,0.0444444444444444
"Face","nu","Int-UMAP",1993,1994,360,0.0181286549707602,0.0487329434697855,0.00697591905873729,0.0199720734331365,0.0296296296296297,0.0222222222222222
"ScenarioI-C-PCA","lambda","C-PCA",NA,100,101,0.36240295254833,0.271230322202695,0.362999874221715,0.290650420865225,0.310546666666667,0.06602
"ScenarioI-C-PCA","nu","C-PCA",NA,51,51,0.00456649091974226,0.00483069712946704,0.00351421196365953,0.00455123956779432,0.0043333333333333,0.00433333333333334
