"scenario","replication","Method","Metric","space","anchor","block_id","block_size","candidate_ids","min_within_block_gap","max_within_block_gap","classification"
"ScenarioI",1,"IMDS","Int-Euclidean","low",1,59,2,"133;70",1.617150857669e-12,1.617150857669e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",1,60,5,"135;168;121;79;115",9.05941988094128e-14,1.96798133345055e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",1,63,3,"111;163;92",7.087663789207e-13,1.98774330328888e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",1,65,2,"199;132",1.45261580541955e-12,1.45261580541955e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",2,53,5,"133;70;121;135;79",1.01807451358127e-13,9.20818976624105e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",2,57,2,"115;137",2.77888823063677e-13,2.77888823063677e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",151,68,2,"81;91",1.99840144432528e-15,1.99840144432528e-15,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",242,36,2,"164;126",2.53824739004926e-14,2.53824739004926e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",276,67,2,"104;165",6.02903144075739e-15,6.02903144075739e-15,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Int-Euclidean","low",280,68,2,"104;165",4.97345220562551e-15,4.97345220562551e-15,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",1,224,2,"96;115",9.50350909079134e-13,9.50350909079134e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",1,226,2,"91;81",7.67386154620908e-13,7.67386154620908e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",1,227,4,"120;104;165;117",5.00488539501021e-13,1.93089988442807e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",1,238,2,"169;118",2.35589325825458e-12,2.35589325825458e-12,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",2,229,2,"81;91",6.80566714095221e-14,6.80566714095221e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",2,230,4,"120;104;117;165",5.51780843238703e-14,4.88498130835069e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",151,237,2,"135;121",2.49245069028348e-14,2.49245069028348e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",241,252,2,"94;92",4.06757960647042e-14,4.06757960647042e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",242,254,2,"94;92",4.27297086602607e-14,4.27297086602607e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",291,172,2,"165;104",2.31585584042904e-15,2.31585584042904e-15,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",292,163,2,"165;104",6.1409211049579e-16,6.1409211049579e-16,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Hausdorff","low",300,263,2,"94;92",6.57252030578093e-14,6.57252030578093e-14,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Ichino-Yaguchi","low",1,296,2,"92;183",1.4255263636187e-13,1.4255263636187e-13,"tolerance_near_tie"
"ScenarioI",1,"IMDS","Wasserstein","low",1,174,3,"92;164;187",2.98427949019242e-13,8.68860539071648e-13,"tolerance_near_tie"
"ScenarioI",2,"IMDS","Hausdorff","low",300,246,2,"107;109",1.96109795069788e-12,1.96109795069788e-12,"tolerance_near_tie"
"ScenarioI",2,"IMDS","Hausdorff","low",300,250,2,"90;86",1.4352963262354e-12,1.4352963262354e-12,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Int-Euclidean","low",299,43,2,"287;126",2.08999484385686e-14,2.08999484385686e-14,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Int-Euclidean","low",300,45,2,"126;188",6.18394224716212e-13,6.18394224716212e-13,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Hausdorff","low",1,245,2,"126;83",6.76347866601645e-13,6.76347866601645e-13,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Hausdorff","low",1,247,2,"104;69",1.50501833218186e-12,1.50501833218186e-12,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Hausdorff","low",2,256,2,"70;69",9.68114477473137e-14,9.68114477473137e-14,"tolerance_near_tie"
"ScenarioI",3,"IMDS","Hausdorff","low",152,246,2,"70;69",1.70835567914196e-14,1.70835567914196e-14,"tolerance_near_tie"
"ScenarioI",4,"IMDS","Int-Euclidean","low",1,61,2,"169;91",5.42899059041702e-13,5.42899059041702e-13,"tolerance_near_tie"
"ScenarioI",4,"IMDS","Int-Euclidean","low",2,59,2,"91;70",4.02400335275388e-13,4.02400335275388e-13,"tolerance_near_tie"
"ScenarioI",4,"IMDS","Hausdorff","low",1,245,2,"114;179",3.19744231092045e-13,3.19744231092045e-13,"tolerance_near_tie"
"ScenarioI",5,"IMDS","Hausdorff","low",1,217,2,"131;101",3.18323145620525e-12,3.18323145620525e-12,"tolerance_near_tie"
"ScenarioI",5,"IMDS","Hausdorff","low",1,219,2,"190;167",2.68585154117318e-12,2.68585154117318e-12,"tolerance_near_tie"
"ScenarioI",5,"IMDS","Hausdorff","low",2,219,2,"101;111",7.52842232998319e-13,7.52842232998319e-13,"tolerance_near_tie"
"ScenarioI",5,"IMDS","Hausdorff","low",2,221,2,"95;119",2.31481500634345e-13,2.31481500634345e-13,"tolerance_near_tie"
"ScenarioI",6,"IMDS","Hausdorff","low",300,251,2,"130;91",4.60520510614515e-13,4.60520510614515e-13,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Int-Euclidean","low",300,51,2,"71;130",7.63833440942108e-14,7.63833440942108e-14,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Hausdorff","low",1,255,2,"176;185",1.37223565843669e-13,1.37223565843669e-13,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Hausdorff","low",299,242,2,"130;71",3.23907567434389e-14,3.23907567434389e-14,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Hausdorff","low",300,236,2,"168;91",1.09690034832965e-12,1.09690034832965e-12,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Ichino-Yaguchi","low",1,280,2,"287;107",1.29385391289816e-12,1.29385391289816e-12,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Wasserstein","low",1,172,2,"100;279",2.10720330073855e-13,2.10720330073855e-13,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Wasserstein","low",300,194,2,"297;181",1.01052499701382e-12,1.01052499701382e-12,"tolerance_near_tie"
"ScenarioI",7,"IMDS","Centers-Euclidean","low",1,146,2,"166;176",1.18838272555877e-12,1.18838272555877e-12,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Int-Euclidean","low",300,54,2,"78;70",9.78106484694763e-13,9.78106484694763e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",1,221,2,"115;95",3.68594044175552e-14,3.68594044175552e-14,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",1,229,2,"177;68",3.25517390820096e-13,3.25517390820096e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",1,230,2,"81;88",2.96429547574917e-12,2.96429547574917e-12,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",2,229,2,"104;95",5.47895062652515e-13,5.47895062652515e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",2,232,2,"82;73",4.91939822211407e-13,4.91939822211407e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",2,233,2,"69;68",3.47277762102749e-13,3.47277762102749e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",2,234,2,"81;88",2.35589325825458e-13,2.35589325825458e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",2,237,2,"100;80",6.08513239797048e-13,6.08513239797048e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Hausdorff","low",300,253,2,"125;163",1.47215573065296e-12,1.47215573065296e-12,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Centers-Euclidean","low",1,147,2,"125;297",1.36779476633819e-13,1.36779476633819e-13,"tolerance_near_tie"
"ScenarioI",8,"IMDS","Centers-Euclidean","low",2,133,2,"297;70",1.20126131264442e-13,1.20126131264442e-13,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",1,63,4,"110;104;170;85",4.53637127861839e-13,2.57105448042694e-12,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",1,64,4,"180;113;174;298",4.35873559467836e-13,2.57860399699439e-12,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",2,53,2,"170;131",4.2765790908561e-13,4.2765790908561e-13,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",2,55,2,"104;82",7.13873404833976e-14,7.13873404833976e-14,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",2,56,2,"85;298",1.01307850997046e-13,1.01307850997046e-13,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Int-Euclidean","low",300,30,3,"181;180;114",1.19015908239817e-13,7.10764780365025e-13,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Hausdorff","low",1,239,2,"196;79",7.36743999141254e-13,7.36743999141254e-13,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Hausdorff","low",1,240,4,"174;84;113;83",5.00932628710871e-13,4.55058213333359e-12,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Hausdorff","low",1,241,2,"165;177",3.37463390565063e-12,3.37463390565063e-12,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Hausdorff","low",2,245,3,"79;84;83",4.11448652926083e-13,1.24056320771615e-12,"tolerance_near_tie"
"ScenarioI",9,"IMDS","Hausdorff","low",2,246,2,"177;165",4.89719376162157e-13,4.89719376162157e-13,"tolerance_near_tie"
