"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","sd_delta","display_changed"
"IMDS","Int-Euclidean","Q_TC","0.511","0.511","35","35",-1.44112477507008e-08,-2.79225594104759e-08,FALSE
"IMDS","Int-Euclidean","B_TC","-0.058","-0.058","30","30",-2.88224956124239e-08,-7.41481227077567e-08,FALSE
"IMDS","Int-Euclidean","Q_RE","0.500","0.500","35","35",2.67932462882925e-08,-7.55746330100004e-09,FALSE
"IMDS","Int-Euclidean","B_RE","-0.050","-0.050","30","30",5.35864926459739e-08,-1.06344811668518e-07,FALSE
"IMDS","Int-Euclidean","Q_LC","0.032","0.032","5","5",-6.93889390390723e-18,2.60208521396521e-18,FALSE
"IMDS","Int-Euclidean","B_LC","-0.001","-0.001","3","3",-1.0842021724855e-19,-4.33680868994202e-19,FALSE
"IMDS","Hausdorff","Q_TC","0.579","0.579","17","17",1.53485647524931e-08,-1.84814669054734e-08,FALSE
"IMDS","Hausdorff","B_TC","-0.083","-0.083","16","16",3.06971294772307e-08,6.87476273270038e-08,FALSE
"IMDS","Hausdorff","Q_RE","0.584","0.584","16","16",2.20917206750215e-08,-1.75293876289451e-08,FALSE
"IMDS","Hausdorff","B_RE","-0.106","-0.106","17","17",4.41834413361653e-08,6.31414841661959e-08,FALSE
"IMDS","Hausdorff","Q_LC","0.055","0.055","6","6",0,-8.67361737988404e-19,FALSE
"IMDS","Hausdorff","B_LC","-0.004","-0.004","4","4",0,-8.67361737988404e-19,FALSE
"IMDS","Ichino-Yaguchi","Q_TC","0.569","0.569","16","16",3.63210306275619e-09,3.75356821319395e-09,FALSE
"IMDS","Ichino-Yaguchi","B_TC","-0.065","-0.065","15","15",7.2642062087791e-09,-1.63921534020173e-08,FALSE
"IMDS","Ichino-Yaguchi","Q_RE","0.572","0.572","16","16",6.20217577296245e-09,8.79966963879264e-10,FALSE
"IMDS","Ichino-Yaguchi","B_RE","-0.082","-0.082","16","16",1.24043517818473e-08,-2.68921646617848e-08,FALSE
"IMDS","Ichino-Yaguchi","Q_LC","0.054","0.054","6","6",6.93889390390723e-18,0,FALSE
"IMDS","Ichino-Yaguchi","B_LC","-0.003","-0.003","4","4",0,-8.67361737988404e-19,FALSE
"IMDS","Wasserstein","Q_TC","0.563","0.563","16","16",-3.28060922871742e-09,-1.25763834936399e-09,FALSE
"IMDS","Wasserstein","B_TC","-0.070","-0.070","17","17",-6.561218512946e-09,7.54575081238218e-09,FALSE
"IMDS","Wasserstein","Q_RE","0.568","0.568","15","15",-1.0832315155973e-08,-4.69509885483999e-09,FALSE
"IMDS","Wasserstein","B_RE","-0.088","-0.088","18","18",-2.16646302148016e-08,3.73922742005761e-08,FALSE
"IMDS","Wasserstein","Q_LC","0.051","0.051","5","5",0,1.73472347597681e-18,FALSE
"IMDS","Wasserstein","B_LC","-0.003","-0.003","4","4",0,0,FALSE
"IMDS","Centers-Euclidean","Q_TC","0.507","0.507","6","6",-5.74106628903337e-09,1.68694467162639e-09,FALSE
"IMDS","Centers-Euclidean","B_TC","0.000","0.000","10","10",-1.14821323944842e-08,8.13239176868097e-09,FALSE
"IMDS","Centers-Euclidean","Q_RE","0.501","0.501","6","6",-1.89565514396861e-08,-1.44960187933169e-08,FALSE
"IMDS","Centers-Euclidean","B_RE","-0.000","-0.000","12","12",-3.79131029093233e-08,-1.02107123797768e-09,FALSE
"IMDS","Centers-Euclidean","Q_LC","0.033","0.033","4","4",0,-8.67361737988404e-19,FALSE
"IMDS","Centers-Euclidean","B_LC","0.000","0.000","3","3",-1.0842021724855e-19,0,FALSE
"Int-UMAP","Hausdorff","Q_TC","0.901","0.901","6","6",0,1.73472347597681e-18,FALSE
"Int-UMAP","Hausdorff","B_TC","-0.006","-0.006","8","8",0,0,FALSE
"Int-UMAP","Hausdorff","Q_RE","0.900","0.900","6","6",0,-4.33680868994202e-18,FALSE
"Int-UMAP","Hausdorff","B_RE","0.000","0.000","8","8",0,0,FALSE
"Int-UMAP","Hausdorff","Q_LC","0.282","0.282","14","14",0,0,FALSE
"Int-UMAP","Hausdorff","B_LC","0.017","0.017","9","9",0,0,FALSE
