"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","display_changed"
"IMDS","Int-Euclidean","Q_TC","0.578","0.578","16","16",4.70044614342413e-09,FALSE
"IMDS","Int-Euclidean","B_TC","-0.064","-0.064","22","22",9.40089230072605e-09,FALSE
"IMDS","Int-Euclidean","Q_RE","0.584","0.584","16","16",1.22592433982049e-08,FALSE
"IMDS","Int-Euclidean","B_RE","-0.076","-0.076","23","23",2.45184867964099e-08,FALSE
"IMDS","Int-Euclidean","Q_LC","0.039","0.039","4","4",0,FALSE
"IMDS","Int-Euclidean","B_LC","-0.002","-0.002","2","2",0,FALSE
"IMDS","Hausdorff","Q_TC","0.615","0.615","20","20",1.27947737960099e-08,FALSE
"IMDS","Hausdorff","B_TC","-0.021","-0.021","17","17",2.55895474809975e-08,FALSE
"IMDS","Hausdorff","Q_RE","0.625","0.625","20","20",1.43642350236561e-08,FALSE
"IMDS","Hausdorff","B_RE","-0.037","-0.037","18","18",2.87284700611901e-08,FALSE
"IMDS","Hausdorff","Q_LC","0.051","0.051","5","5",0,FALSE
"IMDS","Hausdorff","B_LC","-0.002","-0.002","3","3",0,FALSE
"IMDS","Ichino-Yaguchi","Q_TC","0.622","0.622","21","21",-7.17017112350504e-10,FALSE
"IMDS","Ichino-Yaguchi","B_TC","-0.019","-0.019","20","20",-1.43403441552059e-09,FALSE
"IMDS","Ichino-Yaguchi","Q_RE","0.632","0.632","21","21",4.42591630012146e-10,FALSE
"IMDS","Ichino-Yaguchi","B_RE","-0.031","-0.031","20","20",8.85183190635352e-10,FALSE
"IMDS","Ichino-Yaguchi","Q_LC","0.052","0.052","6","6",0,FALSE
"IMDS","Ichino-Yaguchi","B_LC","-0.002","-0.002","3","3",0,FALSE
"IMDS","Wasserstein","Q_TC","0.614","0.614","20","20",2.48565967808645e-09,FALSE
"IMDS","Wasserstein","B_TC","-0.039","-0.039","21","21",4.97131931453954e-09,FALSE
"IMDS","Wasserstein","Q_RE","0.623","0.623","20","20",-9.28152221746359e-10,FALSE
"IMDS","Wasserstein","B_RE","-0.053","-0.053","21","21",-1.85630442267604e-09,FALSE
"IMDS","Wasserstein","Q_LC","0.052","0.052","6","6",0,FALSE
"IMDS","Wasserstein","B_LC","-0.002","-0.002","3","3",0,FALSE
"IMDS","Centers-Euclidean","Q_TC","0.608","0.608","20","20",-4.30210311819224e-10,FALSE
"IMDS","Centers-Euclidean","B_TC","-0.067","-0.067","21","21",-8.6042066527181e-10,FALSE
"IMDS","Centers-Euclidean","Q_RE","0.617","0.617","20","20",-2.53871224042967e-09,FALSE
"IMDS","Centers-Euclidean","B_RE","-0.081","-0.081","23","23",-5.07742441147041e-09,FALSE
"IMDS","Centers-Euclidean","Q_LC","0.051","0.051","6","6",0,FALSE
"IMDS","Centers-Euclidean","B_LC","-0.004","-0.004","3","3",0,FALSE
"SPCA","Ichino-Yaguchi","Q_TC","0.915","0.915","3","3",0,FALSE
"SPCA","Ichino-Yaguchi","B_TC","0.123","0.123","6","6",0,FALSE
"SPCA","Ichino-Yaguchi","Q_RE","0.917","0.917","3","3",0,FALSE
"SPCA","Ichino-Yaguchi","B_RE","0.130","0.130","6","6",0,FALSE
"SPCA","Ichino-Yaguchi","Q_LC","0.349","0.349","7","7",0,FALSE
"SPCA","Ichino-Yaguchi","B_LC","0.095","0.095","7","7",0,FALSE
"SPCA","Centers-Euclidean","Q_TC","0.915","0.915","3","3",0,FALSE
"SPCA","Centers-Euclidean","B_TC","0.123","0.123","6","6",0,FALSE
"SPCA","Centers-Euclidean","Q_RE","0.917","0.917","3","3",0,FALSE
"SPCA","Centers-Euclidean","B_RE","0.130","0.130","6","6",0,FALSE
"SPCA","Centers-Euclidean","Q_LC","0.349","0.349","7","7",0,FALSE
"SPCA","Centers-Euclidean","B_LC","0.094","0.094","7","7",0,FALSE
"C-PCA","Ichino-Yaguchi","Q_TC","0.917","0.917","3","3",0,FALSE
"C-PCA","Ichino-Yaguchi","B_TC","0.120","0.120","6","6",0,FALSE
"C-PCA","Ichino-Yaguchi","Q_RE","0.920","0.920","4","4",0,FALSE
"C-PCA","Ichino-Yaguchi","B_RE","0.127","0.127","7","7",0,FALSE
"C-PCA","Ichino-Yaguchi","Q_LC","0.357","0.357","13","13",0,FALSE
"C-PCA","Ichino-Yaguchi","B_LC","0.095","0.095","8","8",0,FALSE
"C-PCA","Centers-Euclidean","Q_TC","0.917","0.917","3","3",0,FALSE
"C-PCA","Centers-Euclidean","B_TC","0.120","0.120","6","6",0,FALSE
"C-PCA","Centers-Euclidean","Q_RE","0.920","0.920","4","4",0,FALSE
"C-PCA","Centers-Euclidean","B_RE","0.126","0.126","7","7",0,FALSE
"C-PCA","Centers-Euclidean","Q_LC","0.357","0.357","13","13",0,FALSE
"C-PCA","Centers-Euclidean","B_LC","0.095","0.095","8","8",0,FALSE
