"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioII",1,"IMDS","Int-Euclidean",0.595993865519439,-0.0869361057998725,0.604570206776746,-0.101437569059642,0.04175,-0.005,0.595993865519439,-0.0869361057998725,0.604570206776746,-0.101437569059642,0.04175,-0.005,0,0,0,4.57966997657877e-16
"ScenarioII",1,"IMDS","Hausdorff",0.62647402804334,-0.0328499043977055,0.639418371523945,-0.0495530095716643,0.053,-0.005,0.626473985022307,-0.0328499904397706,0.63941834250546,-0.049553067608633,0.053,-0.005,8.60420650353189e-08,0,1.59337157468187e-07,3.33066907387547e-16
"ScenarioII",1,"IMDS","Ichino-Yaguchi",0.637609623964309,-0.0304987253027406,0.646807857223769,-0.0434188472326073,0.054875,-0.005125,0.637609623964309,-0.0304987253027406,0.646807857223769,-0.0434188472326073,0.054875,-0.005125,0,0,0,4.44089209850063e-16
"ScenarioII",1,"IMDS","Wasserstein",0.628220841300191,-0.0545796685787125,0.637857406413682,-0.0703971713119272,0.054375,-0.0035,0.628220841300191,-0.0545796685787125,0.637857406413682,-0.0703971713119272,0.054375,-0.0035,0,0,0,2.22044604925031e-16
"ScenarioII",1,"IMDS","Centers-Euclidean",0.621484464627151,-0.0800492351816444,0.630254755444634,-0.0971764044494327,0.05525,-0.010125,0.621484464627151,-0.0800492351816444,0.630254755444634,-0.0971764044494327,0.05525,-0.010125,0,0,0,4.44089209850063e-16
"ScenarioII",2,"IMDS","Int-Euclidean",0.570651688973869,-0.0426698534098151,0.572425357476678,-0.04496589325838,0.039,0.000749999999999997,0.570651688973869,-0.0426698534098151,0.572425357476678,-0.04496589325838,0.039,0.000749999999999997,0,0,0,2.22044604925031e-16
"ScenarioII",2,"IMDS","Hausdorff",0.609709528362014,-0.0154305289993627,0.620012085064249,-0.0352434285757179,0.05225,-0.0065,0.609709528362014,-0.0154305289993627,0.620012085064249,-0.0352434285757179,0.05225,-0.0065,0,0,0,2.22044604925031e-16
"ScenarioII",2,"IMDS","Ichino-Yaguchi",0.613502868068834,-0.00922657743785849,0.623221677635176,-0.02199591856127,0.05375,-0.00425,0.613502825047801,-0.00922666347992346,0.623221641362071,-0.0219959911074808,0.05375,-0.00425,8.60420649728688e-08,0,1.59337157357164e-07,3.33066907387547e-16
"ScenarioII",2,"IMDS","Wasserstein",0.605968769917145,-0.026004142766093,0.61403942089017,-0.0422737332305659,0.053875,-0.00525,0.605968769917145,-0.026004142766093,0.61403942089017,-0.0422737332305659,0.053875,-0.00525,0,0,0,3.33066907387547e-16
"ScenarioII",2,"IMDS","Centers-Euclidean",0.598139340344168,-0.0532232313575525,0.60026691322569,-0.0621551374488402,0.049,-0.006125,0.598139294136393,-0.0532233237731038,0.600266890962832,-0.0621551819745569,0.049,-0.006125,9.24155513296054e-08,0,1.59337157468187e-07,2.22044604925031e-16
"ScenarioII",3,"IMDS","Int-Euclidean",0.59060460484385,-0.072119980879541,0.597188396112035,-0.0847253701562716,0.042875,-0.000875000000000001,0.59060460484385,-0.072119980879541,0.597188396112035,-0.0847253701562716,0.042875,-0.000875000000000001,0,0,0,4.44089209850063e-16
"ScenarioII",3,"IMDS","Hausdorff",0.623198852772467,-0.03082982791587,0.635870209924253,-0.0477530412685155,0.052375,-0.0045,0.62319888623327,-0.0308297609942638,0.635870222463105,-0.047753016190813,0.052375,-0.0045,6.69216061351119e-08,0,1.59337157468187e-07,4.44089209850063e-16
"ScenarioII",3,"IMDS","Ichino-Yaguchi",0.636735420650096,-0.0291951880178457,0.645497795166691,-0.0383035104859769,0.053875,-0.000875000000000001,0.636735420650096,-0.0291951880178457,0.645497795166691,-0.0383035104859769,0.053875,-0.000875000000000001,0,0,0,3.33066907387547e-16
"ScenarioII",3,"IMDS","Wasserstein",0.627933397068196,-0.0531096239643085,0.637078042385923,-0.062133496415168,0.0535,-0.003125,0.627933397068196,-0.0531096239643085,0.637078042385923,-0.062133496415168,0.0535,-0.003125,0,0,0,3.33066907387547e-16
"ScenarioII",3,"IMDS","Centers-Euclidean",0.621075207138305,-0.07538304652645,0.631764895025078,-0.0895282852174109,0.0565,-0.005625,0.621075207138305,-0.07538304652645,0.631764895025078,-0.0895282852174109,0.0565,-0.005625,0,0,0,4.44089209850063e-16
"ScenarioII",4,"IMDS","Int-Euclidean",0.588379222434672,-0.0780857233906946,0.595512478630641,-0.0929817942703762,0.0405,0.000249999999999997,0.58837904875717,-0.0780860707456979,0.595512220688559,-0.0929823101545418,0.0405,0.000249999999999997,5.15884165580571e-07,0,9.40413843519838e-07,3.33066907387547e-16
"ScenarioII",4,"IMDS","Hausdorff",0.635786567877629,-0.0354147546207776,0.64327834396662,-0.0461865487212846,0.05275,-0.00125,0.635786567877629,-0.0354147546207776,0.64327834396662,-0.0461865487212846,0.05275,-0.00125,0,0,0,3.33066907387547e-16
"ScenarioII",4,"IMDS","Ichino-Yaguchi",0.637345044614404,-0.0307184512428298,0.644963895358766,-0.0411759305746837,0.05375,-0.001375,0.637345044614404,-0.0307184512428298,0.644963895358766,-0.0411759305746837,0.05375,-0.001375,0,0,0,4.44089209850063e-16
"ScenarioII",4,"IMDS","Wasserstein",0.628648103887827,-0.0539083811344806,0.635208631770788,-0.0669835758961312,0.05325,-0.00125,0.628648103887827,-0.0539083811344806,0.635208631770788,-0.0669835758961312,0.05325,-0.00125,0,0,0,3.33066907387547e-16
"ScenarioII",4,"IMDS","Centers-Euclidean",0.616686982154238,-0.0707637029955385,0.6219963971914,-0.0848144405684894,0.050375,-0.004625,0.616686982154238,-0.0707637029955385,0.6219963971914,-0.0848144405684894,0.050375,-0.004625,0,0,0,4.44089209850063e-16
"ScenarioII",5,"IMDS","Int-Euclidean",0.572038639260676,-0.064692638623327,0.579285928734799,-0.0779011244620023,0.03975,-0.00225,0.57203868387508,-0.0646925493945189,0.579285945453268,-0.0779010910250656,0.03975,-0.00225,8.92288081200121e-08,0,1.59337157357164e-07,4.44089209850063e-16
"ScenarioII",5,"IMDS","Hausdorff",0.602681246016571,-0.00959066284257493,0.609717487206533,-0.0205155751724604,0.052,-0.002875,0.602681207775653,-0.00959073932441046,0.609717444216186,-0.0205156611531547,0.052,-0.002875,8.59806942726804e-08,0,1.79126446397948e-07,3.33066907387547e-16
"ScenarioII",5,"IMDS","Ichino-Yaguchi",0.605178696622052,-0.00756453154875714,0.611884713024932,-0.0140787407444938,0.0515,0,0.605178696622052,-0.00756453154875714,0.611884713024932,-0.0140787407444938,0.0515,0,0,0,0,2.22044604925031e-16
"ScenarioII",5,"IMDS","Wasserstein",0.597501752708732,-0.0289840662842575,0.603775595996336,-0.0371920780134912,0.052125,-0.001125,0.597501752708732,-0.0289840662842575,0.603775595996336,-0.0371920780134912,0.052125,-0.001125,0,0,0,3.33066907387547e-16
"ScenarioII",5,"IMDS","Centers-Euclidean",0.593061504142766,-0.0578355640535373,0.597982753449847,-0.0634584488912159,0.047875,-0.000874999999999997,0.593061504142766,-0.0578355640535373,0.597982753449847,-0.0634584488912159,0.047875,-0.000874999999999997,0,0,0,4.44089209850063e-16
"ScenarioII",6,"IMDS","Int-Euclidean",0.563188973868706,-0.0478033779477375,0.568112032524757,-0.0549466329004786,0.039625,5e-04,0.563188932441045,-0.0478034608030593,0.568112017000465,-0.0549466639490626,0.039625,5e-04,8.28553218257255e-08,0,1.59337157357164e-07,4.44089209850063e-16
"ScenarioII",6,"IMDS","Hausdorff",0.596072100063735,-0.00128537284894836,0.607399753910117,-0.0235759172425583,0.053,-0.00275,0.596072100063735,-0.00128537284894836,0.607399753910117,-0.0235759172425583,0.053,-0.00275,0,0,0,2.22044604925031e-16
"ScenarioII",6,"IMDS","Ichino-Yaguchi",0.610354445506692,0.00817543021032496,0.619975811638988,-0.0109816877754389,0.054875,-0.002875,0.610354445506692,0.00817543021032496,0.619975811638988,-0.0109816877754389,0.054875,-0.002875,0,0,0,2.22044604925031e-16
"ScenarioII",6,"IMDS","Wasserstein",0.59821845124283,-0.0146647546207775,0.609757899092443,-0.0349760960022218,0.055375,-0.00375,0.59821845124283,-0.0146647546207775,0.609757899092443,-0.0349760960022218,0.055375,-0.00375,0,0,0,1.11022302462516e-16
"ScenarioII",6,"IMDS","Centers-Euclidean",0.59933540471638,-0.0584056724028044,0.611926958184722,-0.0818827381558608,0.055875,-0.002,0.59933540471638,-0.0584056724028044,0.611926958184722,-0.0818827381558608,0.055875,-0.002,0,0,0,3.33066907387547e-16
"ScenarioII",7,"IMDS","Int-Euclidean",0.589414913957935,-0.0673954748247292,0.595817271981843,-0.0805003238350256,0.04425,-0.006625,0.589414913957935,-0.0673954748247292,0.595817271981843,-0.0805003238350256,0.04425,-0.006625,0,0,0,1.11022302462516e-16
"ScenarioII",7,"IMDS","Hausdorff",0.620296207775653,-0.0234665391969407,0.632032476243142,-0.0400485285530115,0.05275,-0.001,0.620296163161249,-0.0234666284257489,0.632032454747968,-0.0400485715433586,0.05275,-0.001,8.92288081200121e-08,0,1.59337157357164e-07,3.33066907387547e-16
"ScenarioII",7,"IMDS","Ichino-Yaguchi",0.630765137029955,-0.0175162523900574,0.643365270299249,-0.0340465875473683,0.05425,-0.0015,0.630765137029955,-0.0175162523900574,0.643365270299249,-0.0340465875473683,0.05425,-0.0015,0,0,0,4.44089209850063e-16
"ScenarioII",7,"IMDS","Wasserstein",0.621873247291268,-0.0379341937539834,0.633142095060358,-0.0541505045565503,0.052875,-0.002375,0.621873247291268,-0.0379341937539834,0.633142095060358,-0.0541505045565503,0.052875,-0.002375,0,0,0,2.22044604925031e-16
"ScenarioII",7,"IMDS","Centers-Euclidean",0.618943594646272,-0.0674034416826004,0.628328136640553,-0.0840627846297909,0.0575,-0.002875,0.618943594646272,-0.0674034416826004,0.628328136640553,-0.0840627846297909,0.0575,-0.002875,0,0,0,4.44089209850063e-16
"ScenarioII",8,"IMDS","Int-Euclidean",0.58834839069471,-0.0700689929891651,0.596110653698936,-0.0921479623684338,0.038375,-0.0025,0.58834839069471,-0.0700689929891651,0.596110653698936,-0.0921479623684338,0.038375,-0.0025,0,0,0,4.44089209850063e-16
"ScenarioII",8,"IMDS","Hausdorff",0.630974904397706,-0.0343449649458254,0.642594506366751,-0.0513736816933283,0.05875,-0.0015,0.630974904397706,-0.0343449649458254,0.642594506366751,-0.0513736816933283,0.05875,-0.0015,0,0,0,4.44089209850063e-16
"ScenarioII",8,"IMDS","Ichino-Yaguchi",0.640031389420013,-0.0329359464627151,0.647714080946559,-0.0448410451106925,0.060875,-0.000750000000000001,0.640031389420013,-0.0329359464627151,0.647714080946559,-0.0448410451106925,0.060875,-0.000750000000000001,0,0,0,3.33066907387547e-16
"ScenarioII",8,"IMDS","Wasserstein",0.629931086679414,-0.0543914913957936,0.636714922798208,-0.0677468198231903,0.060875,-0.000750000000000001,0.629931086679414,-0.0543914913957936,0.636714922798208,-0.0677468198231903,0.060875,-0.000750000000000001,0,0,0,4.44089209850063e-16
"ScenarioII",8,"IMDS","Centers-Euclidean",0.618827517527087,-0.0697901529636711,0.625431979951998,-0.0871394916067318,0.056875,-0.008375,0.618827517527087,-0.0697901529636711,0.625431979951998,-0.0871394916067318,0.056875,-0.008375,0,0,0,4.44089209850063e-16
"ScenarioII",9,"IMDS","Int-Euclidean",0.560212794773741,-0.0419992033142128,0.564138692340263,-0.0539406075986121,0.033375,0.00025,0.560212794773741,-0.0419992033142128,0.564138692340263,-0.0539406075986121,0.033375,0.00025,0,0,0,2.22044604925031e-16
"ScenarioII",9,"IMDS","Hausdorff",0.582421048438496,0.00354859783301475,0.588127003124136,-0.00590172423705349,0.048875,-0.000374999999999997,0.582421081899299,0.00354866475462089,0.588127031336551,-0.00590166781222289,0.048875,-0.000374999999999997,6.69216061368466e-08,0,1.59337157468187e-07,2.22044604925031e-16
"ScenarioII",9,"IMDS","Ichino-Yaguchi",0.584985340981517,0.0136845124282983,0.591449821628444,0.00683901466977355,0.048625,0.00275,0.584985340981517,0.0136845124282983,0.591449821628444,0.00683901466977355,0.048625,0.00275,0,0,0,3.33066907387547e-16
"ScenarioII",9,"IMDS","Wasserstein",0.57802039515615,-0.00567080943275977,0.585193535996142,-0.0158045620008663,0.048375,0.000499999999999997,0.57802039515615,-0.00567080943275977,0.585193535996142,-0.0158045620008663,0.048375,0.000499999999999997,0,0,0,4.44089209850063e-16
"ScenarioII",9,"IMDS","Centers-Euclidean",0.574321701720841,-0.0290905035054174,0.57870688255839,-0.0333676010755093,0.045375,0,0.574321701720841,-0.0290905035054174,0.57870688255839,-0.0333676010755093,0.045375,0,0,0,0,3.33066907387547e-16
"ScenarioII",10,"IMDS","Int-Euclidean",0.562822896749522,-0.0483471956660294,0.564128540029046,-0.0432656981726203,0.03925,-0.001625,0.562822850541746,-0.0483472880815807,0.564128501069044,-0.0432657760926245,0.03925,-0.001625,9.24155512671554e-08,0,1.59337157357164e-07,2.22044604925031e-16
"ScenarioII",10,"IMDS","Hausdorff",0.60473143722116,-0.018583970681963,0.620894672092833,-0.0330123764859179,0.045625,-0.000625000000000001,0.60473143722116,-0.018583970681963,0.620894672092833,-0.0330123764859179,0.045625,-0.000625000000000001,0,0,0,2.22044604925031e-16
"ScenarioII",10,"IMDS","Ichino-Yaguchi",0.61158604206501,-0.0185347355003187,0.627181514244561,-0.0302104821043298,0.0445,-0.003,0.61158604206501,-0.0185347355003187,0.627181514244561,-0.0302104821043298,0.0445,-0.003,0,0,0,4.44089209850063e-16
"ScenarioII",10,"IMDS","Wasserstein",0.605063256851498,-0.0444037603569152,0.620148595623071,-0.0553950932319034,0.049625,-0.001125,0.605063256851498,-0.0444037603569152,0.620148595623071,-0.0553950932319034,0.049625,-0.001125,0,0,0,2.22044604925031e-16
"ScenarioII",10,"IMDS","Centers-Euclidean",0.602956899298916,-0.0808150095602294,0.617268773773705,-0.0892180307486752,0.054,-0.00925,0.602956899298916,-0.0808150095602294,0.617268773773705,-0.0892180307486752,0.054,-0.00925,0,0,0,4.44089209850063e-16
"ScenarioII",11,"IMDS","Int-Euclidean",0.572097673677502,-0.0541061185468451,0.578795877055113,-0.0693948259923051,0.04175,-0.006,0.572097635436584,-0.0541061950286807,0.578795851171342,-0.0693948777598481,0.04175,-0.006,7.64818355800112e-08,0,4.78011472293538e-07,3.33066907387547e-16
"ScenarioII",11,"IMDS","Hausdorff",0.599422721478649,-0.0069117272147865,0.611856012490061,-0.0146402957565286,0.05125,0.000750000000000001,0.599422721478649,-0.0069117272147865,0.611856012490061,-0.0146402957565286,0.05125,0.000750000000000001,0,0,0,4.44089209850063e-16
"ScenarioII",11,"IMDS","Ichino-Yaguchi",0.60426792543021,-0.00281309751434033,0.61537899147034,-0.0094839780776525,0.051125,-0.002125,0.604267963671128,-0.00281302103250475,0.615379009894774,-0.00948394122878353,0.051125,-0.002125,7.64818355847817e-08,0,1.59337157468187e-07,3.33066907387547e-16
"ScenarioII",11,"IMDS","Wasserstein",0.599097275334608,-0.021505258126195,0.607735288984696,-0.0253270895825006,0.05275,-0.00025,0.599097238687062,-0.0215053314212874,0.60773527353504,-0.0253271204818126,0.05275,-0.00025,7.32950924363374e-08,0,1.59337157468187e-07,3.12250225675825e-17
"ScenarioII",11,"IMDS","Centers-Euclidean",0.598217973231358,-0.056210643722116,0.603630251944759,-0.0598132553485025,0.05575,-0.002375,0.598217973231358,-0.056210643722116,0.603630251944759,-0.0598132553485025,0.05575,-0.002375,0,0,0,4.44089209850063e-16
"ScenarioII",12,"SPCA","Ichino-Yaguchi",0.912648422562142,0.127872370936903,0.916841294586918,0.131475437456636,0.346125,0.08625,0.912648422562142,0.127872370936903,0.916841294586918,0.131475437456636,0.346125,0.08625,0,0,0,4.9960036108132e-16
"ScenarioII",12,"SPCA","Centers-Euclidean",0.91265160930529,0.127881931166348,0.916862970912765,0.131412363409687,0.346125,0.0855,0.91265160930529,0.127881931166348,0.916862970912765,0.131412363409687,0.346125,0.0855,0,0,0,2.4980018054066e-16
"ScenarioII",12,"IMDS","Int-Euclidean",0.602759002549395,-0.0888449649458254,0.609933969193834,-0.103482754430778,0.0455,-0.005875,0.602759002549395,-0.0888449649458254,0.609933969193834,-0.103482754430778,0.0455,-0.005875,0,0,0,4.44089209850063e-16
"ScenarioII",12,"IMDS","Hausdorff",0.648118307839388,-0.0507582855321861,0.657495044808054,-0.060612675993866,0.061625,-0.003125,0.648118475143403,-0.0507579509241555,0.657495119657319,-0.0606125262953359,0.061625,-0.003125,3.3460803060964e-07,0,6.37348629761725e-07,2.22044604925031e-16
"ScenarioII",12,"IMDS","Ichino-Yaguchi",0.655647625876354,-0.0496480242192479,0.662364449580256,-0.0600800782646093,0.061,-0.002875,0.655647625876354,-0.0496480242192479,0.662364449580256,-0.0600800782646093,0.061,-0.002875,0,0,0,4.44089209850063e-16
"ScenarioII",12,"IMDS","Wasserstein",0.646949490121096,-0.0700446144040791,0.653315367697121,-0.0795340837963752,0.064,-0.004125,0.646949490121096,-0.0700446144040791,0.653315367697121,-0.0795340837963752,0.064,-0.004125,0,0,0,4.44089209850063e-16
"ScenarioII",12,"IMDS","Centers-Euclidean",0.639208811344806,-0.093905194391332,0.64458261949312,-0.105035175955908,0.058875,-0.007375,0.639208811344806,-0.093905194391332,0.64458261949312,-0.105035175955908,0.058875,-0.007375,0,0,0,3.33066907387547e-16
