"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioII",76,"IMDS","Int-Euclidean",0.552944550669216,-0.0334502868068833,0.559065103784157,-0.050996083997338,0.032125,-0.002375,0.552944550669216,-0.0334502868068833,0.559065103784157,-0.050996083997338,0.032125,-0.002375,0,0,0,1.11022302462516e-16
"ScenarioII",76,"IMDS","Hausdorff",0.589091379859783,-0.0168201083492671,0.598980963400884,-0.0321084698916592,0.0455,-5e-04,0.589091379859783,-0.0168201083492671,0.598980963400884,-0.0321084698916592,0.0455,-5e-04,0,0,0,4.44089209850063e-16
"ScenarioII",76,"IMDS","Ichino-Yaguchi",0.594611217335883,-0.00939770554493313,0.605521165730177,-0.0250103383681512,0.04725,0,0.594611217335883,-0.00939770554493313,0.605521165730177,-0.0250103383681512,0.04725,0,0,0,0,4.44089209850063e-16
"ScenarioII",76,"IMDS","Wasserstein",0.585658620140217,-0.0261744741873805,0.595537606872382,-0.0371869364447427,0.044875,-0.000625000000000001,0.585658620140217,-0.0261744741873805,0.595537606872382,-0.0371869364447427,0.044875,-0.000625000000000001,0,0,0,3.33066907387547e-16
"ScenarioII",76,"IMDS","Centers-Euclidean",0.576652087316762,-0.0452509560229445,0.585029206247214,-0.0612368713109548,0.038125,-0.002125,0.576652087316762,-0.0452509560229445,0.585029206247214,-0.0612368713109548,0.038125,-0.002125,0,0,0,2.22044604925031e-16
"ScenarioII",77,"IMDS","Int-Euclidean",0.552818435309114,-0.0376942319949012,0.559682439731201,-0.0507077307221133,0.03325,-0.000999999999999999,0.552818479923518,-0.0376941427660931,0.559682514964309,-0.0507075802558984,0.03325,-0.000999999999999999,1.50466214959843e-07,0,2.68689669569167e-07,1.11022302462516e-16
"ScenarioII",77,"IMDS","Hausdorff",0.588584847036329,0.00624426386233268,0.60161068218857,-0.0140318983257819,0.041125,-0.005,0.588584847036329,0.00624426386233268,0.60161068218857,-0.0140318983257819,0.041125,-0.005,0,0,0,3.33066907387547e-16
"ScenarioII",77,"IMDS","Ichino-Yaguchi",0.59789356277884,0.011725621414914,0.610597622974997,-0.00867831594186136,0.04225,-0.004625,0.59789356277884,0.011725621414914,0.610597622974997,-0.00867831594186136,0.04225,-0.004625,0,0,0,1.11022302462516e-16
"ScenarioII",77,"IMDS","Wasserstein",0.589688973868706,-0.00957138304652649,0.601111790512133,-0.030282673474154,0.043,-0.00225,0.589688973868706,-0.00957138304652649,0.601111790512133,-0.030282673474154,0.043,-0.00225,0,0,0,3.33066907387547e-16
"ScenarioII",77,"IMDS","Centers-Euclidean",0.587030991077119,-0.0534756214149139,0.601220973305724,-0.086304770043439,0.046875,-0.001125,0.587030991077119,-0.0534756214149139,0.601220973305724,-0.086304770043439,0.046875,-0.001125,0,0,0,2.22044604925031e-16
