"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"V-PCA","Int-Euclidean",0.001,0.007,0.001,0.001,0.001,0.001,1,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"IMDS","Int-Euclidean",0.06,0.016,0.001,0.001,0.001,0.999,1,"minP"
"IMDS","Hausdorff",0.001,0.016,0.001,0.01,0.001,0.829,1,"minP"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.029,0.904,1,"minP"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.008,0.73,1,"minP"
"IMDS","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.12,1,"minP"
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"Int-UMAP","Hausdorff",0.001,0.001,0.001,0.026,0.001,0.137,1,"minP"
"Int-UMAP","Ichino-Yaguchi",0.001,0.012,0.001,0.032,0.001,0.001,1,"minP"
"Int-UMAP","Wasserstein",0.001,0.001,0.001,0.026,0.001,0.651,1,"minP"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"C-PCA","Int-Euclidean",0.001,0.082,0.001,0.025,0.001,0.001,2,"minP"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Int-Euclidean",0.001,0.081,0.001,0.025,0.001,0.001,2,"minP"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,2,"minP"
