"Method","Metric","index","old_mean_fmt","new_mean_fmt","old_sd_fmt","new_sd_fmt","mean_delta","replication_fidelity","display_changed"
"C-PCA","Centers-Euclidean","Q_TC","0.902","0.902","17","17",3.63210317377849e-09,4.44089209850063e-16,FALSE
"C-PCA","Centers-Euclidean","B_TC","0.080","0.080","17","17",1.28881078031995e-08,4.44089209850063e-16,FALSE
"C-PCA","Centers-Euclidean","Q_RE","0.897","0.897","16","16",-6.91557966447931e-09,4.44089209850063e-16,FALSE
"C-PCA","Centers-Euclidean","B_RE","0.092","0.092","18","18",4.61263803541723e-09,4.44089209850063e-16,FALSE
"C-PCA","Centers-Euclidean","Q_LC","0.305","0.305","28","28",0,4.44089209850063e-16,FALSE
"C-PCA","Centers-Euclidean","B_LC","0.061","0.061","11","11",-2.66666666665083e-07,4.44089209850063e-16,FALSE
"C-PCA","Hausdorff","Q_TC","0.920","0.920","14","14",3.51493834038763e-10,3.33066907387547e-16,FALSE
"C-PCA","Hausdorff","B_TC","0.063","0.063","13","13",7.26420622265689e-09,3.33066907387547e-16,FALSE
"C-PCA","Hausdorff","Q_RE","0.917","0.917","13","13",-2.03462073855576e-08,3.33066907387547e-16,FALSE
"C-PCA","Hausdorff","B_RE","0.071","0.071","15","15",1.17945734984248e-08,3.33066907387547e-16,FALSE
"C-PCA","Hausdorff","Q_LC","0.358","0.358","28","28",0,3.33066907387547e-16,FALSE
"C-PCA","Hausdorff","B_LC","0.064","0.064","10","10",1.20000000000675e-06,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","Q_TC","0.908","0.908","15","15",9.97070884745099e-08,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","B_TC","0.070","0.070","15","15",-1.16461628577036e-07,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","Q_RE","0.905","0.905","14","14",1.53777116596032e-08,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","B_RE","0.080","0.080","16","16",4.59016282761127e-08,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","Q_LC","0.323","0.323","27","27",4.00000000011502e-07,3.33066907387547e-16,FALSE
"C-PCA","Ichino-Yaguchi","B_LC","0.057","0.057","11","11",2.66666666665083e-07,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","Q_TC","0.924","0.924","13","13",-7.02987779099828e-10,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","B_TC","0.044","0.044","13","13",-4.2179261888764e-09,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","Q_RE","0.915","0.915","14","14",-9.230495701118e-09,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","B_RE","0.060","0.060","16","16",-4.67619499372462e-09,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","Q_LC","0.352","0.352","29","29",0,3.33066907387547e-16,FALSE
"C-PCA","Int-Euclidean","B_LC","0.053","0.053","10","10",3.33333333331354e-07,3.33066907387547e-16,FALSE
"C-PCA","Wasserstein","Q_TC","0.907","0.907","15","15",3.51493845140993e-09,3.46944695195361e-16,FALSE
"C-PCA","Wasserstein","B_TC","0.072","0.072","15","15",7.4985354453494e-09,3.46944695195361e-16,FALSE
"C-PCA","Wasserstein","Q_RE","0.904","0.904","14","14",5.29334243104529e-10,3.46944695195361e-16,FALSE
"C-PCA","Wasserstein","B_RE","0.081","0.081","16","16",2.97028956985912e-09,3.46944695195361e-16,FALSE
"C-PCA","Wasserstein","Q_LC","0.319","0.319","27","27",0,3.46944695195361e-16,FALSE
"C-PCA","Wasserstein","B_LC","0.058","0.058","11","11",5.99999999996437e-07,3.46944695195361e-16,FALSE
"IMDS","Centers-Euclidean","Q_TC","0.544","0.544","11","11",3.07439953162181e-07,4.44089209850063e-16,FALSE
"IMDS","Centers-Euclidean","B_TC","-0.044","-0.044","19","19",6.30345635618812e-07,4.44089209850063e-16,FALSE
"IMDS","Centers-Euclidean","Q_RE","0.543","0.543","12","12",1.65881477343088e-06,4.44089209850063e-16,FALSE
"IMDS","Centers-Euclidean","B_RE","-0.055","-0.055","21","21",3.33012355378803e-06,4.44089209850063e-16,FALSE
"IMDS","Centers-Euclidean","Q_LC","0.054","0.054","7","7",0,4.44089209850063e-16,FALSE
"IMDS","Centers-Euclidean","B_LC","-0.000","-0.000","4","4",-5.33333333333364e-07,4.44089209850063e-16,FALSE
"IMDS","Hausdorff","Q_TC","0.551","0.551","13","13",9.55360281107431e-07,3.33066907387547e-16,FALSE
