"Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","replication","max_abs_mean_delta"
"C-PCA","Centers-Euclidean",0.887151950790861,0.0907016520210896,0.885670080764919,0.100140954425828,0.278,0.0617933333333333,0.887152126537786,0.0907017223198594,0.885670327163243,0.100140911440451,0.278,0.06186,1,6.66666666666663e-05
"C-PCA","Hausdorff",0.906941476274165,0.0714691739894552,0.908390583960958,0.0760711636433362,0.32,0.0521733333333333,0.906941558289397,0.071469619214997,0.908390936302886,0.0760718558614323,0.32,0.0521933333333333,1,1.99999999999992e-05
"C-PCA","Ichino-Yaguchi",0.895460339777387,0.0783147978910369,0.894158761824625,0.087807703931458,0.299946666666667,0.0608133333333333,0.895459683655536,0.0783137668424136,0.894153164898202,0.0878170609577173,0.29994,0.0607866666666667,1,2.66666666666679e-05
"C-PCA","Int-Euclidean",0.913537492677212,0.0484542003514938,0.90157810654939,0.0743327328276104,0.324666666666667,0.05552,0.913537434094903,0.0484543643819566,0.901577784312579,0.0743331169940694,0.324666666666667,0.05548,1,3.99999999999984e-05
"C-PCA","Wasserstein",0.893770521382542,0.0814505916813123,0.894120785379691,0.0874908510997272,0.289333333333333,0.0535,0.893770544815466,0.0814505916813123,0.894120888513893,0.0874909839245435,0.289333333333333,0.0535133333333333,1,1.33333333333305e-05
"IMDS","Centers-Euclidean",0.538172489748096,-0.0395188283538372,0.535125445501219,-0.040675437863639,0.046,-0.00748666666666667,0.538301429408319,-0.0392613708260106,0.535118078268082,-0.040691035967554,0.046,-0.00748,1,0.000257457527826598
"IMDS","Hausdorff",0.547637855887522,-0.0262925600468658,0.545948311327123,-0.0353224188854414,0.0486666666666667,-0.00366666666666667,0.547665413005272,-0.0262392267135325,0.545964533624774,-0.0352915587311515,0.0486666666666667,-0.00366666666666667,1,5.3333333333315e-05
"IMDS","Ichino-Yaguchi",0.54582755711775,-0.0348290568248389,0.545634450246959,-0.040424318762365,0.0433333333333333,-0.00366666666666667,0.545938137082601,-0.0346446397188049,0.545703473663704,-0.0402999730880833,0.0433333333333333,-0.00366666666666667,1,0.000184417106033959
"IMDS","Int-Euclidean",0.529380913884007,-0.0420058816637376,0.536559950738757,-0.0615897094848617,0.0463333333333333,-0.000666666666666666,0.52905633274751,-0.0407813942589338,0.536505922202915,-0.0613637787708423,0.0460333333333333,-0.00109333333333333,1,0.00122448740480376
"IMDS","Wasserstein",0.546932478031634,-0.0440721031048623,0.546646477233179,-0.0466786066535531,0.046,-0.00433333333333333,0.547027510251904,-0.0438842882249561,0.546671672359926,-0.0466307946629969,0.046,-0.00433333333333333,1,0.000187814879906253
"Int-UMAP","Centers-Euclidean",0.829386326889279,0.0362549736379613,0.848625371259332,0.0446132477555876,0.305,0.01926,0.829386432337434,0.0362554188635032,0.848626016454495,0.0446133231335173,0.305,0.0192466666666667,1,1.33333333333339e-05
"Int-UMAP","Hausdorff",0.83337287639133,0.0343555946104277,0.853699901655597,0.0328282532753706,0.310666666666667,0.00754666666666667,0.833372642062097,0.034355172817809,0.853700539804229,0.0328289129166914,0.310666666666667,0.00766,1,0.000113333333333334
