"scenario","replication","Method","Metric","space","anchor","block_id","block_size","candidate_ids","min_within_block_gap","max_within_block_gap","classification"
"USHCN",NA,"IMDS","Int-Euclidean","low",1,97,5,"288;205;168;617;242",2.22044604925031e-16,3.8746783559418e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",2,76,3,"518;583;578",3.05311331771918e-16,1.0019762797242e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",4,108,4,"543;376;246;541",3.34454686168328e-15,1.46410661372443e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",6,104,3,"103;35;508",9.05178709764698e-15,2.14758766325929e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",7,84,4,"543;376;246;541",2.58647270268142e-15,1.40772810075518e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",8,114,3,"103;35;508",9.1177065897341e-15,2.13717932240343e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",12,90,3,"103;35;508",9.27903587299994e-15,2.11376055547774e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",14,76,2,"246;541",1.64278313175004e-15,1.64278313175004e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",24,63,2,"246;541",1.69482483602934e-15,1.69482483602934e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",28,89,4,"543;376;246;541",1.05644659686988e-15,1.28508315100362e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",29,52,2,"246;541",8.6389229103645e-16,8.6389229103645e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",30,75,2,"246;541",7.19910242530375e-16,7.19910242530375e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",32,50,2,"246;541",5.42968447980741e-16,5.42968447980741e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",33,66,3,"543;246;541",5.18682319317065e-16,1.24102117471381e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",34,80,2,"246;541",4.62303806347819e-16,4.62303806347819e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",42,92,4,"543;376;541;246",1.14491749414469e-16,1.19921433894277e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",44,116,3,"103;35;508",9.90874049477952e-15,1.99250338450696e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",45,87,3,"543;541;246",4.04190569902596e-16,1.20320420293751e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",48,69,3,"543;541;246",6.00214322687975e-16,1.20563281580388e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",48,77,2,"598;594",3.00801050734378e-15,3.00801050734378e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",54,100,5,"543;376;541;246;440",1.15879528195251e-15,2.72559752545476e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",60,57,2,"541;246",1.52308721190764e-15,1.52308721190764e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",70,69,2,"541;246",2.12243417285762e-15,2.12243417285762e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",72,54,2,"541;246",2.17968004756486e-15,2.17968004756486e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",135,70,2,"583;518",4.70803951380105e-15,4.70803951380105e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",140,65,2,"288;617",6.70123678769841e-15,6.70123678769841e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",152,55,2,"288;617",6.59541865566382e-15,6.59541865566382e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",153,54,2,"288;617",6.57980614438003e-15,6.57980614438003e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",154,74,2,"288;617",6.56766308004819e-15,6.56766308004819e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",156,65,2,"583;518",2.94902990916057e-15,2.94902990916057e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",163,102,3,"583;518;578",2.15799600411515e-15,1.07344688693445e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",167,53,2,"583;518",1.68441649517348e-15,1.68441649517348e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",168,72,2,"288;617",6.4098032437343e-15,6.4098032437343e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",170,62,2,"288;617",6.37510877421477e-15,6.37510877421477e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",170,88,2,"595;356",7.59808882477842e-16,7.59808882477842e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",171,69,2,"583;518",1.24206200879939e-15,1.24206200879939e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",173,60,2,"583;518",1.03562991515815e-15,1.03562991515815e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",176,61,2,"583;518",7.7715611723761e-16,7.7715611723761e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",177,55,2,"288;617",6.30225038822374e-15,6.30225038822374e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",179,53,2,"288;617",6.2901073238919e-15,6.2901073238919e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",181,56,3,"583;518;578",5.44703171456717e-16,9.38311928155855e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",182,86,4,"288;168;617;242",2.08166817117217e-17,3.91631171936524e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",184,82,3,"518;583;578",3.92047505570758e-16,8.98239815860791e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",185,45,2,"518;583",5.62267246650983e-16,5.62267246650983e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",188,63,2,"518;583",9.52363188311267e-16,9.52363188311267e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",189,46,2,"518;583",1.10848830114918e-15,1.10848830114918e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",196,75,3,"518;583;578",2.13370987545147e-15,9.22525944524466e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",198,72,2,"288;617",5.87377368965747e-15,5.87377368965747e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",199,51,3,"518;583;578",2.84494650060196e-15,9.32240395989936e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",201,84,3,"288;617;168",6.03683769639929e-16,6.40459907330637e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",202,54,2,"288;617",5.78356806890667e-15,5.78356806890667e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",203,88,3,"518;583;578",3.4555691641458e-15,9.40220123979429e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",204,66,3,"518;583;578",3.63598040564739e-15,9.41607902760211e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",205,80,3,"288;617;168",7.14706072102445e-16,6.42541575501809e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",207,61,3,"518;583;578",4.04537514597791e-15,9.47159017883337e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",208,83,3,"288;617;168",7.94503351997378e-16,6.43929354282591e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",209,70,3,"518;583;578",4.28823643261467e-15,9.50281520140095e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",211,57,3,"518;583;578",4.61089499914635e-15,9.53924439439646e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",213,72,3,"518;583;578",4.70803951380105e-15,9.56526524653611e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",215,59,2,"583;578",4.41400388462299e-15,4.41400388462299e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",217,74,2,"288;617",5.45744005542304e-15,5.45744005542304e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",219,51,3,"518;583;578",3.96037369565505e-15,9.65894031423886e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",222,52,2,"583;578",3.71491032380433e-15,3.71491032380433e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",225,82,5,"288;617;168;205;242",1.11022302462516e-16,4.07451850037432e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",226,82,5,"288;617;168;205;242",1.11022302462516e-16,4.07451850037432e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",227,85,5,"288;617;168;205;242",1.2490009027033e-16,4.07451850037432e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",228,83,5,"288;617;168;205;242",1.66533453693773e-16,4.08006961549745e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",229,92,4,"518;583;578;203",2.38697950294409e-15,7.69245778187155e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",230,88,3,"518;583;578",2.2065682614425e-15,9.83935155574045e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",231,93,4,"518;583;578;203",1.99840144432528e-15,7.68274333040608e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",232,93,4,"518;583;578;203",1.99840144432528e-15,7.67164110015983e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",234,72,2,"288;617",4.99253416386125e-15,4.99253416386125e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",235,59,2,"583;578",1.35048222604794e-15,1.35048222604794e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",243,40,2,"583;578",6.72205346941013e-17,6.72205346941013e-17,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",313,58,2,"578;583",4.23185791964542e-15,4.23185791964542e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",321,51,2,"246;543",5.49907341884648e-16,5.49907341884648e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",323,77,2,"518;578",8.57647286522933e-15,8.57647286522933e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",324,85,3,"617;288;242",1.70002900645727e-15,2.56739074444567e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",329,81,4,"543;246;376;541",4.47211712106821e-15,2.14307738222175e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",336,78,2,"543;246",3.79904441238921e-16,3.79904441238921e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",351,98,3,"103;35;508",1.01307850997046e-15,2.08930095446647e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",352,77,3,"543;246;376",4.00807859124441e-15,9.8280758531466e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",361,68,4,"543;246;376;541",2.35228503342455e-15,2.12208722816243e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",379,74,2,"543;246",3.15112519411187e-15,3.15112519411187e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",393,87,3,"543;246;376",4.12690714934882e-15,9.82547376793264e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",400,68,2,"543;246",4.04190569902596e-16,4.04190569902596e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",416,84,4,"543;246;376;541",3.91353616180368e-15,2.14394474395974e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",426,105,3,"103;35;508",1.34961486430996e-15,2.11948514294846e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",431,93,4,"543;246;376;541",4.04884459292987e-15,2.14411821630733e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",441,83,3,"543;246;376",4.21364332314766e-15,9.82547376793264e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",443,101,2,"103;35",1.24206200879939e-15,1.24206200879939e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",447,80,3,"543;246;376",4.19976553533985e-15,9.82373904445666e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",465,76,3,"543;246;376",4.14512174584658e-15,9.82547376793264e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",469,77,3,"543;376;541",9.82200432098068e-15,2.14411821630733e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",480,63,3,"543;246;376",4.21017387619571e-15,9.82287168271867e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",482,75,2,"543;246",3.96644522782097e-15,3.96644522782097e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",487,77,3,"543;246;376",4.47905601497212e-15,9.81159598012482e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",528,76,3,"543;376;541",9.81853487402873e-15,2.14377127161214e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",535,107,2,"456;506",3.84831055910695e-14,3.84831055910695e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",535,121,4,"543;246;376;541",4.413136522885e-15,2.14342432691694e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",548,109,4,"543;246;376;541",4.42701431069281e-15,2.14342432691694e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",556,62,2,"543;246",4.48339282366206e-15,4.48339282366206e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",560,81,3,"543;376;541",9.81506542707677e-15,2.14342432691694e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",563,122,4,"543;246;376;541",4.45476988630844e-15,2.14134265874577e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",564,126,4,"543;246;376;541",4.44089209850063e-15,2.13995487996499e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",567,116,4,"543;246;376;541",4.45476988630844e-15,2.14273043752655e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Int-Euclidean","low",645,105,4,"518;578;583;203",9.82547376793264e-15,5.74540415243519e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",1,525,5,"574;203;578;518;583",3.33066907387547e-15,3.27848859171809e-13,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",2,542,5,"242;205;168;617;288",4.9960036108132e-16,8.15458811587177e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",3,508,4,"541;246;376;543",7.13318293321663e-15,3.22242232897452e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",4,513,3,"508;35;103",1.77080572427712e-14,4.34652314140749e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",5,440,3,"508;35;103",1.79162240598885e-14,4.32015534457264e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",6,11,2,"205;168",9.78384040450919e-16,9.78384040450919e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",6,488,4,"541;246;376;543",5.42621503285545e-15,2.83523204913649e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",7,435,3,"508;35;103",1.81868409221408e-14,4.28407309627232e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",8,498,4,"541;246;376;543",4.96824803519758e-15,2.79914980083618e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",9,344,3,"541;246;543",4.69763117294519e-15,2.77833311912445e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",11,347,2,"541;246",4.05578348683377e-15,4.05578348683377e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",12,445,4,"541;246;376;543",3.94476118437126e-15,2.71865863155085e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",13,278,2,"541;246",3.73485964377807e-15,3.73485964377807e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",15,376,2,"541;246",3.17974813146549e-15,3.17974813146549e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",16,342,2,"541;246",2.94902990916057e-15,2.94902990916057e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",17,316,2,"541;246",2.7079033459998e-15,2.7079033459998e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",19,302,2,"541;246",2.13110779023751e-15,2.13110779023751e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",20,290,2,"541;246",1.29063426612674e-15,1.29063426612674e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",23,314,2,"541;246",4.06792655116561e-15,4.06792655116561e-15,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",26,412,4,"541;246;376;543",2.58473797920544e-15,2.60937105256431e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",28,431,3,"508;35;103",1.90784887887929e-14,4.13731549020468e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",32,386,2,"35;103",1.93560445449492e-14,1.93560445449492e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",33,426,3,"508;35;103",1.9369922332757e-14,4.08180433897343e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",35,364,2,"541;246",8.39606162372775e-16,8.39606162372775e-16,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",36,438,3,"508;35;103",1.94358418248441e-14,4.06688571708003e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",37,417,3,"541;246;543",5.06539254985228e-16,2.43763342844261e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",39,443,3,"508;35;103",1.96023752785379e-14,4.03219124756049e-14,"tolerance_near_tie"
"USHCN",NA,"IMDS","Hausdorff","low",40,357,2,"246;541",2.77555756156289e-17,2.77555756156289e-17,"tolerance_near_tie"
