"IDR","Metric","Q_TC.old","B_TC.old","Q_RE.old","B_RE.old","Q_LC.old","B_LC.old","Q_TC.new","B_TC.new","Q_RE.new","B_RE.new","Q_LC.new","B_LC.new"
"C-PCA","Centers-Euclidean",0.001,0.988,0.001,0.974,0.001,0.001,0.001,0.987,0.001,0.984,0.001,0.001
"C-PCA","Hausdorff",0.001,1,0.001,1,0.001,0.001,0.001,1,0.001,0.999,0.001,0.001
"C-PCA","Ichino-Yaguchi",0.001,1,0.001,1,0.001,0.001,0.001,0.999,0.001,0.996,0.001,0.001
"C-PCA","Int-Euclidean",0.001,1,0.001,1,0.001,0.001,0.001,1,0.001,1,0.001,0.001
"C-PCA","Wasserstein",0.001,1,0.001,1,0.001,0.001,0.001,0.999,0.001,0.998,0.001,0.001
"IMDS","Centers-Euclidean",0.001,0.025,0.001,0.033,0.001,0.608,0.001,0.044,0.001,0.036,0.001,0.596
"IMDS","Hausdorff",0.001,0.999,0.001,1,0.001,0.998,0.001,0.998,0.001,1,0.001,0.986
"IMDS","Ichino-Yaguchi",0.001,0.502,0.001,1,0.001,1,0.001,0.428,0.001,0.996,0.001,0.999
"IMDS","Int-Euclidean",0.999,0.999,0.987,1,0.999,1,0.998,0.997,0.969,1,0.997,1
"IMDS","Wasserstein",0.001,1,0.001,1,0.001,0.062,0.001,1,0.001,1,0.001,0.102
"Int-UMAP","Centers-Euclidean",0.001,0.903,0.001,1,0.001,1,0.001,0.889,0.001,0.998,0.001,1
"Int-UMAP","Hausdorff",0.001,0.999,0.001,1,0.001,0.125,0.001,1,0.001,1,0.001,0.164
"Int-UMAP","Ichino-Yaguchi",0.001,0.996,0.001,1,0.001,0.001,0.001,0.994,0.001,1,0.001,0.001
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.053,0.235,0.001,0.001,0.001,0.001,0.031,0.2
"Int-UMAP","Wasserstein",0.001,1,0.001,1,0.001,0.604,0.001,1,0.001,1,0.001,0.609
"MR-PCA","Centers-Euclidean",0.001,0.972,0.001,0.971,0.001,0.001,0.001,0.97,0.001,0.965,0.001,0.001
"MR-PCA","Hausdorff",0.001,0.984,0.001,1,0.001,0.001,0.001,0.972,0.001,0.999,0.001,0.001
"MR-PCA","Ichino-Yaguchi",0.001,0.812,0.001,0.981,0.001,0.001,0.001,0.758,0.001,0.972,0.001,0.001
"MR-PCA","Int-Euclidean",0.001,0.932,0.001,0.945,0.001,0.001,0.001,0.922,0.001,0.956,0.001,0.001
"MR-PCA","Wasserstein",0.001,0.953,0.001,0.993,0.001,0.001,0.001,0.95,0.001,0.997,0.001,0.001
"SPCA","Centers-Euclidean",0.001,0.99,0.001,0.979,0.001,0.001,0.001,0.98,0.001,0.977,0.001,0.001
"SPCA","Hausdorff",0.001,1,0.001,1,0.001,0.001,0.001,0.998,0.001,1,0.001,0.001
"SPCA","Ichino-Yaguchi",0.001,1,0.001,0.999,0.001,0.001,0.001,0.998,0.001,0.999,0.001,0.001
"SPCA","Int-Euclidean",0.001,1,0.001,1,0.001,0.001,0.001,1,0.001,1,0.001,0.001
"SPCA","Wasserstein",0.001,1,0.001,1,0.001,0.001,0.001,0.998,0.001,1,0.001,0.001
"V-PCA","Centers-Euclidean",0.001,0.95,0.001,0.96,0.001,0.001,0.001,0.944,0.001,0.954,0.001,0.001
"V-PCA","Hausdorff",0.001,0.999,0.001,1,0.001,0.001,0.001,0.999,0.001,0.999,0.001,0.001
"V-PCA","Ichino-Yaguchi",0.001,0.999,0.001,1,0.001,0.001,0.001,0.998,0.001,0.999,0.001,0.001
"V-PCA","Int-Euclidean",0.001,1,0.001,1,0.001,0.001,0.001,1,0.001,1,0.001,0.001
"V-PCA","Wasserstein",0.001,0.999,0.001,1,0.001,0.001,0.001,0.997,0.001,0.999,0.001,0.001
