"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread"
"C-PCA","Int-Euclidean",0.982261208576998,0.00428849902534112,0.949074074074074,0.0100833218880191,0.837037037037037,0.00740740740740742,FALSE,0
"C-PCA","Hausdorff",0.981481481481481,0.000389863547758273,0.952742297303484,0.0110561736025271,0.822222222222222,0.0814814814814815,FALSE,0
"C-PCA","Ichino-Yaguchi",0.979337231968811,-0.000779727095516547,0.956221672847136,0.00830929817332783,0.814814814814815,0.0740740740740741,FALSE,0
"C-PCA","Wasserstein",0.979727095516569,-0.000779727095516547,0.961309115048299,0.0110218376596621,0.814814814814815,0.0814814814814815,FALSE,0
"C-PCA","Centers-Euclidean",0.978557504873294,0.000779727095516658,0.960673900105297,0.0113537517740237,0.807407407407407,0.0962962962962963,FALSE,0
"V-PCA","Int-Euclidean",0.981676413255361,0.00467836257309939,0.949022570159777,0.0104152360023806,0.82962962962963,0.00740740740740742,FALSE,0
"V-PCA","Hausdorff",0.981481481481481,0.000389863547758273,0.952965480932106,0.0113423064597354,0.822222222222222,0.0814814814814815,FALSE,0
"V-PCA","Ichino-Yaguchi",0.97953216374269,-0.000389863547758273,0.95516870393261,0.0107585954310305,0.814814814814815,0.0814814814814815,FALSE,0
"V-PCA","Wasserstein",0.980116959064327,-0.00155945419103309,0.959283294419265,0.0111134001739688,0.822222222222222,0.0962962962962963,FALSE,0
"V-PCA","Centers-Euclidean",0.978752436647174,0.000389863547758273,0.959575149933617,0.0125211738314334,0.807407407407407,0.0962962962962963,FALSE,0
"MR-PCA","Int-Euclidean",0.981676413255361,0.00467836257309939,0.947706359016619,0.00661539165865496,0.837037037037037,0.0148148148148148,FALSE,0
"MR-PCA","Hausdorff",0.980116959064327,0,0.950836652474477,0.00660394634436662,0.814814814814815,0.0666666666666667,FALSE,0
"MR-PCA","Ichino-Yaguchi",0.98187134502924,0.00194931773879148,0.952547726960582,0.0159089868607792,0.837037037037037,0.0962962962962963,FALSE,0
"MR-PCA","Wasserstein",0.979142300194932,0.000389863547758273,0.957211692533077,0.00697019640159319,0.814814814814815,0.0592592592592593,FALSE,0
"MR-PCA","Centers-Euclidean",0.978557504873294,0.000779727095516658,0.960673900105297,0.0113537517740237,0.807407407407407,0.0962962962962963,FALSE,0
"SPCA","Int-Euclidean",0.982261208576998,0.00428849902534112,0.949074074074074,0.0100833218880191,0.837037037037037,0.00740740740740742,FALSE,0
"SPCA","Hausdorff",0.981481481481481,0.000389863547758273,0.952742297303484,0.0110561736025271,0.822222222222222,0.0814814814814815,FALSE,0
"SPCA","Ichino-Yaguchi",0.979337231968811,-0.000779727095516547,0.956221672847136,0.00830929817332783,0.814814814814815,0.0740740740740741,FALSE,0
"SPCA","Wasserstein",0.979727095516569,-0.000779727095516547,0.961309115048299,0.0110218376596621,0.814814814814815,0.0814814814814815,FALSE,0
"SPCA","Centers-Euclidean",0.978557504873294,0.000779727095516658,0.960673900105297,0.0113537517740237,0.807407407407407,0.0962962962962963,FALSE,0
"IMDS","Int-Euclidean",0.564912280701754,0.016374269005848,0.532338735521677,0.0467769994964062,0.222222222222222,0.0148148148148148,FALSE,0
"IMDS","Hausdorff",0.577582846003899,0.0323586744639377,0.571189854873415,0.0188160966900151,0.244444444444444,0.0518518518518519,FALSE,0
"IMDS","Ichino-Yaguchi",0.562573099415205,0.0428849902534113,0.556557020555784,0.0451517648674633,0.22962962962963,0.0148148148148148,FALSE,0
"IMDS","Wasserstein",0.570175438596491,0.015204678362573,0.557072059698759,0.0246188710341985,0.237037037037037,0.037037037037037,FALSE,0
"IMDS","Centers-Euclidean",0.56374269005848,0.0288499025341131,0.559046376413496,0.0289337545208991,0.214814814814815,0,FALSE,0
"Int-UMAP","Int-Euclidean",0.817738791423002,0.042495126705653,0.785554868836698,0.088552396648812,0.555555555555556,0.0518518518518518,FALSE,0
"Int-UMAP","Hausdorff",0.760038986354776,-0.0510721247563353,0.859772009339376,-0.0222725816050909,0.533333333333333,0.0148148148148148,FALSE,0
"Int-UMAP","Ichino-Yaguchi",0.793567251461988,0.00584795321637432,0.876751133086115,0.00287277388637092,0.555555555555556,0,FALSE,0
"Int-UMAP","Wasserstein",0.776218323586745,-0.0226120857699805,0.869803827313098,-0.0104953532023989,0.555555555555556,-0.0222222222222222,FALSE,0
"Int-UMAP","Centers-Euclidean",0.775243664717349,-0.0276803118908382,0.860069587510873,-0.00132765645744631,0.555555555555556,-0.0296296296296296,FALSE,0
