"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",0.003,1,0.003,0.999,0.003,0.999
"C-PCA","Hausdorff",0.003,1,0.003,0.999,0.003,0.061
"C-PCA","Ichino-Yaguchi",0.003,1,0.003,1,0.003,0.131
"C-PCA","Wasserstein",0.003,1,0.003,0.999,0.003,0.113
"C-PCA","Centers-Euclidean",0.003,1,0.003,0.998,0.003,0.016
"V-PCA","Int-Euclidean",0.003,1,0.006,1,0.003,0.997
"V-PCA","Hausdorff",0.003,1,0.006,0.999,0.003,0.077
"V-PCA","Ichino-Yaguchi",0.003,1,0.006,1,0.003,0.144
"V-PCA","Wasserstein",0.003,1,0.006,0.999,0.003,0.06
"V-PCA","Centers-Euclidean",0.003,1,0.006,0.999,0.003,0.043
"MR-PCA","Int-Euclidean",0.002,1,0.004,1,0.005,0.996
"MR-PCA","Hausdorff",0.002,1,0.004,1,0.005,0.292
"MR-PCA","Ichino-Yaguchi",0.002,1,0.004,0.985,0.005,0.064
"MR-PCA","Wasserstein",0.002,1,0.004,1,0.005,0.405
"MR-PCA","Centers-Euclidean",0.002,1,0.004,1,0.005,0.038
"SPCA","Int-Euclidean",0.002,1,0.004,0.999,0.004,0.997
"SPCA","Hausdorff",0.002,1,0.004,0.999,0.004,0.084
"SPCA","Ichino-Yaguchi",0.002,1,0.004,1,0.004,0.154
"SPCA","Wasserstein",0.002,1,0.004,0.999,0.004,0.131
"SPCA","Centers-Euclidean",0.002,1,0.004,0.999,0.004,0.037
"IMDS","Int-Euclidean",0.444,0.99,0.683,0.69,0.678,1
"IMDS","Hausdorff",0.257,0.813,0.106,0.991,0.377,0.488
"IMDS","Ichino-Yaguchi",0.444,0.589,0.258,0.645,0.592,0.999
"IMDS","Wasserstein",0.3,0.988,0.249,0.959,0.455,0.816
"IMDS","Centers-Euclidean",0.435,0.856,0.24,0.928,0.808,1
"Int-UMAP","Int-Euclidean",0.005,0.677,0.005,0.218,0.003,0.488
"Int-UMAP","Hausdorff",0.005,0.523,0.005,0.981,0.003,0.999
"Int-UMAP","Ichino-Yaguchi",0.005,1,0.005,1,0.003,1
"Int-UMAP","Wasserstein",0.005,0.929,0.005,0.998,0.003,0.966
"Int-UMAP","Centers-Euclidean",0.005,0.879,0.005,1,0.003,0.824
