"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",0.001,0.917,0.001,0.829,0.001,0.784
"C-PCA","Hausdorff",0.001,0.996,0.001,0.81,0.001,0.015
"C-PCA","Ichino-Yaguchi",0.001,0.988,0.001,0.871,0.001,0.037
"C-PCA","Wasserstein",0.001,0.984,0.001,0.818,0.001,0.029
"C-PCA","Centers-Euclidean",0.001,0.982,0.001,0.804,0.001,0.004
"V-PCA","Int-Euclidean",0.001,0.896,0.001,0.825,0.001,0.782
"V-PCA","Hausdorff",0.001,0.991,0.001,0.803,0.001,0.024
"V-PCA","Ichino-Yaguchi",0.001,0.989,0.001,0.82,0.001,0.041
"V-PCA","Wasserstein",0.001,0.968,0.001,0.806,0.001,0.017
"V-PCA","Centers-Euclidean",0.001,0.994,0.001,0.798,0.001,0.012
"MR-PCA","Int-Euclidean",0.001,0.904,0.001,0.877,0.001,0.789
"MR-PCA","Hausdorff",0.001,1,0.001,0.885,0.001,0.091
"MR-PCA","Ichino-Yaguchi",0.001,0.957,0.001,0.679,0.001,0.017
"MR-PCA","Wasserstein",0.001,0.996,0.001,0.854,0.001,0.137
"MR-PCA","Centers-Euclidean",0.001,0.98,0.001,0.799,0.001,0.011
"SPCA","Int-Euclidean",0.001,0.915,0.001,0.81,0.001,0.797
"SPCA","Hausdorff",0.001,0.995,0.001,0.811,0.001,0.023
"SPCA","Ichino-Yaguchi",0.001,0.989,0.001,0.865,0.001,0.045
"SPCA","Wasserstein",0.001,0.988,0.001,0.815,0.001,0.039
"SPCA","Centers-Euclidean",0.001,0.977,0.001,0.803,0.001,0.01
"IMDS","Int-Euclidean",0.124,0.655,0.221,0.225,0.192,0.735
"IMDS","Hausdorff",0.061,0.344,0.021,0.631,0.084,0.114
"IMDS","Ichino-Yaguchi",0.124,0.195,0.057,0.197,0.152,0.732
"IMDS","Wasserstein",0.077,0.642,0.054,0.503,0.103,0.293
"IMDS","Centers-Euclidean",0.12,0.387,0.051,0.43,0.285,1
"Int-UMAP","Int-Euclidean",0.001,0.259,0.001,0.054,0.001,0.156
"Int-UMAP","Hausdorff",0.001,0.178,0.001,0.6,0.001,0.766
"Int-UMAP","Ichino-Yaguchi",0.001,0.86,0.001,0.929,0.001,1
"Int-UMAP","Wasserstein",0.001,0.508,0.001,0.777,0.001,0.573
"Int-UMAP","Centers-Euclidean",0.001,0.428,0.001,0.974,0.001,0.377
