"IDR","Metric","col","value","star","qc","changed"
"C-PCA","Int-Euclidean","Q_TC",0.982261208576998,TRUE,0.962065095398429,FALSE
"C-PCA","Int-Euclidean","B_TC",0.00428849902534112,FALSE,NA,FALSE
"C-PCA","Int-Euclidean","Q_RE",0.949074074074074,TRUE,0.895206209707151,FALSE
"C-PCA","Int-Euclidean","B_RE",0.0100833218880191,FALSE,NA,FALSE
"C-PCA","Int-Euclidean","Q_LC",0.837037037037037,TRUE,0.798236331569665,FALSE
"C-PCA","Int-Euclidean","B_LC",0.00740740740740742,FALSE,NA,FALSE
"C-PCA","Hausdorff","Q_TC",0.981481481481481,TRUE,0.960397627064294,FALSE
"C-PCA","Hausdorff","B_TC",0.000389863547758273,FALSE,NA,FALSE
"C-PCA","Hausdorff","Q_RE",0.952742297303484,TRUE,0.902754565654754,FALSE
"C-PCA","Hausdorff","B_RE",0.0110561736025271,FALSE,NA,FALSE
"C-PCA","Hausdorff","Q_LC",0.822222222222222,TRUE,0.77989417989418,FALSE
"C-PCA","Hausdorff","B_LC",0.0814814814814815,FALSE,NA,FALSE
"C-PCA","Ichino-Yaguchi","Q_TC",0.979337231968811,TRUE,0.955812089145423,FALSE
"C-PCA","Ichino-Yaguchi","B_TC",-0.000779727095516547,FALSE,NA,FALSE
"C-PCA","Ichino-Yaguchi","Q_RE",0.956221672847136,TRUE,0.909914316693978,FALSE
"C-PCA","Ichino-Yaguchi","B_RE",0.00830929817332783,FALSE,NA,FALSE
"C-PCA","Ichino-Yaguchi","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"C-PCA","Ichino-Yaguchi","B_LC",0.0740740740740741,FALSE,NA,FALSE
"C-PCA","Wasserstein","Q_TC",0.979727095516569,TRUE,0.95664582331249,FALSE
"C-PCA","Wasserstein","B_TC",-0.000779727095516547,FALSE,NA,FALSE
"C-PCA","Wasserstein","Q_RE",0.961309115048299,TRUE,0.920383097407579,FALSE
"C-PCA","Wasserstein","B_RE",0.0110218376596621,FALSE,NA,FALSE
"C-PCA","Wasserstein","Q_LC",0.814814814814815,TRUE,0.770723104056437,FALSE
"C-PCA","Wasserstein","B_LC",0.0814814814814815,FALSE,NA,FALSE
"C-PCA","Centers-Euclidean","Q_TC",0.978557504873294,TRUE,0.954144620811288,FALSE
"C-PCA","Centers-Euclidean","B_TC",0.000779727095516658,FALSE,NA,FALSE
