"IDR","Metric","col","frac","cp_lo","cp_hi","qc"
"C-PCA","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.800239426669053
"C-PCA","Centers-Euclidean","B_TC",1,0.862814828469287,1,NA
"C-PCA","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.793404114636309
"C-PCA","Centers-Euclidean","B_RE",1,0.862814828469287,1,NA
"C-PCA","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.281453408073818
"C-PCA","Centers-Euclidean","B_LC",1,0.862814828469287,1,NA
"IMDS","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.0742854477723421
"IMDS","Centers-Euclidean","B_TC",0.84,0.639171545540728,0.95462054762829,NA
"IMDS","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.0836129449357195
"IMDS","Centers-Euclidean","B_RE",0.96,0.796483086077586,0.998987800300689,NA
"IMDS","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.0210112341407151
"IMDS","Centers-Euclidean","B_LC",0.04,0.00101219969931085,0.203516913922414,NA
"Int-UMAP","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.590027202321123
"Int-UMAP","Centers-Euclidean","B_TC",0.72,0.506123178193745,0.879283311495933,NA
"Int-UMAP","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.637740499999275
"Int-UMAP","Centers-Euclidean","B_RE",0.72,0.506123178193745,0.879283311495933,NA
"Int-UMAP","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.269815445213379
"Int-UMAP","Centers-Euclidean","B_LC",0.8,0.592962567721323,0.931688535987516,NA
"MR-PCA","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.800239429998807
"MR-PCA","Centers-Euclidean","B_TC",1,0.862814828469287,1,NA
"MR-PCA","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.793404028427485
"MR-PCA","Centers-Euclidean","B_RE",1,0.862814828469287,1,NA
"MR-PCA","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.281454856516724
"MR-PCA","Centers-Euclidean","B_LC",1,0.862814828469287,1,NA
"SPCA","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.800239439750229
"SPCA","Centers-Euclidean","B_TC",1,0.862814828469287,1,NA
"SPCA","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.793404102080364
"SPCA","Centers-Euclidean","B_RE",1,0.862814828469287,1,NA
"SPCA","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.281455132410611
"SPCA","Centers-Euclidean","B_LC",1,0.862814828469287,1,NA
"V-PCA","Centers-Euclidean","Q_TC",1,0.862814828469287,1,0.800109824802132
"V-PCA","Centers-Euclidean","B_TC",1,0.862814828469287,1,NA
"V-PCA","Centers-Euclidean","Q_RE",1,0.862814828469287,1,0.793283380902758
"V-PCA","Centers-Euclidean","B_RE",1,0.862814828469287,1,NA
"V-PCA","Centers-Euclidean","Q_LC",1,0.862814828469287,1,0.281320565167243
"V-PCA","Centers-Euclidean","B_LC",1,0.862814828469287,1,NA
"C-PCA","Hausdorff","Q_TC",1,0.862814828469287,1,0.837231332785268
"C-PCA","Hausdorff","B_TC",1,0.862814828469287,1,NA
"C-PCA","Hausdorff","Q_RE",1,0.862814828469287,1,0.83435864060599
"C-PCA","Hausdorff","B_RE",1,0.862814828469287,1,NA
"C-PCA","Hausdorff","Q_LC",1,0.862814828469287,1,0.336108538869666
"C-PCA","Hausdorff","B_LC",1,0.862814828469287,1,NA
"IMDS","Hausdorff","Q_TC",1,0.862814828469287,1,0.0877718287992682
"IMDS","Hausdorff","B_TC",0.88,0.687809692713765,0.974534603352267,NA
"IMDS","Hausdorff","Q_RE",1,0.862814828469287,1,0.0967536525028029
"IMDS","Hausdorff","B_RE",0.96,0.796483086077586,0.998987800300689,NA
"IMDS","Hausdorff","Q_LC",1,0.862814828469287,1,0.0232068666666667
"IMDS","Hausdorff","B_LC",0,0,0.137185171530713,NA
"Int-UMAP","Hausdorff","Q_TC",1,0.862814828469287,1,0.605955987972
"Int-UMAP","Hausdorff","B_TC",0.52,0.313057044457032,0.722031990330053,NA
"Int-UMAP","Hausdorff","Q_RE",1,0.862814828469287,1,0.662194975018532
