"IDR","Metric","col","value","star","dagger","qc"
"C-PCA","Int-Euclidean","Q_TC",0.997971935398464,TRUE,FALSE,0.995915579953137
"C-PCA","Int-Euclidean","B_TC",0.000974564530727529,FALSE,FALSE,NA
"C-PCA","Int-Euclidean","Q_RE",0.997437428688668,TRUE,FALSE,0.994867210157649
"C-PCA","Int-Euclidean","B_RE",0.000706876822178884,FALSE,FALSE,NA
"C-PCA","Int-Euclidean","Q_LC",0.818914728682171,TRUE,FALSE,0.816058494118798
"C-PCA","Int-Euclidean","B_LC",0.0382945736434109,TRUE,FALSE,NA
"C-PCA","Hausdorff","Q_TC",0.996068492897649,TRUE,FALSE,0.992082142545622
"C-PCA","Hausdorff","B_TC",0.00278207756863758,FALSE,FALSE,NA
"C-PCA","Hausdorff","Q_RE",0.994674185214716,TRUE,FALSE,0.98933247714463
"C-PCA","Hausdorff","B_RE",0.0027053757902486,FALSE,FALSE,NA
"C-PCA","Hausdorff","Q_LC",0.742635658914729,TRUE,FALSE,0.738576284449661
"C-PCA","Hausdorff","B_LC",0.0818604651162791,TRUE,FALSE,NA
"C-PCA","Ichino-Yaguchi","Q_TC",0.995992143389302,TRUE,FALSE,0.991928378478037
"C-PCA","Ichino-Yaguchi","B_TC",0.00332736083147078,FALSE,FALSE,NA
"C-PCA","Ichino-Yaguchi","Q_RE",0.994410186983824,TRUE,FALSE,0.988803692859907
"C-PCA","Ichino-Yaguchi","B_RE",0.0035899361013592,FALSE,FALSE,NA
"C-PCA","Ichino-Yaguchi","Q_LC",0.756744186046512,TRUE,FALSE,0.752907343555132
"C-PCA","Ichino-Yaguchi","B_LC",0.108527131782946,TRUE,FALSE,NA
"C-PCA","Wasserstein","Q_TC",0.996874226499437,TRUE,FALSE,0.993704849471763
"C-PCA","Wasserstein","B_TC",0.00312959097598065,FALSE,FALSE,NA
"C-PCA","Wasserstein","Q_RE",0.995245166023637,TRUE,FALSE,0.990476142682152
"C-PCA","Wasserstein","B_RE",0.00333120187022701,FALSE,FALSE,NA
"C-PCA","Wasserstein","Q_LC",0.805116279069767,TRUE,FALSE,0.802042403345316
"C-PCA","Wasserstein","B_LC",0.122480620155039,TRUE,FALSE,NA
"C-PCA","Centers-Euclidean","Q_TC",0.995728737585508,TRUE,FALSE,0.991397892444869
"C-PCA","Centers-Euclidean","B_TC",0.00454870667627194,FALSE,FALSE,NA
"C-PCA","Centers-Euclidean","Q_RE",0.993197699829941,TRUE,FALSE,0.986375100250634
"C-PCA","Centers-Euclidean","B_RE",0.00577609018682161,FALSE,FALSE,NA
"C-PCA","Centers-Euclidean","Q_LC",0.761705426356589,TRUE,FALSE,0.757946836866945
"C-PCA","Centers-Euclidean","B_LC",0.174108527131783,TRUE,FALSE,NA
"V-PCA","Int-Euclidean","Q_TC",0.997921076774356,TRUE,FALSE,0.9958131532436
"V-PCA","Int-Euclidean","B_TC",0.00121420347143975,FALSE,FALSE,NA
"V-PCA","Int-Euclidean","Q_RE",0.997429202579917,TRUE,FALSE,0.994850733391812
"V-PCA","Int-Euclidean","B_RE",0.000776603293702855,FALSE,FALSE,NA
"V-PCA","Int-Euclidean","Q_LC",0.79937984496124,TRUE,FALSE,0.796215489203531
"V-PCA","Int-Euclidean","B_LC",0.0637209302325581,TRUE,FALSE,NA
"V-PCA","Hausdorff","Q_TC",0.99540191243204,TRUE,FALSE,0.990739683032982
"V-PCA","Hausdorff","B_TC",0.00275375436392855,FALSE,FALSE,NA
"V-PCA","Hausdorff","Q_RE",0.994489292563422,TRUE,FALSE,0.988962140085799
"V-PCA","Hausdorff","B_RE",0.00224315139188051,FALSE,FALSE,NA
"V-PCA","Hausdorff","Q_LC",0.72108527131783,TRUE,FALSE,0.71668598537647
"V-PCA","Hausdorff","B_LC",0.0609302325581395,TRUE,FALSE,NA
"V-PCA","Ichino-Yaguchi","Q_TC",0.995069792070734,TRUE,FALSE,0.990070809338987
"V-PCA","Ichino-Yaguchi","B_TC",0.00294610586721344,FALSE,FALSE,NA
"V-PCA","Ichino-Yaguchi","Q_RE",0.994198355194296,TRUE,FALSE,0.988379397132888
"V-PCA","Ichino-Yaguchi","B_RE",0.00226885553753862,FALSE,FALSE,NA
"V-PCA","Ichino-Yaguchi","Q_LC",0.724806201550388,TRUE,FALSE,0.720465605360331
"V-PCA","Ichino-Yaguchi","B_LC",0.0572093023255814,TRUE,FALSE,NA
"V-PCA","Wasserstein","Q_TC",0.995667165401358,TRUE,FALSE,0.991273889164559
"V-PCA","Wasserstein","B_TC",0.0033906570367771,FALSE,FALSE,NA
"V-PCA","Wasserstein","Q_RE",0.994418006412609,TRUE,FALSE,0.988819355052197
"V-PCA","Wasserstein","B_RE",0.00307094016557254,FALSE,FALSE,NA
"V-PCA","Wasserstein","Q_LC",0.757519379844961,TRUE,FALSE,0.753694764385103
"V-PCA","Wasserstein","B_LC",0.0928682170542636,TRUE,FALSE,NA
"V-PCA","Centers-Euclidean","Q_TC",0.99382985142632,TRUE,FALSE,0.987573631280097
"V-PCA","Centers-Euclidean","B_TC",0.00596979268645592,FALSE,FALSE,NA
"V-PCA","Centers-Euclidean","Q_RE",0.991274176216161,TRUE,FALSE,0.982522312848126
"V-PCA","Centers-Euclidean","B_RE",0.00723863031015465,FALSE,FALSE,NA
"V-PCA","Centers-Euclidean","Q_LC",0.707441860465116,TRUE,FALSE,0.702827378768982
"V-PCA","Centers-Euclidean","B_LC",0.148062015503876,TRUE,FALSE,NA
"MR-PCA","Int-Euclidean","Q_TC",0.917931051468189,TRUE,FALSE,0.834717267707101
"MR-PCA","Int-Euclidean","B_TC",-0.0170685483126143,FALSE,FALSE,NA
"MR-PCA","Int-Euclidean","Q_RE",0.908665122978527,TRUE,FALSE,0.81705768461738
"MR-PCA","Int-Euclidean","B_RE",-0.0260579168073574,FALSE,FALSE,NA
"MR-PCA","Int-Euclidean","Q_LC",0.178604651162791,TRUE,FALSE,0.165648888562835
"MR-PCA","Int-Euclidean","B_LC",-0.0344186046511628,TRUE,FALSE,NA
"MR-PCA","Hausdorff","Q_TC",0.992472554198915,TRUE,FALSE,0.984840102968935
"MR-PCA","Hausdorff","B_TC",0.00440930725135613,FALSE,FALSE,NA
"MR-PCA","Hausdorff","Q_RE",0.991599874124088,TRUE,FALSE,0.983174680610962
"MR-PCA","Hausdorff","B_RE",0.00394658900949215,FALSE,FALSE,NA
"MR-PCA","Hausdorff","Q_LC",0.656434108527132,TRUE,FALSE,0.651015088156897
"MR-PCA","Hausdorff","B_LC",0.069922480620155,TRUE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_TC",0.985956246805943,TRUE,FALSE,0.971716587807127
"MR-PCA","Ichino-Yaguchi","B_TC",0.00747067624729847,FALSE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_RE",0.986821994456684,TRUE,FALSE,0.973604663138131
"MR-PCA","Ichino-Yaguchi","B_RE",0.00540306261793246,FALSE,FALSE,NA
"MR-PCA","Ichino-Yaguchi","Q_LC",0.551627906976744,TRUE,FALSE,0.544555791944832
"MR-PCA","Ichino-Yaguchi","B_LC",0.087906976744186,TRUE,FALSE,NA
"MR-PCA","Wasserstein","Q_TC",0.992537697569746,TRUE,FALSE,0.984971298439504
"MR-PCA","Wasserstein","B_TC",0.00511640221413578,FALSE,FALSE,NA
"MR-PCA","Wasserstein","Q_RE",0.991209107914483,TRUE,FALSE,0.982391982068086
"MR-PCA","Wasserstein","B_RE",0.00434289904753646,FALSE,FALSE,NA
