"dataset","IDR","Metric","test","old_raw","new_raw","raw_delta","old_adj","new_adj","adj_delta","old_marker","new_marker","marker_flip"
"Face","C-PCA","Int-Euclidean","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Int-Euclidean","B_TC",0.919,0.917,-0.002,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Int-Euclidean","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Int-Euclidean","B_RE",0.84,0.829,-0.011,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","C-PCA","Int-Euclidean","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Int-Euclidean","B_LC",0.781,0.784,0.003,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","C-PCA","Hausdorff","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Hausdorff","B_TC",0.997,0.996,-0.001,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Hausdorff","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Hausdorff","B_RE",0.815,0.81,-0.00499999999999989,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","C-PCA","Hausdorff","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Hausdorff","B_LC",0.015,0.015,0,0.06,0.061,0.001,FALSE,FALSE,FALSE
"Face","C-PCA","Ichino-Yaguchi","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Ichino-Yaguchi","B_TC",0.984,0.988,0.004,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Ichino-Yaguchi","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Ichino-Yaguchi","B_RE",0.88,0.871,-0.00900000000000001,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Ichino-Yaguchi","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Ichino-Yaguchi","B_LC",0.036,0.037,0.001,0.138,0.131,-0.00700000000000001,FALSE,FALSE,FALSE
"Face","C-PCA","Wasserstein","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Wasserstein","B_TC",0.985,0.984,-0.001,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Wasserstein","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Wasserstein","B_RE",0.828,0.818,-0.01,0.999,0.999,0,FALSE,FALSE,FALSE
"Face","C-PCA","Wasserstein","Q_LC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Wasserstein","B_LC",0.031,0.029,-0.002,0.121,0.113,-0.00799999999999999,FALSE,FALSE,FALSE
"Face","C-PCA","Centers-Euclidean","Q_TC",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
"Face","C-PCA","Centers-Euclidean","B_TC",0.98,0.982,0.002,1,1,0,FALSE,FALSE,FALSE
"Face","C-PCA","Centers-Euclidean","Q_RE",0.001,0.001,0,0.001,0.003,0.002,TRUE,TRUE,FALSE
