"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","level","rep"
"C-PCA","Int-Euclidean",0.93288107791447,0.0508447568834212,0.927141549159229,0.058435237078941,0.349333333333333,0.0573333333333333,FALSE,0,"L3",1
"C-PCA","Hausdorff",0.946654364381957,0.0330978324545986,0.937736535866769,0.0425467485169661,0.356666666666667,0.0623333333333334,FALSE,0,"L3",1
"C-PCA","Ichino-Yaguchi",0.923912712360867,0.0647978910369069,0.917377016916128,0.0766947161606444,0.342333333333333,0.0713333333333333,FALSE,0,"L3",1
"C-PCA","Wasserstein",0.918877562975981,0.0630392501464557,0.913679799313554,0.0769389268362778,0.328,0.073,FALSE,0,"L3",1
"C-PCA","Centers-Euclidean",0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,FALSE,0,"L3",1
"V-PCA","Int-Euclidean",0.931865846514353,0.0525635618043351,0.927143703033678,0.05805750614499,0.346666666666667,0.057,FALSE,0,"L3",1
"V-PCA","Hausdorff",0.946931458699473,0.0323772700644406,0.937555725552489,0.0430642801799184,0.356666666666667,0.0656666666666667,FALSE,0,"L3",1
"V-PCA","Ichino-Yaguchi",0.923791446983011,0.0646514352665496,0.916776010720553,0.0775461705171586,0.340333333333333,0.075,FALSE,0,"L3",1
"V-PCA","Wasserstein",0.91873345049795,0.063079086115993,0.912896832944853,0.0781535984210857,0.325333333333333,0.0703333333333333,FALSE,0,"L3",1
"V-PCA","Centers-Euclidean",0.835171060339777,0.142171060339777,0.835799802819933,0.154946204567718,0.206666666666667,0.0486666666666667,FALSE,0,"L3",1
"MR-PCA","Int-Euclidean",0.735240187463386,0.224338605741066,0.742354221616947,0.249991505782378,0.136333333333333,0.027,FALSE,0,"L3",1
"MR-PCA","Hausdorff",0.739540714704159,0.207212653778559,0.756824726969932,0.21522677780229,0.135333333333333,0.0263333333333333,FALSE,0,"L3",1
"MR-PCA","Ichino-Yaguchi",0.711557703573521,0.260146455770357,0.723986169915363,0.27798603527902,0.129666666666667,0.0243333333333333,FALSE,0,"L3",1
"MR-PCA","Wasserstein",0.740836555360281,0.231093145869947,0.750188563034141,0.244583847046974,0.148666666666667,0.0323333333333333,FALSE,0,"L3",1
"MR-PCA","Centers-Euclidean",0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,FALSE,0,"L3",1
"SPCA","Int-Euclidean",0.93288107791447,0.0508447568834212,0.927141549159229,0.058435237078941,0.349333333333333,0.0573333333333333,FALSE,0,"L3",1
"SPCA","Hausdorff",0.946654364381957,0.0330978324545986,0.937736535866769,0.0425467485169661,0.356666666666667,0.0623333333333334,FALSE,0,"L3",1
"SPCA","Ichino-Yaguchi",0.923912712360867,0.0647978910369069,0.917377016916128,0.0766947161606444,0.342333333333333,0.0713333333333333,FALSE,0,"L3",1
"SPCA","Wasserstein",0.918877562975981,0.0630392501464557,0.913679799313554,0.0769389268362778,0.328,0.073,FALSE,0,"L3",1
"SPCA","Centers-Euclidean",0.834595196250732,0.143400117164616,0.834302520033105,0.158415359412255,0.206,0.047,FALSE,0,"L3",1
"IMDS","Int-Euclidean",0.573020972466315,-0.0401982425307557,0.560341686543566,-0.0361284413824528,0.045,-0.00133333333333333,TRUE,5.85823081433734e-06,"L3",1
"IMDS","Hausdorff",0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,TRUE,0,"L3",1
"IMDS","Ichino-Yaguchi",0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,TRUE,0,"L3",1
"IMDS","Wasserstein",0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,TRUE,0,"L3",1
"IMDS","Centers-Euclidean",0.511109548916227,-0.00274868189806665,0.500676117769495,-0.00687672853030075,0.0313333333333333,-0.00233333333333333,FALSE,0,"L3",1
"Int-UMAP","Int-Euclidean",0.777503807850029,-0.0960527240773287,0.777131124437602,-0.0989882577765537,0.167333333333333,0.004,FALSE,0,"L3",1
"Int-UMAP","Hausdorff",0.90290158172232,-0.00934856473345047,0.903369252221768,-0.00514824198249789,0.285333333333333,0.018,FALSE,0,"L3",1
"Int-UMAP","Ichino-Yaguchi",0.874869947275923,0.0236801405975395,0.88081293562034,0.0256186447846532,0.291666666666667,0.0153333333333333,FALSE,0,"L3",1
"Int-UMAP","Wasserstein",0.857821323960164,0.00907205623901575,0.866098635628768,0.0174674781077775,0.259,0.0123333333333333,FALSE,0,"L3",1
"Int-UMAP","Centers-Euclidean",0.610858816637376,-0.0976988869361453,0.61882869068229,-0.111347800369152,0.124666666666667,-0.00366666666666667,FALSE,0,"L3",1
"C-PCA","CR-Euclidean",0.93702870533099,0.0508189806678383,0.928948043420758,0.0604767661732099,0.355333333333333,0.0716666666666667,FALSE,0,"L3",1
"V-PCA","CR-Euclidean",0.937363210310486,0.049892208553017,0.928434481764451,0.0613313246880528,0.352666666666667,0.0733333333333333,FALSE,0,"L3",1
"MR-PCA","CR-Euclidean",0.723870533099004,0.230508494434681,0.739688656911135,0.242673291327408,0.124333333333333,0.0283333333333333,FALSE,0,"L3",1
"SPCA","CR-Euclidean",0.93702870533099,0.0508189806678383,0.928948043420758,0.0604767661732099,0.355333333333333,0.0716666666666667,FALSE,0,"L3",1
"IMDS","CR-Euclidean",0.601115992970123,-0.0638488576449913,0.602349663631745,-0.0845360964333958,0.0673333333333333,-0.00666666666666667,FALSE,0,"L3",1
"Int-UMAP","CR-Euclidean",0.890981253661394,0.00853778558875218,0.893882790850194,0.00997127195113545,0.299333333333333,0.0106666666666667,FALSE,0,"L3",1
"C-PCA","Int-Euclidean",0.938250732278852,0.0485483304042179,0.93127642084711,0.0569886056510726,0.356,0.063,FALSE,0,"L3",2
"C-PCA","Hausdorff",0.950895723491506,0.0325916813122437,0.942108904067844,0.0422162892166729,0.378666666666667,0.0916666666666667,FALSE,0,"L3",2
"C-PCA","Ichino-Yaguchi",0.933039250146456,0.0561405975395431,0.926029205800631,0.0678539841994964,0.373333333333333,0.085,FALSE,0,"L3",2
"C-PCA","Wasserstein",0.929138254247217,0.0572782659636789,0.922746796322847,0.0704611333125468,0.355333333333333,0.0876666666666667,FALSE,0,"L3",2
"C-PCA","Centers-Euclidean",0.83970474516696,0.14184417106034,0.84151105192434,0.151688861705755,0.220333333333333,0.046,FALSE,0,"L3",2
"V-PCA","Int-Euclidean",0.93833216168717,0.0482917398945518,0.931307657399787,0.0567187342402941,0.355,0.0633333333333333,FALSE,0,"L3",2
"V-PCA","Hausdorff",0.951273579379027,0.0319461042765085,0.942248347864694,0.0420935183731017,0.38,0.0926666666666667,FALSE,0,"L3",2
"V-PCA","Ichino-Yaguchi",0.933352079671939,0.0555008787346222,0.926148738924165,0.0675209457765562,0.373333333333333,0.0843333333333333,FALSE,0,"L3",2
"V-PCA","Wasserstein",0.929197422378442,0.0570732278851787,0.922933669110539,0.0699376174709768,0.354,0.084,FALSE,0,"L3",2
"V-PCA","Centers-Euclidean",0.83984417106034,0.141591095489162,0.840741886932184,0.153248641393414,0.219333333333333,0.0443333333333333,FALSE,0,"L3",2
"MR-PCA","Int-Euclidean",0.742374926772115,0.222094903339191,0.746361883453439,0.253774495332479,0.142,0.028,FALSE,0,"L3",2
"MR-PCA","Hausdorff",0.751052724077329,0.209812536613943,0.764133833130458,0.223780987659666,0.146666666666667,0.022,FALSE,0,"L3",2
"MR-PCA","Ichino-Yaguchi",0.725088459285296,0.261391915641476,0.732109781430102,0.287364327018628,0.138333333333333,0.0206666666666667,FALSE,0,"L3",2
"MR-PCA","Wasserstein",0.752522554188635,0.231896895137669,0.757195853507676,0.255859138760329,0.158,0.0193333333333333,FALSE,0,"L3",2
"MR-PCA","Centers-Euclidean",0.83970474516696,0.14184417106034,0.84151105192434,0.151688861705755,0.220333333333333,0.046,FALSE,0,"L3",2
"SPCA","Int-Euclidean",0.938250732278852,0.0485483304042179,0.93127642084711,0.0569886056510726,0.356,0.063,FALSE,0,"L3",2
"SPCA","Hausdorff",0.950895723491506,0.0325916813122437,0.942108904067844,0.0422162892166729,0.378666666666667,0.0916666666666667,FALSE,0,"L3",2
"SPCA","Ichino-Yaguchi",0.933039250146456,0.0561405975395431,0.926029205800631,0.0678539841994964,0.373333333333333,0.085,FALSE,0,"L3",2
"SPCA","Wasserstein",0.929138254247217,0.0572782659636789,0.922746796322847,0.0704611333125468,0.355333333333333,0.0876666666666667,FALSE,0,"L3",2
"SPCA","Centers-Euclidean",0.83970474516696,0.14184417106034,0.84151105192434,0.151688861705755,0.220333333333333,0.046,FALSE,0,"L3",2
"IMDS","Int-Euclidean",0.511504979496192,-0.0460046865846514,0.494810985619395,-0.0317351784499565,0.0356666666666667,0.002,FALSE,0,"L3",2
"IMDS","Hausdorff",0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,TRUE,0,"L3",2
"IMDS","Ichino-Yaguchi",0.579210310486233,-0.0807896895137667,0.580654632756731,-0.0923435781304524,0.0613333333333333,-0.00333333333333333,FALSE,0,"L3",2
"IMDS","Wasserstein",0.574132396016403,-0.0910861159929701,0.577966548318711,-0.102747037347999,0.0586666666666667,0.000666666666666666,FALSE,0,"L3",2
"IMDS","Centers-Euclidean",0.51116813122437,-0.00911540714704162,0.505034739860939,-0.00581963212806941,0.0373333333333333,0.00366666666666667,FALSE,0,"L3",2
"Int-UMAP","Int-Euclidean",0.781743995313415,-0.0977867603983597,0.786605001072332,-0.0893520706593634,0.173,0.00266666666666668,FALSE,0,"L3",2
"Int-UMAP","Hausdorff",0.902572349150557,-0.00384417106033985,0.903375134310115,0.00110537665706713,0.291333333333333,0.00633333333333333,FALSE,0,"L3",2
"Int-UMAP","Ichino-Yaguchi",0.871958406561218,0.0251142355008788,0.879933977530622,0.0316425280744408,0.298666666666667,0.0106666666666667,FALSE,0,"L3",2
"Int-UMAP","Wasserstein",0.852158172231986,0.0111353251318101,0.864465932015862,0.0196141786039362,0.272,0.00833333333333333,FALSE,0,"L3",2
"Int-UMAP","Centers-Euclidean",0.601982425307557,-0.0833930872876392,0.612676092285307,-0.0956875795133533,0.120666666666667,-0.013,FALSE,0,"L3",2
"C-PCA","CR-Euclidean",0.943941417691857,0.0457574692442883,0.935380749889121,0.0561748295130847,0.380333333333333,0.0856666666666667,FALSE,0,"L3",2
"V-PCA","CR-Euclidean",0.944314001171646,0.0449888693614527,0.935741004196755,0.0553564278414447,0.378666666666667,0.084,FALSE,0,"L3",2
"MR-PCA","CR-Euclidean",0.737347978910369,0.228943175161101,0.745920158806407,0.254633587269451,0.138333333333333,0.02,FALSE,0,"L3",2
"SPCA","CR-Euclidean",0.943941417691857,0.0457574692442883,0.935380749889121,0.0561748295130847,0.380333333333333,0.0856666666666667,FALSE,0,"L3",2
"IMDS","CR-Euclidean",0.586746924428823,-0.088448740480375,0.585242577998886,-0.10205039636356,0.0626666666666667,-0.00066666666666667,FALSE,0,"L3",2
"Int-UMAP","CR-Euclidean",0.888302284710018,0.0103128295254833,0.8926092254603,0.0162915056442103,0.301666666666667,0.0126666666666667,FALSE,0,"L3",2
