"level","Method","Metric","index","primary","mean_qc_diff","mcse","n_rep"
"L3","C-PCA","Int-Euclidean","Q_TC",FALSE,0.192338186533031,0.00222103271273566,25
"L3","C-PCA","Int-Euclidean","Q_RE",FALSE,0.177167292807066,0.00244079342814626,25
"L3","C-PCA","Int-Euclidean","Q_LC",FALSE,0.134291349480969,0.00283246485143624,25
"L3","C-PCA","Hausdorff","Q_TC",FALSE,0.225997050471304,0.00174978256041162,25
"L3","C-PCA","Hausdorff","Q_RE",FALSE,0.206972632149365,0.00178732346291469,25
"L3","C-PCA","Hausdorff","Q_LC",FALSE,0.149520692041523,0.00233060602353199,25
"L3","C-PCA","Ichino-Yaguchi","Q_TC",FALSE,0.182332894722189,0.00179335140243229,25
"L3","C-PCA","Ichino-Yaguchi","Q_RE",FALSE,0.169266160053153,0.0018333894598756,25
"L3","C-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.140402399077278,0.00222177031984103,25
"L3","C-PCA","Wasserstein","Q_TC",TRUE,0.172928908881199,0.00173996865593011,25
"L3","C-PCA","Wasserstein","Q_RE",FALSE,0.161420167266322,0.00174459377436136,25
"L3","C-PCA","Wasserstein","Q_LC",FALSE,0.122800369088812,0.00207302482074705,25
"L3","C-PCA","CR-Euclidean","Q_TC",FALSE,0.209128374975142,0.00168933368438478,25
"L3","C-PCA","CR-Euclidean","Q_RE",FALSE,0.191509731021811,0.00178111665496424,25
"L3","C-PCA","CR-Euclidean","Q_LC",FALSE,0.150017301038062,0.00232002878071572,25
"L3","V-PCA","Int-Euclidean","Q_TC",FALSE,0.192295042437259,0.00229475028637173,25
"L3","V-PCA","Int-Euclidean","Q_RE",FALSE,0.177148376751965,0.00237795629569505,25
"L3","V-PCA","Int-Euclidean","Q_LC",FALSE,0.133780945790081,0.00268376242387444,25
"L3","V-PCA","Hausdorff","Q_TC",FALSE,0.226128433042994,0.00181196980112194,25
"L3","V-PCA","Hausdorff","Q_RE",FALSE,0.20701102182249,0.00176919739588798,25
"L3","V-PCA","Hausdorff","Q_LC",FALSE,0.148830957324106,0.00235539440797932,25
"L3","V-PCA","Ichino-Yaguchi","Q_TC",FALSE,0.1824289343356,0.00177937858153055,25
"L3","V-PCA","Ichino-Yaguchi","Q_RE",FALSE,0.16927077097286,0.00176709489472728,25
"L3","V-PCA","Ichino-Yaguchi","Q_LC",FALSE,0.140195478662053,0.00232890776868674,25
"L3","V-PCA","Wasserstein","Q_TC",TRUE,0.172976476792746,0.00170993753319449,25
"L3","V-PCA","Wasserstein","Q_RE",FALSE,0.161602589818492,0.00171199997603026,25
"L3","V-PCA","Wasserstein","Q_LC",FALSE,0.122138223760092,0.00213397203943132,25
"L3","V-PCA","CR-Euclidean","Q_TC",FALSE,0.209295052937199,0.00169433575914418,25
