"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",0.001,1,0.001,0.999,0.001,0.999
"C-PCA","Hausdorff",0.001,1,0.001,0.999,0.001,0.06
"C-PCA","Ichino-Yaguchi",0.001,1,0.001,1,0.001,0.138
"C-PCA","Wasserstein",0.001,1,0.001,0.999,0.001,0.121
"C-PCA","Centers-Euclidean",0.001,1,0.001,0.999,0.001,0.019
"V-PCA","Int-Euclidean",0.001,1,0.001,1,0.001,0.996
"V-PCA","Hausdorff",0.001,1,0.001,0.999,0.001,0.082
"V-PCA","Ichino-Yaguchi",0.001,1,0.001,0.999,0.001,0.137
"V-PCA","Wasserstein",0.001,1,0.001,0.999,0.001,0.056
"V-PCA","Centers-Euclidean",0.001,1,0.001,0.999,0.001,0.042
"MR-PCA","Int-Euclidean",0.001,1,0.001,1,0.001,0.998
"MR-PCA","Hausdorff",0.001,1,0.001,1,0.001,0.261
"MR-PCA","Ichino-Yaguchi",0.001,1,0.001,0.985,0.001,0.05
"MR-PCA","Wasserstein",0.001,1,0.001,1,0.001,0.377
"MR-PCA","Centers-Euclidean",0.001,1,0.001,0.998,0.001,0.038
"SPCA","Int-Euclidean",0.001,1,0.001,0.999,0.001,0.997
"SPCA","Hausdorff",0.001,1,0.001,0.999,0.001,0.1
"SPCA","Ichino-Yaguchi",0.001,1,0.001,1,0.001,0.141
"SPCA","Wasserstein",0.001,1,0.001,0.999,0.001,0.124
"SPCA","Centers-Euclidean",0.001,1,0.001,0.999,0.001,0.034
"IMDS","Int-Euclidean",0.445,0.99,0.713,0.715,0.654,0.999
"IMDS","Hausdorff",0.24,0.799,0.127,0.992,0.337,0.463
"IMDS","Ichino-Yaguchi",0.445,0.607,0.314,0.647,0.577,0.999
"IMDS","Wasserstein",0.346,0.986,0.298,0.951,0.42,0.811
"IMDS","Centers-Euclidean",0.426,0.854,0.269,0.911,0.797,1
"Int-UMAP","Int-Euclidean",0.001,0.074,0.001,0.408,0.001,0.209
"Int-UMAP","Hausdorff",0.001,0.957,0.001,1,0.001,0.999
"Int-UMAP","Ichino-Yaguchi",0.001,0.988,0.001,1,0.001,1
"Int-UMAP","Wasserstein",0.001,1,0.001,1,0.001,0.861
"Int-UMAP","Centers-Euclidean",0.001,0.978,0.001,1,0.001,0.94
