"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",0.001,0.919,0.001,0.84,0.001,0.781
"C-PCA","Hausdorff",0.001,0.997,0.001,0.815,0.001,0.015
"C-PCA","Ichino-Yaguchi",0.001,0.984,0.001,0.88,0.001,0.036
"C-PCA","Wasserstein",0.001,0.985,0.001,0.828,0.001,0.031
"C-PCA","Centers-Euclidean",0.001,0.98,0.001,0.809,0.001,0.005
"V-PCA","Int-Euclidean",0.001,0.89,0.001,0.824,0.001,0.782
"V-PCA","Hausdorff",0.001,0.989,0.001,0.802,0.001,0.026
"V-PCA","Ichino-Yaguchi",0.001,0.99,0.001,0.802,0.001,0.041
"V-PCA","Wasserstein",0.001,0.964,0.001,0.796,0.001,0.017
"V-PCA","Centers-Euclidean",0.001,0.99,0.001,0.787,0.001,0.013
"MR-PCA","Int-Euclidean",0.001,0.898,0.001,0.866,0.001,0.791
"MR-PCA","Hausdorff",0.001,1,0.001,0.875,0.001,0.082
"MR-PCA","Ichino-Yaguchi",0.001,0.958,0.001,0.686,0.001,0.013
"MR-PCA","Wasserstein",0.001,0.996,0.001,0.857,0.001,0.129
"MR-PCA","Centers-Euclidean",0.001,0.973,0.001,0.803,0.001,0.01
"SPCA","Int-Euclidean",0.001,0.919,0.001,0.82,0.001,0.794
"SPCA","Hausdorff",0.001,0.994,0.001,0.811,0.001,0.027
"SPCA","Ichino-Yaguchi",0.001,0.986,0.001,0.849,0.001,0.041
"SPCA","Wasserstein",0.001,0.988,0.001,0.809,0.001,0.036
"SPCA","Centers-Euclidean",0.001,0.984,0.001,0.794,0.001,0.009
"IMDS","Int-Euclidean",0.123,0.637,0.232,0.233,0.182,0.751
"IMDS","Hausdorff",0.058,0.327,0.024,0.624,0.077,0.113
"IMDS","Ichino-Yaguchi",0.123,0.192,0.07,0.195,0.149,0.73
"IMDS","Wasserstein",0.087,0.609,0.064,0.493,0.099,0.287
"IMDS","Centers-Euclidean",0.117,0.379,0.057,0.417,0.272,1
"Int-UMAP","Int-Euclidean",0.001,0.017,0.001,0.111,0.001,0.055
"Int-UMAP","Hausdorff",0.001,0.545,0.001,0.856,0.001,0.801
"Int-UMAP","Ichino-Yaguchi",0.001,0.676,0.001,0.89,0.001,1
"Int-UMAP","Wasserstein",0.001,0.931,0.001,0.945,0.001,0.38
"Int-UMAP","Centers-Euclidean",0.001,0.619,0.001,0.928,0.001,0.512
