"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",0.001,0.976,0.001,0.984,0.001,0.001
"C-PCA","Hausdorff",0.001,0.695,0.001,0.753,0.001,0.001
"C-PCA","Ichino-Yaguchi",0.001,0.642,0.001,0.667,0.001,0.001
"C-PCA","Wasserstein",0.001,0.653,0.001,0.707,0.001,0.001
"C-PCA","Centers-Euclidean",0.001,0.502,0.001,0.48,0.001,0.001
"V-PCA","Int-Euclidean",0.001,0.974,0.001,0.99,0.001,0.001
"V-PCA","Hausdorff",0.001,0.653,0.001,0.786,0.001,0.001
"V-PCA","Ichino-Yaguchi",0.001,0.623,0.001,0.767,0.001,0.001
"V-PCA","Wasserstein",0.001,0.607,0.001,0.703,0.001,0.001
"V-PCA","Centers-Euclidean",0.001,0.351,0.001,0.399,0.001,0.001
"MR-PCA","Int-Euclidean",0.001,0.388,0.001,0.43,0.001,0.001
"MR-PCA","Hausdorff",0.001,0.482,0.001,0.636,0.001,0.001
"MR-PCA","Ichino-Yaguchi",0.001,0.235,0.001,0.489,0.001,0.001
"MR-PCA","Wasserstein",0.001,0.42,0.001,0.6,0.001,0.001
"MR-PCA","Centers-Euclidean",0.001,0.472,0.001,0.457,0.001,0.001
"SPCA","Int-Euclidean",0.001,0.979,0.001,0.99,0.001,0.001
"SPCA","Hausdorff",0.001,0.665,0.001,0.739,0.001,0.001
"SPCA","Ichino-Yaguchi",0.001,0.603,0.001,0.659,0.001,0.001
"SPCA","Wasserstein",0.001,0.642,0.001,0.694,0.001,0.001
"SPCA","Centers-Euclidean",0.001,0.463,0.001,0.485,0.001,0.001
"IMDS","Int-Euclidean",0.693,0.658,0.456,0.819,0.559,1
"IMDS","Hausdorff",0.001,0.7,0.001,0.903,0.001,0.437
"IMDS","Ichino-Yaguchi",0.001,0.082,0.001,0.631,0.001,0.685
"IMDS","Wasserstein",0.001,0.811,0.001,0.939,0.001,0.014
"IMDS","Centers-Euclidean",0.001,0.007,0.001,0.005,0.001,0.111
"Int-UMAP","Int-Euclidean",0.001,0.001,0.001,0.001,0.005,0.028
"Int-UMAP","Hausdorff",0.001,0.662,0.001,0.912,0.001,0.023
"Int-UMAP","Ichino-Yaguchi",0.001,0.568,0.001,0.786,0.001,0.001
"Int-UMAP","Wasserstein",0.001,0.91,0.001,0.906,0.001,0.126
"Int-UMAP","Centers-Euclidean",0.001,0.324,0.001,0.639,0.001,0.961
