"scenario","rep","Method","Metric","cell_index","Q_TC_u50","B_TC_u50","Q_RE_u50","B_RE_u50","Q_LC_u50","B_LC_u50","Q_TC_u500","B_TC_u500","Q_RE_u500","B_RE_u500","Q_LC_u500","B_LC_u500","Q_TC_pri","B_TC_pri","Q_RE_pri","B_RE_pri","Q_LC_pri","B_LC_pri","d50_500","d50_pri","equivariant"
"S1",1,"IMDS","Hausdorff",1,0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,0,0,TRUE
"S1",1,"IMDS","Ichino-Yaguchi",2,0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,0,0,TRUE
"S1",1,"IMDS","Int-Euclidean",3,0.573020972466315,-0.0401982425307557,0.560341686543566,-0.0361284413824528,0.045,-0.00133333333333333,0.573020774458114,-0.0401986385471588,0.560341583862245,-0.0361286467450935,0.045,-0.00133333333333333,0.573022261277094,-0.0401956649091975,0.560342387742535,-0.0361270389845135,0.045,-0.00133333333333333,3.96016403038379e-07,2.57762155827373e-06,TRUE
"S1",1,"IMDS","Wasserstein",4,0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,0,0,TRUE
"S1",10,"IMDS","Hausdorff",25,0.573031634446397,-0.0789279437609841,0.576230082610219,-0.103650892414816,0.053,-0.00833333333333333,0.573031634446397,-0.0789279437609841,0.576230082610219,-0.103650892414816,0.053,-0.00833333333333333,0.573031634446397,-0.0789279437609841,0.576230082610219,-0.103650892414816,0.053,-0.00833333333333333,0,0,TRUE
"S1",10,"IMDS","Int-Euclidean",26,0.527754586994728,-0.0864427885178676,0.515421868012477,-0.0886783893931739,0.0386666666666667,-0.00133333333333334,0.527754548330404,-0.0864428658465144,0.515421869989805,-0.0886783854385192,0.0386666666666667,-0.00133333333333334,0.527755125951963,-0.0864417106033978,0.515422839482008,-0.0886764464541132,0.0386666666666667,-0.00133333333333334,7.7328646749808e-08,1.94293906065346e-06,TRUE
"S1",2,"IMDS","Hausdorff",5,0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,0,0,TRUE
"S1",3,"IMDS","Hausdorff",6,0.585106303456356,-0.107692489748096,0.589978275650795,-0.122642412167441,0.0553333333333333,0.00133333333333333,0.58510633274751,-0.107692431165788,0.589978291770311,-0.122642379928408,0.0553333333333333,0.00133333333333333,0.58510661980082,-0.107691857059168,0.589978449741573,-0.122642063985884,0.0553333333333333,0.00133333333333333,5.85823081433734e-08,6.32688927942882e-07,TRUE
"S1",3,"IMDS","Int-Euclidean",7,0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,0,0,TRUE
"S1",4,"IMDS","Hausdorff",8,0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,0,0,TRUE
"S1",4,"IMDS","Int-Euclidean",9,0.506559191564148,-0.0661856590509666,0.494767711165283,-0.0609482721643736,0.0263333333333333,-0.00333333333333333,0.506559183362625,-0.0661856754540129,0.494767707296599,-0.0609482799017416,0.0263333333333333,-0.00333333333333333,0.506559461042765,-0.0661851200937317,0.494767838279185,-0.0609480179365699,0.0263333333333333,-0.00333333333333333,1.64030462684872e-08,5.38957234924586e-07,TRUE
"S1",5,"IMDS","Hausdorff",10,0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,0,0,TRUE
"S1",6,"IMDS","Hausdorff",11,0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,0,0,TRUE
"S1",7,"IMDS","Centers-Euclidean",12,0.504942003514938,-0.00259871118922095,0.498378765806913,0.0119241329580709,0.0253333333333333,-0.001,0.504942003514938,-0.00259871118922095,0.498378765806913,0.0119241329580709,0.0253333333333333,-0.001,0.504942003514938,-0.00259871118922095,0.498378765806913,0.0119241329580709,0.0253333333333333,-0.001,0,0,TRUE
"S1",7,"IMDS","Hausdorff",13,0.548504979496192,-0.0477445811364967,0.554813900181506,-0.0729262218938958,0.0413333333333333,-0.000333333333333335,0.548504979496192,-0.0477445811364967,0.554813900181506,-0.0729262218938958,0.0413333333333333,-0.000333333333333335,0.548504979496192,-0.0477445811364967,0.554813900181506,-0.0729262218938958,0.0413333333333333,-0.000333333333333335,0,0,TRUE
"S1",7,"IMDS","Ichino-Yaguchi",14,0.542759226713532,-0.0346736965436438,0.548526072857451,-0.0478904357995732,0.046,-0.004,0.542759226713532,-0.0346736965436438,0.548526072857451,-0.0478904357995732,0.046,-0.004,0.542759226713532,-0.0346736965436438,0.548526072857451,-0.0478904357995732,0.046,-0.004,0,0,TRUE
"S1",7,"IMDS","Int-Euclidean",15,0.458562975981254,-0.131694200351494,0.44807208893429,-0.114825457107271,0.0286666666666667,-0.00266666666666667,0.458562975981254,-0.131694200351494,0.44807208893429,-0.114825457107271,0.0286666666666667,-0.00266666666666667,0.458562975981254,-0.131694200351494,0.44807208893429,-0.114825457107271,0.0286666666666667,-0.00266666666666667,0,0,TRUE
