"Method","lambda","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","n_res"
"C-PCA",0,0.532339477005868,0.00114272555430359,0.529159614640514,0.000358882224190211,0.0172093023255814,3.41085271317829e-05,TRUE,0.0388651924003579,50
"V-PCA",0,0.535417128150187,0.00201156818195811,0.532057179367591,0.00257011030675674,0.0169674418604651,4.34108527131784e-05,TRUE,0.0302415116714012,50
"MR-PCA",0,0.643666887095086,-0.0155411690094883,0.638929710798423,-0.016120749555576,0.0256186046511628,-0.000207751937984496,TRUE,0.0239199606240461,50
"SPCA",0,0.532339477005868,0.00114272555430359,0.529159614640514,0.000358882224190211,0.0172093023255814,3.41085271317829e-05,TRUE,0.0388651924003579,50
"IMDS",0,0.495963115798807,0.00646124708301777,0.493051870269899,0.00600899562940465,0.0153488372093023,-0.000207751937984496,TRUE,0.0276870908838563,50
"Int-UMAP",0,0.503458218963001,0.000613111180892918,0.500744956244144,0.000291364509613447,0.0153984496124031,-1.24031007751937e-05,TRUE,0.0305404758350156,50
"C-PCA",0.05,0.996182647727063,0.00456151369057511,0.996218877484619,0.0031264448332776,0.818294573643411,0.042015503875969,FALSE,0,0
"V-PCA",0.05,0.995242563619459,0.00647714748385275,0.995854274024221,0.00384212598917754,0.795968992248062,0.0696124031007752,FALSE,0,0
"MR-PCA",0.05,0.898669425100517,-0.00836248776252835,0.888445761250624,-0.0152925486269372,0.153178294573643,-0.0252713178294574,FALSE,0,0
"SPCA",0.05,0.996182647727063,0.00456151369057511,0.996218877484619,0.0031264448332776,0.818294573643411,0.042015503875969,FALSE,0,0
"IMDS",0.05,0.502376440019457,-0.0267137078153574,0.511430542313535,-0.0340949918366104,0.0162790697674419,0.000930232558139534,TRUE,0,50
"Int-UMAP",0.05,0.617724045785076,0.407412552105461,0.582964436811327,0.463389627995359,0.0708527131782946,0.0248062015503876,FALSE,0,0
"C-PCA",0.1,0.996913878986029,0.00309954375011545,0.99676202544527,0.00204358046931473,0.818294573643411,0.0412403100775194,FALSE,0,0
"V-PCA",0.1,0.996346183448166,0.00427286329127952,0.996531643133929,0.0024918827746755,0.796124031007752,0.0686821705426357,FALSE,0,0
"MR-PCA",0.1,0.901692126764813,-0.0103140797113496,0.891544678697473,-0.0175246442390766,0.155813953488372,-0.0279069767441861,FALSE,0,0
"SPCA",0.1,0.996913878986029,0.00309954375011545,0.99676202544527,0.00204358046931473,0.818294573643411,0.0412403100775194,FALSE,0,0
"IMDS",0.1,0.501094260856715,-0.0269954621300281,0.50953272974665,-0.030331218206438,0.0165891472868217,0.0013953488372093,TRUE,0,50
"Int-UMAP",0.1,0.628366674671051,0.386147490009913,0.595556446264101,0.438396435489366,0.0711627906976744,0.0243410852713178,FALSE,0,0
"C-PCA",0.15,0.997321856278208,0.00229245556027602,0.997047550273753,0.00149863128612084,0.818914728682171,0.0410852713178295,FALSE,0,0
"V-PCA",0.15,0.996932720074379,0.00310422323611081,0.99687906120268,0.00181700435382863,0.796589147286822,0.0675968992248062,FALSE,0,0
"MR-PCA",0.15,0.904681210016563,-0.0125417613338997,0.894235818059855,-0.0191445907060591,0.158449612403101,-0.0303875968992248,FALSE,0,0
"SPCA",0.15,0.997321856278208,0.00229245556027602,0.997047550273753,0.00149863128612084,0.818914728682171,0.0410852713178295,FALSE,0,0
"IMDS",0.15,0.500071300589246,-0.0265454926082592,0.507518254582034,-0.0257652715466876,0.015968992248062,0.0013953488372093,TRUE,0,50
"Int-UMAP",0.15,0.638153450197339,0.366251793289863,0.607562742577,0.414281036139843,0.0713178294573643,0.0243410852713178,FALSE,0,0
"C-PCA",0.2,0.997558662898449,0.00180012437581201,0.997197106954633,0.00119237547394524,0.818914728682171,0.0404651162790698,FALSE,0,0
"V-PCA",0.2,0.997296981115811,0.00239441909722871,0.997083070770067,0.00141826113722172,0.796744186046512,0.0671317829457364,FALSE,0,0
"MR-PCA",0.2,0.906922683808363,-0.0133303778684941,0.896700417127452,-0.0204190751116931,0.161860465116279,-0.0302325581395349,FALSE,0,0
"SPCA",0.2,0.997558662898449,0.00180012437581201,0.997197106954633,0.00119237547394524,0.818914728682171,0.0404651162790698,FALSE,0,0
"IMDS",0.2,0.499072599762331,-0.0242633811749203,0.507195909688812,-0.022417924399637,0.015968992248062,0.0013953488372093,TRUE,0,50
"Int-UMAP",0.2,0.647072057927111,0.348523437451897,0.618710565414404,0.392048796390464,0.0713178294573643,0.0244961240310078,FALSE,0,0
"C-PCA",0.25,0.997706682429146,0.00150802593420396,0.997290097656331,0.00101179280871973,0.81906976744186,0.0407751937984496,FALSE,0,0
"V-PCA",0.25,0.997532433148001,0.00192745565263441,0.997215793365064,0.00116017726540549,0.796899224806202,0.0674418604651163,FALSE,0,0
"MR-PCA",0.25,0.90914765625481,-0.014005209006779,0.899273305457664,-0.0220280315249897,0.165116279069767,-0.0310077519379845,FALSE,0,0
"SPCA",0.25,0.997706682429146,0.00150802593420396,0.997290097656331,0.00101179280871973,0.81906976744186,0.0407751937984496,FALSE,0,0
"IMDS",0.25,0.498745405175758,-0.0226198964355863,0.507095263873466,-0.0198502930036321,0.015968992248062,0.00170542635658915,TRUE,0,50
"Int-UMAP",0.25,0.655362875667289,0.331925054337453,0.629422525752594,0.370598008874509,0.0713178294573643,0.0246511627906977,FALSE,0,0
"C-PCA",0.3,0.997804705346313,0.00130557659271846,0.997350225987703,0.000889175923335315,0.818914728682171,0.0407751937984496,FALSE,0,0
"V-PCA",0.3,0.997681930411118,0.00163535721102626,0.997299870463476,0.000994812482365083,0.797674418604651,0.0658914728682171,FALSE,0,0
"MR-PCA",0.3,0.911476931981208,-0.0154373780101102,0.901693552418913,-0.0235236975801313,0.168527131782946,-0.0314728682170543,FALSE,0,0
"SPCA",0.3,0.997804705346313,0.00130557659271846,0.997350225987703,0.000889175923335315,0.818914728682171,0.0407751937984496,FALSE,0,0
"IMDS",0.3,0.497946626767891,-0.0205359292166172,0.506038792201316,-0.0182516419757046,0.0156589147286822,0.00124031007751938,TRUE,2.46288736627243e-07,50
