"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread"
"C-PCA","Int-Euclidean",0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109,FALSE,0
"C-PCA","Hausdorff",0.996068492897649,0.00278207756863758,0.994674185214716,0.0027053757902486,0.742635658914729,0.0818604651162791,FALSE,0
"C-PCA","Ichino-Yaguchi",0.995992143389302,0.00332736083147078,0.994410186983824,0.0035899361013592,0.756744186046512,0.108527131782946,FALSE,0
"C-PCA","Wasserstein",0.996874226499437,0.00312959097598065,0.995245166023637,0.00333120187022701,0.805116279069767,0.122480620155039,FALSE,0
"C-PCA","Centers-Euclidean",0.995728737585508,0.00454870667627194,0.993197699829941,0.00577609018682161,0.761705426356589,0.174108527131783,FALSE,0
"V-PCA","Int-Euclidean",0.997921076774356,0.00121420347143975,0.997429202579917,0.000776603293702855,0.79937984496124,0.0637209302325581,FALSE,0
"V-PCA","Hausdorff",0.99540191243204,0.00275375436392855,0.994489292563422,0.00224315139188051,0.72108527131783,0.0609302325581395,FALSE,0
"V-PCA","Ichino-Yaguchi",0.995069792070734,0.00294610586721344,0.994198355194296,0.00226885553753862,0.724806201550388,0.0572093023255814,FALSE,0
"V-PCA","Wasserstein",0.995667165401358,0.0033906570367771,0.994418006412609,0.00307094016557254,0.757519379844961,0.0928682170542636,FALSE,0
"V-PCA","Centers-Euclidean",0.99382985142632,0.00596979268645592,0.991274176216161,0.00723863031015465,0.707441860465116,0.148062015503876,FALSE,0
"MR-PCA","Int-Euclidean",0.917931051468189,-0.0170685483126143,0.908665122978527,-0.0260579168073574,0.178604651162791,-0.0344186046511628,FALSE,0
"MR-PCA","Hausdorff",0.992472554198915,0.00440930725135613,0.991599874124088,0.00394658900949215,0.656434108527132,0.069922480620155,FALSE,0
"MR-PCA","Ichino-Yaguchi",0.985956246805943,0.00747067624729847,0.986821994456684,0.00540306261793246,0.551627906976744,0.087906976744186,FALSE,0
"MR-PCA","Wasserstein",0.992537697569746,0.00511640221413578,0.991209107914483,0.00434289904753646,0.65922480620155,0.0916279069767442,FALSE,0
"MR-PCA","Centers-Euclidean",0.995728737585508,0.00454870667627194,0.993197699829941,0.00577609018682161,0.761705426356589,0.174108527131783,FALSE,0
"SPCA","Int-Euclidean",0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109,FALSE,0
"SPCA","Hausdorff",0.996068492897649,0.00278207756863758,0.994674185214716,0.0027053757902486,0.742635658914729,0.0818604651162791,FALSE,0
"SPCA","Ichino-Yaguchi",0.995992143389302,0.00332736083147078,0.994410186983824,0.0035899361013592,0.756744186046512,0.108527131782946,FALSE,0
"SPCA","Wasserstein",0.996874226499437,0.00312959097598065,0.995245166023637,0.00333120187022701,0.805116279069767,0.122480620155039,FALSE,0
"SPCA","Centers-Euclidean",0.995728737585508,0.00454870667627194,0.993197699829941,0.00577609018682161,0.761705426356589,0.174108527131783,FALSE,0
"IMDS","Int-Euclidean",0.494057175930202,-0.0144837480219936,0.504627111162382,-0.0123782822881291,0.0151937984496124,0,TRUE,0
"IMDS","Hausdorff",0.530482019075063,0.00236332760712021,0.529659351097108,-0.00078946902440615,0.0333333333333333,0.00124031007751938,TRUE,4.30242757182286e-06
"IMDS","Ichino-Yaguchi",0.530713313753379,0.01004020663625,0.52988010134708,0.0037454561072251,0.0336434108527132,-0.000620155038759691,TRUE,0
"IMDS","Wasserstein",0.523906878228691,0.00153831944880589,0.527723711470019,0.00044547214142493,0.0316279069767442,-0.00434108527131783,FALSE,0
"IMDS","Centers-Euclidean",0.517046739444988,-0.0173269298261818,0.521852118531669,-0.0221664338370457,0.0268217054263566,-0.00248062015503876,TRUE,1.65629659043542e-06
"Int-UMAP","Int-Euclidean",0.688231708443394,0.265963758612409,0.673857170880385,0.281687480777388,0.0717829457364341,0.0243410852713178,FALSE,0
"Int-UMAP","Hausdorff",0.969526448331702,0.00294709102215984,0.973546292226119,0.000743665009781826,0.52077519379845,0.00387596899224807,FALSE,0
"Int-UMAP","Ichino-Yaguchi",0.978473748699288,0.00369260702784913,0.98094962167869,0.0024406811918028,0.556124031007752,0.00790697674418603,FALSE,0
"Int-UMAP","Wasserstein",0.97636182278294,-0.000913977501523888,0.978580891292434,-0.000939913808888748,0.542635658914729,0.00232558139534886,FALSE,0
"Int-UMAP","Centers-Euclidean",0.959056221561347,-0.00637838570047589,0.958983354899531,-0.0040414655560291,0.444806201550388,-0.000155038759689918,FALSE,0
