"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Int-Euclidean",1,0.999446634597996,0.000151904228000932,0.999447493861043,0.000151668351870576,0.801550387596899,0
"C-PCA","Int-Euclidean",2,0.999111215839813,0.000354063574350305,0.999051692975057,0.000285174920673174,0.806976744186046,-0.000775193798449605
"C-PCA","Int-Euclidean",3,0.998836401808786,0.000647609819121486,0.998736116136531,0.000462484786684648,0.797416020671835,0.00155038759689922
"C-PCA","Int-Euclidean",4,0.998758293723783,0.00069142187661253,0.998536673223993,0.000505561172901921,0.800387596899225,0.00542635658914728
"C-PCA","Int-Euclidean",5,0.998649191340221,0.000614313704014657,0.998331219457045,0.000504843395895958,0.812403100775194,0.0182945736434108
"C-PCA","Int-Euclidean",6,0.998494542334771,0.000704647706642025,0.998131570890643,0.000558729801505575,0.808010335917313,0.0235142118863049
"C-PCA","Int-Euclidean",7,0.998423760965027,0.000714757328358684,0.997966509455274,0.000574629762937471,0.811074197120709,0.0250276854928018
"C-PCA","Int-Euclidean",8,0.99827787480467,0.000798786653185113,0.997782574461074,0.000621582808732898,0.818798449612403,0.0323643410852713
"C-PCA","Int-Euclidean",9,0.998099212248035,0.000948141596061158,0.997598619008854,0.000679580578187915,0.818949181739879,0.032213608957795
"C-PCA","Int-Euclidean",10,0.997971935398464,0.000974564530727529,0.997437428688668,0.000706876822178884,0.818914728682171,0.0382945736434109
"C-PCA","Int-Euclidean",11,0.997967080073435,0.000932297347643218,0.997309434514726,0.000703917128151895,0.827766032417195,0.0407329105003524
"C-PCA","Int-Euclidean",12,0.99786507214726,0.000955845505670072,0.997165630731812,0.0007217637058468,0.831782945736434,0.0436692506459949
"C-PCA","Int-Euclidean",13,0.997775074537865,0.00108803816338698,0.99703069095885,0.000771762181750389,0.833035181872391,0.0456768038163387
"C-PCA","Int-Euclidean",14,0.997687561998187,0.00108219860555703,0.996902268051092,0.000778087022961586,0.830343300110742,0.0462901439645626
"C-PCA","Int-Euclidean",15,0.997594157381789,0.00116054737156956,0.996774524461107,0.000809915245855775,0.830284237726098,0.0469250645994832
"C-PCA","Int-Euclidean",16,0.997540977206429,0.00113265121276285,0.996658390662134,0.000813708867900965,0.832170542635659,0.0488372093023256
"C-PCA","Int-Euclidean",17,0.997484506069024,0.00116349053052489,0.996538264476829,0.000827080471422766,0.836388508891929,0.0472412220702234
"C-PCA","Int-Euclidean",18,0.997438198955947,0.00113402169705712,0.996426463061172,0.000828576278766375,0.838845822566753,0.0477174849267872
"C-PCA","Int-Euclidean",19,0.997374845676559,0.00114967651687359,0.996316705161748,0.00084389319281918,0.837372501019992,0.0483884128926969
"C-PCA","Int-Euclidean",20,0.997323594527598,0.00113282999350328,0.996206276993709,0.000844203640550651,0.839147286821705,0.048139534883721
"C-PCA","Int-Euclidean",21,0.997257043616921,0.00115691938598728,0.996097699560432,0.000853591816067858,0.838685861941676,0.0475452196382429
"C-PCA","Int-Euclidean",22,0.997235048002319,0.00110980692471119,0.995999191979054,0.000857553433327342,0.840591966173362,0.0498942917547568
"C-PCA","Int-Euclidean",23,0.997203169288402,0.00100239243702593,0.995902490566266,0.00083881319003832,0.841321199865184,0.0508257499157398
"C-PCA","Int-Euclidean",24,0.997180075969417,0.00095938460101197,0.995809801690633,0.000834638370700984,0.841731266149871,0.0519379844961241
"C-PCA","Int-Euclidean",25,0.997131961738375,0.000959350216466759,0.995710409216626,0.000835104385719123,0.842480620155039,0.0505426356589148
"V-PCA","Int-Euclidean",1,0.999485213449552,0.00010368066355626,0.99948601280755,0.00010351966873706,0.796899224806202,0
"V-PCA","Int-Euclidean",2,0.999270725709487,0.000276725455720994,0.999168172872234,0.000228943246174238,0.802325581395349,0.010077519379845
"V-PCA","Int-Euclidean",3,0.999051598837209,0.000459463824289408,0.998882602545969,0.000344067629354298,0.802583979328165,0.0170542635658915
"V-PCA","Int-Euclidean",4,0.998907626280102,0.0004680300850467,0.998663956820151,0.000372290032767317,0.789147286821705,0.0255813953488372
"V-PCA","Int-Euclidean",5,0.998757256033004,0.00054032346391153,0.998435599264085,0.000429283562614391,0.793488372093023,0.0365891472868217
"V-PCA","Int-Euclidean",6,0.99859477064388,0.000632678494826955,0.998218646733159,0.00048446939094125,0.796640826873385,0.0444444444444444
"V-PCA","Int-Euclidean",7,0.99843738537158,0.000813272268044396,0.998014182472647,0.000572678482845504,0.800885935769657,0.0500553709856035
"V-PCA","Int-Euclidean",8,0.998286147623862,0.000928087753163664,0.997824023605797,0.000633421480995515,0.799418604651163,0.0525193798449612
"V-PCA","Int-Euclidean",9,0.998153266966152,0.000997282248894726,0.997640231003221,0.000672208375130712,0.798105081826012,0.0546080964685616
"V-PCA","Int-Euclidean",10,0.997921076774356,0.00121420347143975,0.997429202579917,0.000776603293702855,0.79937984496124,0.0637209302325581
"V-PCA","Int-Euclidean",11,0.997802906864527,0.00137869586099482,0.997255086127566,0.000844445764341973,0.804087385482734,0.0639887244538407
"V-PCA","Int-Euclidean",12,0.997665963444838,0.00148274631839651,0.997083253364357,0.000910472459473884,0.803617571059432,0.0705426356589147
"V-PCA","Int-Euclidean",13,0.997552200357782,0.0015620274299345,0.996920793521128,0.000956857038134885,0.807274895646989,0.0751341681574239
"V-PCA","Int-Euclidean",14,0.997411106700378,0.00167027665955333,0.996754716171989,0.00101261983133203,0.806533776301218,0.0788482834994463
"V-PCA","Int-Euclidean",15,0.997334097725932,0.00168797826466272,0.9966125769202,0.00104419451546232,0.808372093023256,0.082687338501292
"V-PCA","Int-Euclidean",16,0.997289632641843,0.00166969623147128,0.996479878743414,0.00106695498940796,0.812596899224806,0.0882751937984496
"V-PCA","Int-Euclidean",17,0.997243984568317,0.00167547351058994,0.996348496856637,0.00108378764226477,0.817145462836297,0.0894664842681258
"V-PCA","Int-Euclidean",18,0.99712554094439,0.00177942371332829,0.996203188282383,0.00113083386798611,0.819896640826873,0.0913867355727821
"V-PCA","Int-Euclidean",19,0.996998111028099,0.00190976913743135,0.996062387098688,0.00118986661788923,0.820399836801306,0.0945736434108527
"V-PCA","Int-Euclidean",20,0.996901873963202,0.0019906522602986,0.995929081433144,0.00122220681068274,0.820852713178295,0.0937984496124031
"V-PCA","Int-Euclidean",21,0.99680883671551,0.00203237712247917,0.995798000027667,0.00125236657239388,0.82155777039498,0.0954595791805094
"V-PCA","Int-Euclidean",22,0.996714141740668,0.00210782644371421,0.995669044405422,0.00129072192551707,0.822198731501057,0.0964059196617336
"V-PCA","Int-Euclidean",23,0.996623072375364,0.00206291059578867,0.995542895970833,0.00130210185641548,0.822649140546006,0.0996966632962589
"V-PCA","Int-Euclidean",24,0.996537902963826,0.00210359697566131,0.99542029366517,0.0013311904058662,0.824031007751938,0.100968992248062
"V-PCA","Int-Euclidean",25,0.996487031148232,0.00204794196901781,0.995309005399812,0.0013278333431594,0.82462015503876,0.101891472868217
"MR-PCA","Int-Euclidean",1,0.901535920527566,-0.0418267086211677,0.901688815060908,-0.0417617603158554,0.0155038759689922,0
"MR-PCA","Int-Euclidean",2,0.905755647797374,-0.0364274622825621,0.904022974655581,-0.0381620275535205,0.0426356589147287,-0.0108527131782946
"MR-PCA","Int-Euclidean",3,0.90905927002584,-0.029360465116279,0.905654419262524,-0.033990987138581,0.0625322997416021,-0.013953488372093
"MR-PCA","Int-Euclidean",4,0.911557793520424,-0.0257975026254607,0.906774519716886,-0.0317214285507343,0.0806201550387597,-0.013953488372093
"MR-PCA","Int-Euclidean",5,0.913246443479002,-0.0243661543329317,0.907455501449024,-0.0305772866506199,0.0970542635658915,-0.0155038759689922
"MR-PCA","Int-Euclidean",6,0.913655243079062,-0.0217948796142124,0.90755473826331,-0.0291193922820171,0.113953488372093,-0.0167958656330749
"MR-PCA","Int-Euclidean",7,0.915180383649315,-0.020363946326825,0.908032431164094,-0.0281856808799642,0.129789590254707,-0.0243632336655592
"MR-PCA","Int-Euclidean",8,0.915824830713607,-0.0188175996568313,0.908167333325334,-0.0272794517898001,0.147868217054264,-0.0304263565891473
"MR-PCA","Int-Euclidean",9,0.916844460278655,-0.0174083492699201,0.908413542803996,-0.0264614177063698,0.162101636520241,-0.0299741602067184
"MR-PCA","Int-Euclidean",10,0.917931051468189,-0.0170685483126143,0.908665122978527,-0.0260579168073574,0.178604651162791,-0.0344186046511628
"MR-PCA","Int-Euclidean",11,0.918990901460165,-0.0155141999165107,0.908897671914032,-0.0253003212292926,0.192107117688513,-0.036645525017618
"MR-PCA","Int-Euclidean",12,0.91991540715719,-0.0146175277525153,0.909071662152811,-0.0247815985093226,0.210981912144703,-0.0409560723514212
"MR-PCA","Int-Euclidean",13,0.921024400715563,-0.0134947644603459,0.909303098917001,-0.024209265150303,0.225402504472272,-0.0422182468694097
"MR-PCA","Int-Euclidean",14,0.922066070418395,-0.0127839039608681,0.909512275632291,-0.0237862805245365,0.239867109634551,-0.0437430786267995
"MR-PCA","Int-Euclidean",15,0.92295396196316,-0.0118555630333093,0.909671237290464,-0.0233079765438266,0.253333333333333,-0.0439276485788114
"MR-PCA","Int-Euclidean",16,0.923738514201475,-0.0109451617537745,0.909801522885318,-0.0228533837295301,0.263372093023256,-0.0438953488372093
"MR-PCA","Int-Euclidean",17,0.924380703177315,-0.0104266254722951,0.909881926217751,-0.0225211264697838,0.271956224350205,-0.044140446876425
"MR-PCA","Int-Euclidean",18,0.925076595284674,-0.00943344248117806,0.909969458959974,-0.0220790760905699,0.284754521963824,-0.0460809646856158
"MR-PCA","Int-Euclidean",19,0.925919780953441,-0.00832538534496918,0.910093382818435,-0.0216088678706938,0.295960832313341,-0.0449612403100775
"MR-PCA","Int-Euclidean",20,0.926549346856649,-0.00767675238581822,0.910161421915437,-0.0212675096357592,0.306511627906977,-0.0448062015503876
"MR-PCA","Int-Euclidean",21,0.926910660314811,-0.00642989924829152,0.910156596024068,-0.020786206193823,0.31546696197859,-0.0456256921373201
"MR-PCA","Int-Euclidean",22,0.927416206984177,-0.00525746541072936,0.910180966248822,-0.020324543122072,0.325017618040874,-0.0460887949260042
"MR-PCA","Int-Euclidean",23,0.928136274981076,-0.00462839872477039,0.910255798275271,-0.0200098400994973,0.336097067745197,-0.0475227502527806
"MR-PCA","Int-Euclidean",24,0.928707224738258,-0.00374347900861816,0.91029893366665,-0.0196455466044091,0.344444444444444,-0.0484496124031008
"MR-PCA","Int-Euclidean",25,0.929342834884998,-0.00284443763329634,0.910347963092123,-0.0192813499393706,0.355472868217054,-0.0502325581395349
"SPCA","Int-Euclidean",1,0.999446634597996,0.000151904228000932,0.999447493861043,0.000151668351870576,0.801550387596899,0
"SPCA","Int-Euclidean",2,0.999111215839813,0.000354063574350305,0.999051692975057,0.000285174920673174,0.806976744186046,-0.000775193798449605
"SPCA","Int-Euclidean",3,0.998836401808786,0.000647609819121486,0.998736116136531,0.000462484786684648,0.797416020671835,0.00155038759689922
"SPCA","Int-Euclidean",4,0.998758293723783,0.00069142187661253,0.998536673223993,0.000505561172901921,0.800387596899225,0.00542635658914728
"SPCA","Int-Euclidean",5,0.998649191340221,0.000614313704014657,0.998331219457045,0.000504843395895958,0.812403100775194,0.0182945736434108
"SPCA","Int-Euclidean",6,0.998494542334771,0.000704647706642025,0.998131570890643,0.000558729801505575,0.808010335917313,0.0235142118863049
"SPCA","Int-Euclidean",7,0.998423760965027,0.000714757328358684,0.997966509455274,0.000574629762937471,0.811074197120709,0.0250276854928018
"SPCA","Int-Euclidean",8,0.99827787480467,0.000798786653185113,0.997782574461074,0.000621582808732898,0.818798449612403,0.0323643410852713
