"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"C-PCA","Int-Euclidean",0.001,0.034,0.001,0.018,0.001,0.001,1,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.002,0.001,0.001,1,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Int-Euclidean",0.001,0.032,0.001,0.017,0.001,0.001,1,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.003,0.001,0.001,1,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Int-Euclidean",0.001,0.025,0.001,0.011,0.001,0.001,1,"raw"
"SPCA","Hausdorff",0.001,0.003,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"IMDS","Int-Euclidean",0.002,0.14,0.002,0.22,0.018,0.707,1,"raw"
"IMDS","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.442,1,"raw"
"IMDS","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.013,1,"raw"
"IMDS","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.413,1,"raw"
"IMDS","Centers-Euclidean",0.261,0.765,0.552,0.541,0.742,0.518,1,"raw"
"Int-UMAP","Int-Euclidean",0.001,0.002,0.001,0.014,0.001,0.346,1,"raw"
"Int-UMAP","Hausdorff",0.001,0.327,0.001,0.7,0.001,0.001,1,"raw"
"Int-UMAP","Ichino-Yaguchi",0.001,0.01,0.001,0.054,0.001,0.001,1,"raw"
"Int-UMAP","Wasserstein",0.001,0.344,0.001,0.168,0.001,0.001,1,"raw"
"Int-UMAP","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.322,1,"raw"
"C-PCA","Int-Euclidean",0.002,0.218,0.003,0.117,0.001,0.001,1,"minP"
"C-PCA","Hausdorff",0.002,0.002,0.003,0.01,0.001,0.001,1,"minP"
"C-PCA","Ichino-Yaguchi",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"C-PCA","Wasserstein",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"C-PCA","Centers-Euclidean",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"V-PCA","Int-Euclidean",0.002,0.201,0.003,0.111,0.001,0.001,1,"minP"
"V-PCA","Hausdorff",0.002,0.002,0.003,0.019,0.001,0.001,1,"minP"
"V-PCA","Ichino-Yaguchi",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"V-PCA","Wasserstein",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"V-PCA","Centers-Euclidean",0.002,0.002,0.003,0.003,0.001,0.001,1,"minP"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"minP"
"SPCA","Int-Euclidean",0.003,0.172,0.002,0.075,0.001,0.001,1,"minP"
"SPCA","Hausdorff",0.003,0.019,0.002,0.002,0.001,0.001,1,"minP"
"SPCA","Ichino-Yaguchi",0.003,0.003,0.002,0.002,0.001,0.001,1,"minP"
"SPCA","Wasserstein",0.003,0.003,0.002,0.002,0.001,0.001,1,"minP"
"SPCA","Centers-Euclidean",0.003,0.003,0.002,0.002,0.001,0.001,1,"minP"
"IMDS","Int-Euclidean",0.012,0.609,0.012,0.791,0.119,0.999,1,"minP"
"IMDS","Hausdorff",0.005,0.005,0.005,0.005,0.008,0.984,1,"minP"
"IMDS","Ichino-Yaguchi",0.005,0.005,0.005,0.005,0.008,0.09,1,"minP"
"IMDS","Wasserstein",0.005,0.005,0.005,0.005,0.008,0.973,1,"minP"
"IMDS","Centers-Euclidean",0.841,1,0.994,0.992,1,0.996,1,"minP"
"Int-UMAP","Int-Euclidean",0.005,0.013,0.004,0.096,0.003,0.939,1,"minP"
"Int-UMAP","Hausdorff",0.005,0.917,0.004,1,0.003,0.003,1,"minP"
"Int-UMAP","Ichino-Yaguchi",0.005,0.074,0.004,0.316,0.003,0.003,1,"minP"
"Int-UMAP","Wasserstein",0.005,0.928,0.004,0.707,0.003,0.003,1,"minP"
"Int-UMAP","Centers-Euclidean",0.005,0.005,0.004,0.004,0.003,0.93,1,"minP"
