"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","B_TC.mean","B_TC.sd","B_TC.mcse","Q_RE.mean","Q_RE.sd","Q_RE.mcse","B_RE.mean","B_RE.sd","B_RE.mcse","Q_LC.mean","Q_LC.sd","Q_LC.mcse","B_LC.mean","B_LC.sd","B_LC.mcse"
"C-PCA","Centers-Euclidean",0.834555002929115,0.00586538100502443,0.000586538100502443,0.140943561804335,0.00559998163252891,0.000559998163252891,0.834271850703187,0.00567374138701168,0.000567374138701168,0.158308643668569,0.00745229830543595,0.000745229830543595,0.21344,0.00977466433442753,0.000977466433442753,0.0455533333333333,0.0077387505698009,0.00077387505698009
"IMDS","Centers-Euclidean",0.507035125951963,0.00596989027890929,0.000596989027890929,0.000124874048037497,0.0100525881404885,0.00100525881404885,0.501284503878893,0.00629965495474105,0.000629965495474105,-0.000191803763154871,0.0123588072581151,0.00123588072581151,0.0330666666666667,0.00394319940515586,0.000394319940515586,0.000293333333333333,0.00349964885203388,0.000349964885203388
"Int-UMAP","Centers-Euclidean",0.600961880492091,0.0110429281508606,0.00110429281508606,-0.0846707088459285,0.0148325783591085,0.00148325783591085,0.606231369784319,0.011992416949047,0.0011992416949047,-0.0883054170172662,0.0180467513140213,0.00180467513140213,0.112523333333333,0.0108498842748048,0.00108498842748048,-0.00174333333333333,0.00737923421793194,0.000737923421793194
"MR-PCA","Centers-Euclidean",0.834555002929115,0.00586538100502443,0.000586538100502443,0.140943561804335,0.00559998163252891,0.000559998163252891,0.834271850703187,0.00567374138701168,0.000567374138701168,0.158308643668569,0.00745229830543595,0.000745229830543595,0.21344,0.00977466433442753,0.000977466433442753,0.0455533333333333,0.0077387505698009,0.00077387505698009
"SPCA","Centers-Euclidean",0.834555002929115,0.00586538100502443,0.000586538100502443,0.140943561804335,0.00559998163252891,0.000559998163252891,0.834271850703187,0.00567374138701168,0.000567374138701168,0.158308643668569,0.00745229830543595,0.000745229830543595,0.21344,0.00977466433442753,0.000977466433442753,0.0455533333333333,0.0077387505698009,0.00077387505698009
"V-PCA","Centers-Euclidean",0.834610831868776,0.00573009649367053,0.000573009649367053,0.140837176332748,0.00523372272027064,0.000523372272027064,0.834238048660368,0.00570892417439986,0.000570892417439986,0.158392998480313,0.00769154630561295,0.000769154630561295,0.213396666666667,0.00951502975538129,0.000951502975538129,0.0452433333333333,0.00737055978302541,0.000737055978302541
"C-PCA","Hausdorff",0.946671118922086,0.00219502479518955,0.000219502479518955,0.0325131810193322,0.00200147063985644,0.000200147063985644,0.938411173964432,0.00233639950019155,0.000233639950019155,0.0410003718695707,0.0026383359952439,0.00026383359952439,0.35783,0.0114127240113949,0.00114127240113949,0.0639133333333333,0.0107041240465971,0.00107041240465971
"IMDS","Hausdorff",0.579176871704745,0.0166062782515888,0.00166062782515888,-0.0832723608670182,0.0164896685165168,0.00164896685165168,0.583921731649043,0.0160325837175508,0.00160325837175508,-0.10619317151181,0.0168432010730928,0.00168432010730928,0.0550766666666667,0.00588781293772777,0.000588781293772777,-0.00388333333333333,0.00399814070143391,0.000399814070143391
"Int-UMAP","Hausdorff",0.901130732278852,0.00594765886629628,0.000594765886629628,-0.00623083772700645,0.00800811637002791,0.000800811637002791,0.900081949749173,0.00593892424148868,0.000593892424148868,0.000443017770001518,0.00798761407426355,0.000798761407426355,0.281773333333333,0.0141545803066997,0.00141545803066997,0.01676,0.00925351633349351,0.000925351633349351
"MR-PCA","Hausdorff",0.742647287639133,0.0142942735013992,0.00142942735013992,0.203437516110135,0.017791569531658,0.0017791569531658,0.760204029203651,0.0186126417817025,0.00186126417817025,0.212226187275315,0.0281545893639612,0.00281545893639612,0.142783333333333,0.012356414384075,0.0012356414384075,0.0287566666666667,0.00733713629582884,0.000733713629582884
"SPCA","Hausdorff",0.946671118922086,0.00219502479518955,0.000219502479518955,0.0325131810193322,0.00200147063985644,0.000200147063985644,0.938411173964432,0.00233639950019155,0.000233639950019155,0.0410003718695707,0.0026383359952439,0.00026383359952439,0.35783,0.0114127240113949,0.00114127240113949,0.0639133333333333,0.0107041240465971,0.00107041240465971
"V-PCA","Hausdorff",0.946643503222027,0.00225328617143625,0.000225328617143625,0.0325695840656122,0.00206794636844427,0.000206794636844427,0.938381120384695,0.0023625843396867,0.00023625843396867,0.041074330544964,0.00266034352910594,0.000266034352910594,0.35764,0.0118883394567653,0.00118883394567653,0.06381,0.0102709920268984,0.00102709920268984
"C-PCA","Ichino-Yaguchi",0.924976766256591,0.00352760881619584,0.000352760881619584,0.0605830345635618,0.00372475123338939,0.000372475123338939,0.919463383696844,0.00352759211861201,0.000352759211861201,0.0714426108366444,0.00449655964453171,0.000449655964453171,0.349593333333333,0.011795448912156,0.0011795448912156,0.0687033333333333,0.00997515375722897,0.000997515375722897
"IMDS","Ichino-Yaguchi",0.568712460456942,0.0161868158010408,0.00161868158010408,-0.0646337785588752,0.0151855819441459,0.00151855819441459,0.571915470752058,0.015891449334767,0.0015891449334767,-0.0824357362773404,0.0161336949226463,0.00161336949226463,0.05423,0.00560176639609806,0.000560176639609806,-0.00315333333333333,0.00399253512199163,0.000399253512199163
