"Method","Metric","dr_input","eval_geom","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Centers-Euclidean","raw","raw",0.965819850223072,0.052674270235819,0.964439756449448,0.0566807684388073,0.46322,0.22315
"IMDS","Centers-Euclidean","raw","raw",0.55021901848311,0.0175483110261313,0.554908678394843,0.0203912518737906,0.04351,-0.00153
"Int-UMAP","Centers-Euclidean","raw","raw",0.845193999362651,0.0185927915869981,0.901517542010696,0.00836338472044588,0.47774,-0.019065
"MR-PCA","Centers-Euclidean","raw","raw",0.968713687061823,0.0471673231357553,0.967513464282442,0.0506874229265815,0.46295,0.22198
"SPCA","Centers-Euclidean","raw","raw",0.968723808158062,0.0471638304652645,0.967563901803053,0.0505844886477335,0.461805,0.223245
"V-PCA","Centers-Euclidean","raw","raw",0.965809050350542,0.0526950286806883,0.964428775853277,0.0567019083278614,0.4632,0.22309
"C-PCA","Hausdorff","raw","raw",0.965728263224984,0.0528282536647546,0.964355046026114,0.0567969727118772,0.46242,0.22153
"IMDS","Hausdorff","raw","raw",0.560810771191842,0.047708540471638,0.566540557613804,0.0523257860025818,0.042295,-0.000405
"Int-UMAP","Hausdorff","raw","raw",0.844565022307202,0.0179357552581262,0.900853889880055,0.00759194399278991,0.47612,-0.02021
"MR-PCA","Hausdorff","raw","raw",0.968754295729764,0.0469088463989802,0.967404648245985,0.0506028632594769,0.462535,0.216995
"SPCA","Hausdorff","raw","raw",0.968766921606119,0.0470608030592734,0.967600599288851,0.0504889502013125,0.461875,0.22233
"V-PCA","Hausdorff","raw","raw",0.965721367112811,0.0528415487571702,0.964352012890792,0.0568028269309276,0.46242,0.221455
"C-PCA","Ichino-Yaguchi","raw","raw",0.96582074888464,0.052672103250478,0.964429314243402,0.0567014989727525,0.463225,0.223165
"IMDS","Ichino-Yaguchi","raw","raw",0.566490815806246,0.0550298789037604,0.571498078207801,0.060985180809382,0.04338,0.000615
"Int-UMAP","Ichino-Yaguchi","raw","raw",0.846113852772467,0.017681459528362,0.902633362590653,0.00712071530819728,0.479465,-0.02155
"MR-PCA","Ichino-Yaguchi","raw","raw",0.96870987890376,0.0471519821542384,0.967429836955697,0.050753901433711,0.462525,0.220075
"SPCA","Ichino-Yaguchi","raw","raw",0.968722695984704,0.0471655321861058,0.967544573654321,0.0506227244245392,0.46176,0.223385
"V-PCA","Ichino-Yaguchi","raw","raw",0.965809110898662,0.0526943594646272,0.964420056242292,0.0567192948354775,0.46319,0.22306
"C-PCA","Int-Euclidean","raw","raw",0.965796644359465,0.0526514659018483,0.964349823888849,0.0567766778134495,0.4619,0.22035
"IMDS","Int-Euclidean","raw","raw",0.534316848311026,0.000106035691523272,0.537486805115203,0.00379017802780419,0.034105,-0.000435
"Int-UMAP","Int-Euclidean","raw","raw",0.84548361376673,0.0181631357552581,0.901090516781504,0.0087984117625684,0.477455,-0.016955
"MR-PCA","Int-Euclidean","raw","raw",0.968693304652645,0.0472201593371574,0.967488266458607,0.05069363362432,0.462695,0.22106
"SPCA","Int-Euclidean","raw","raw",0.968672428298279,0.0471896876991714,0.967537324684255,0.0505342800677814,0.46067,0.219835
"V-PCA","Int-Euclidean","raw","raw",0.965792300828553,0.0526591969407266,0.964341749700304,0.0567917334850961,0.461895,0.22036
"C-PCA","Wasserstein","raw","raw",0.965809445506692,0.0526937157425112,0.964432693962808,0.0566933496662533,0.46315,0.2231
"IMDS","Wasserstein","raw","raw",0.558428393881453,0.0362624219247929,0.56313200351139,0.0412233542416545,0.04364,0.00026
"Int-UMAP","Wasserstein","raw","raw",0.845472268961122,0.0178235818992989,0.901884171090663,0.00735309393169073,0.47798,-0.021005
"MR-PCA","Wasserstein","raw","raw",0.968721281070746,0.0471482217973231,0.967464636955048,0.0507650828562173,0.463065,0.2221
"SPCA","Wasserstein","raw","raw",0.968724662205226,0.0471606564690886,0.96755723539484,0.0505984124620145,0.461775,0.223375
"V-PCA","Wasserstein","raw","raw",0.965805742511154,0.0527005736137667,0.964428196302455,0.0567023482112348,0.463175,0.223055
"C-PCA","Centers-Euclidean","std","raw",0.947734703632887,0.0760616826003824,0.947978362945494,0.082118348271626,0.47558,0.156185
"IMDS","Centers-Euclidean","std","raw",0.550488221797323,0.0166616188655195,0.555419992097965,0.0188809420038039,0.04391,-0.00094
"Int-UMAP","Centers-Euclidean","std","raw",0.848331516889739,0.0144950796685787,0.903876524570775,0.00567628963791039,0.485145,-0.016385
"MR-PCA","Centers-Euclidean","std","raw",0.947734703632887,0.0760616826003824,0.947978362945494,0.082118348271626,0.47558,0.156185
"SPCA","Centers-Euclidean","std","raw",0.947734703632887,0.0760616826003824,0.947978362945494,0.082118348271626,0.47558,0.156185
"V-PCA","Centers-Euclidean","std","raw",0.947692782026769,0.0761411408540472,0.947956706221198,0.0821592976264381,0.47558,0.156055
"C-PCA","Hausdorff","std","raw",0.947555525812619,0.0762772976418101,0.947809221570202,0.0822969665106902,0.475025,0.154295
"IMDS","Hausdorff","std","raw",0.560586934353091,0.0472151816443595,0.56649601937534,0.051767018692783,0.041695,0.00013
"Int-UMAP","Hausdorff","std","raw",0.847562855321861,0.0145503887826641,0.90311116134755,0.00523553088216704,0.483715,-0.017355
"MR-PCA","Hausdorff","std","raw",0.947602170172084,0.0764086615678776,0.947827313998084,0.0823620773362226,0.473795,0.1554
"SPCA","Hausdorff","std","raw",0.947555525812619,0.0762772976418101,0.947809221570202,0.0822969665106902,0.475025,0.154295
"V-PCA","Hausdorff","std","raw",0.94751971637986,0.0763442128744423,0.947792736072876,0.0823257806629077,0.474995,0.15417
"C-PCA","Ichino-Yaguchi","std","raw",0.947729225621415,0.0760686743148502,0.947941873851991,0.0821831072331089,0.47555,0.15647
"IMDS","Ichino-Yaguchi","std","raw",0.565909869343531,0.054638884639898,0.571287392701126,0.0601057448325006,0.042935,9e-04
"Int-UMAP","Ichino-Yaguchi","std","raw",0.848857061822817,0.0142631994901211,0.90455969320587,0.00514330968693644,0.486225,-0.01883
"MR-PCA","Ichino-Yaguchi","std","raw",0.947721848311026,0.0760793626513703,0.947896315270905,0.0822430672094369,0.47549,0.155855
"SPCA","Ichino-Yaguchi","std","raw",0.947729225621415,0.0760686743148502,0.947941873851991,0.0821831072331089,0.47555,0.15647
"V-PCA","Ichino-Yaguchi","std","raw",0.947692680050988,0.0761375462077757,0.947924443692966,0.0822156451170728,0.475555,0.15633
"C-PCA","Int-Euclidean","std","raw",0.947971067558955,0.0760465965583174,0.948069086976296,0.0822916959794301,0.47622,0.162285
"IMDS","Int-Euclidean","std","raw",0.533955200764818,0.00121329509241554,0.537516147430278,0.00438632570885879,0.033965,-0.00047
"Int-UMAP","Int-Euclidean","std","raw",0.848477010834927,0.0142948374760994,0.903294656427799,0.00624038479090229,0.48461,-0.013825
"MR-PCA","Int-Euclidean","std","raw",0.947734515615041,0.0759486233269599,0.947916488405998,0.0821079014296167,0.47513,0.15393
"SPCA","Int-Euclidean","std","raw",0.947971067558955,0.0760465965583174,0.948069086976296,0.0822916959794301,0.47622,0.162285
"V-PCA","Int-Euclidean","std","raw",0.947940905035054,0.0761031612492033,0.94805976479674,0.0823084335972292,0.476195,0.16218
"C-PCA","Wasserstein","std","raw",0.947733196303378,0.076065729764181,0.947954879545142,0.0821640619719502,0.47558,0.1563
"IMDS","Wasserstein","std","raw",0.557643381134481,0.0360839834289356,0.562645484964382,0.0405203195581684,0.04308,0.00089
"Int-UMAP","Wasserstein","std","raw",0.848346188655194,0.0142807775653282,0.903983129884074,0.00520454350819316,0.485285,-0.01792
"MR-PCA","Wasserstein","std","raw",0.947736000637349,0.0760613448056087,0.947945780105057,0.0821773319235229,0.47555,0.156305
"SPCA","Wasserstein","std","raw",0.947733196303378,0.076065729764181,0.947954879545142,0.0821640619719502,0.47558,0.1563
"V-PCA","Wasserstein","std","raw",0.94769701402167,0.076134678138942,0.947942510266931,0.0821871262249477,0.47556,0.156145
"C-PCA","Centers-Euclidean","raw","std",0.917308518164436,0.119354219247929,0.919581046298045,0.126506289078353,0.35905,0.09416
"IMDS","Centers-Euclidean","raw","std",0.603624563416189,-0.0629870363288719,0.612490456228235,-0.0758546568867039,0.05084,-0.00469
"Int-UMAP","Centers-Euclidean","raw","std",0.853155446144041,0.0244948056086679,0.909088871436855,0.0159236899160852,0.511955,-0.032805
"MR-PCA","Centers-Euclidean","raw","std",0.914675073295092,0.122922931803697,0.917647936254357,0.129250183169586,0.35128,0.09309
"SPCA","Centers-Euclidean","raw","std",0.915035315487572,0.122206118546845,0.918132762781482,0.128265481037248,0.350755,0.09275
"V-PCA","Centers-Euclidean","raw","std",0.917303161249203,0.119369496494583,0.919571824988003,0.126527320126767,0.359045,0.09412
"C-PCA","Hausdorff","raw","std",0.916640334608031,0.119571912045889,0.918987320525963,0.126742887016762,0.356905,0.088775
"IMDS","Hausdorff","raw","std",0.610781969407266,-0.0193581134480561,0.621157567503801,-0.0330439351623679,0.050415,-0.00178
"Int-UMAP","Hausdorff","raw","std",0.852241701720841,0.0237327214786488,0.907991046006325,0.0146341856681442,0.508695,-0.03429
"MR-PCA","Hausdorff","raw","std",0.914390726577438,0.122837973231358,0.917109679285186,0.129676355019063,0.34964,0.093025
"SPCA","Hausdorff","raw","std",0.91456293499044,0.122121332058636,0.917677133336268,0.12831266772846,0.34891,0.08855
"V-PCA","Hausdorff","raw","std",0.916640586360739,0.119575717017208,0.918994088925362,0.126732599486402,0.3569,0.08876
"C-PCA","Ichino-Yaguchi","raw","std",0.917315162523901,0.119358215423837,0.919567684271214,0.126560871951716,0.3591,0.094425
"IMDS","Ichino-Yaguchi","raw","std",0.618499091778203,-0.0157266475462078,0.627871692255306,-0.0264720641218087,0.05145,-0.001405
"Int-UMAP","Ichino-Yaguchi","raw","std",0.853894104525175,0.0239889738687062,0.910085023280467,0.0149398878088417,0.51358,-0.03534
"MR-PCA","Ichino-Yaguchi","raw","std",0.914658291905672,0.122889572976418,0.917480812486853,0.129461530173167,0.350855,0.093725
"SPCA","Ichino-Yaguchi","raw","std",0.915037189292543,0.122218776290631,0.918096413837364,0.128365348603095,0.35075,0.093075
