"Method","Metric","dataset.mean","dataset.sd","dataset.mcse","dQ_TC.mean","dQ_TC.sd","dQ_TC.mcse","dB_TC.mean","dB_TC.sd","dB_TC.mcse","dQ_RE.mean","dQ_RE.sd","dQ_RE.mcse","dB_RE.mean","dB_RE.sd","dB_RE.mcse","dQ_LC.mean","dQ_LC.sd","dQ_LC.mcse","dB_LC.mean","dB_LC.sd","dB_LC.mcse","flip_TC.mean","flip_TC.sd","flip_TC.mcse","flip_RE.mean","flip_RE.sd","flip_RE.mcse","flip_LC.mean","flip_LC.sd","flip_LC.mcse"
"C-PCA","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMDS","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Int-UMAP","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MR-PCA","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPCA","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V-PCA","Centers-Euclidean",50.5,29.011491975882,2.9011491975882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C-PCA","Hausdorff",50.5,29.011491975882,2.9011491975882,0.120436435907859,0.00532842535935129,0.000532842535935129,0.0759714322493225,0.00894161597612156,0.000894161597612156,0.127763514004163,0.00487007113467684,0.000487007113467684,0.0909222000856835,0.00921214942569604,0.000921214942569604,0.1166069,0.0118110800526498,0.00118110800526498,0.03407805,0.0109547531286007,0.00109547531286007,0.0277,0.0909418173417166,0.00909418173417166,0.0238,0.0875569655836828,0.00875569655836828,0.3453,0.0980152018718515,0.00980152018718515
"IMDS","Hausdorff",50.5,29.011491975882,2.9011491975882,0.00546959471544716,0.000915529874621222,9.15529874621222e-05,0.00922638075880759,0.00265790669753585,0.000265790669753585,0.00631857728175994,0.00138388601693972,0.000138388601693972,0.0114571470103916,0.00327102184819217,0.000327102184819217,0.00518625,0.00140262531174634,0.000140262531174634,0.0050881,0.00152317746367867,0.000152317746367867,0.3495,0.151359996316228,0.0151359996316228,0.3488,0.155162215540102,0.0155162215540102,0.4403,0.155657322411129,0.0155657322411129
"Int-UMAP","Hausdorff",50.5,29.011491975882,2.9011491975882,0.157400919241192,0.00650737419026309,0.000650737419026309,0.061110172899729,0.0109358854198543,0.00109358854198543,0.169734570960507,0.00626107827055449,0.000626107827055449,0.0739601888118109,0.0117589836864833,0.00117589836864833,0.27657435,0.0222113410795708,0.00222113410795708,0.0234551,0.0111841641289202,0.00111841641289202,0.8393,0.36817116956792,0.036817116956792,0.9591,0.196787815792656,0.0196787815792656,0.6401,0.151113677191522,0.0151113677191522
"MR-PCA","Hausdorff",50.5,29.011491975882,2.9011491975882,0.0118403348238482,0.00467652382460628,0.000467652382460628,0.0101778127371274,0.00369732299279072,0.000369732299279072,0.0148304362249081,0.0060945844563804,0.00060945844563804,0.013400753436935,0.00415820678369953,0.000415820678369953,0.00738845,0.00303244156846618,0.000303244156846618,0.00606345,0.00230665229184083,0.000230665229184083,0.2338,0.26939055797721,0.026939055797721,0.2289,0.239021130886165,0.0239021130886165,0.4763,0.11915235133342,0.011915235133342
