"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","Q_TC_spread","B_TC_spread","Q_RE_spread","B_RE_spread","Q_LC_spread","B_LC_spread","rep"
"C-PCA","Centers-Euclidean",10,0.887151950790861,0.0907016520210896,0.885670080764919,0.100140954425828,0.278,0.0617933333333333,4.68658465135885e-06,9.37316930282872e-06,7.95920319229815e-06,1.58877025436266e-05,0,0.000333333333333352,1
"C-PCA","Centers-Euclidean",20,0.887991045145331,0.0758702535559678,0.879911752782541,0.0936561778200906,0.386,0.0859666666666667,1.85528756957432e-06,3.71057513914863e-06,7.05945267198693e-06,1.17120576930696e-05,0,0.000333333333333352,1
"C-PCA","Centers-Euclidean",40,0.895641433542102,0.0588677383437718,0.873490987902372,0.0865465347146799,0.515083333333333,0.0992833333333333,1.56576200416314e-06,2.43562978430312e-06,6.44595242882406e-06,9.74440900677886e-06,0,0.000416666666666676,1
"C-PCA","Centers-Euclidean",5,0.8863400456621,0.108581735159817,0.889988935370885,0.107608575108071,0.194,0.0335866666666667,6.84931506844677e-06,1.1415525114078e-05,1.08275709329586e-05,1.96044655527416e-05,0,0.000666666666666663,1
"C-PCA","Hausdorff",10,0.906941476274165,0.0714691739894552,0.908390583960958,0.0760711636433362,0.32,0.0521733333333333,4.68658465146987e-06,5.85823081422632e-06,9.40688929718103e-06,1.34805214064837e-05,0,0.00100000000000003,1
"C-PCA","Hausdorff",20,0.904607173778602,0.0631387507730365,0.901318717028922,0.0722055215483024,0.42259,0.06375,1.85528756957432e-06,4.32900432900674e-06,8.10590910793607e-06,1.13863405723641e-05,0.000166666666666704,0.000833333333333325,1
"C-PCA","Hausdorff",40,0.905427494780793,0.0540636325678496,0.892720968924022,0.0682678211765779,0.541083333333333,0.0838733333333333,1.21781489226258e-06,2.08768267229154e-06,6.98334175186499e-06,1.02790968207478e-05,0,0.000416666666666676,1
"C-PCA","Hausdorff",5,0.913354178082192,0.0766439726027397,0.914971316780274,0.0791530444340544,0.244,0.0323466666666667,1.02739726027812e-05,1.59817351598202e-05,1.47648694539537e-05,2.05887901829904e-05,0,0.00200000000000002,1
"C-PCA","Ichino-Yaguchi",10,0.895460339777387,0.0783147978910369,0.894158761824625,0.087807703931458,0.299946666666667,0.0608133333333333,2.63620386642405e-05,5.74106619800618e-05,8.71313600895318e-05,0.000182443758622988,0.000666666666666649,0.00166666666666668,1
"C-PCA","Ichino-Yaguchi",20,0.894116623376623,0.0668669635126778,0.887853002622188,0.0822555587503887,0.40314,0.08288,7.79220779220102e-05,0.000150278293135409,8.70642659298593e-05,0.000155271490223347,0.000333333333333297,0.00100000000000003,1
"C-PCA","Ichino-Yaguchi",40,0.898319331941545,0.0556371746694503,0.880291331965143,0.0770594896034497,0.52125,0.0895233333333333,5.04523312438998e-06,9.04662491285624e-06,6.63995336974699e-05,0.000129387795515315,0,0.000500000000000028,1
"C-PCA","Ichino-Yaguchi",5,0.896052465753425,0.0937074885844749,0.898686081649728,0.0947739531297422,0.214,0.0397333333333333,2.62557077624903e-05,5.02283105022761e-05,0.000112336048428752,0.000215485066975066,0,0.00200000000000001,1
"C-PCA","Int-Euclidean",10,0.913537492677212,0.0484542003514938,0.90157810654939,0.0743327328276104,0.324666666666667,0.05552,4.10076156998063e-06,5.85823081422632e-06,8.09276490087996e-06,1.51784438157387e-05,0,0.000333333333333352,1
"C-PCA","Int-Euclidean",20,0.911381273964131,0.0419302659245516,0.897030084958983,0.0673673005672367,0.428833333333333,0.0629966666666667,2.47371675943242e-06,6.18429189858105e-06,6.04269999315843e-06,1.18407332046211e-05,0,0.000333333333333352,1
"C-PCA","Int-Euclidean",40,0.911297720946416,0.0387592971468337,0.88972637334827,0.0629265011512953,0.543583333333333,0.067715,1.04384133614577e-06,2.08768267229154e-06,5.26923927579581e-06,1.03775151017865e-05,0,0.000416666666666704,1
"C-PCA","Int-Euclidean",5,0.911642785388128,0.06416,0.902419471581728,0.0855263922041489,0.249093333333333,0.0503733333333333,6.84931506855779e-06,1.59817351598202e-05,8.16169172601633e-06,2.40339263889167e-05,0.000666666666666649,0.000666666666666663,1
