"Method","Metric","Q_TC.mean","Q_TC.sd","Q_TC.mcse","Q_TC.q025","Q_TC.q975","B_TC.mean","B_TC.sd","B_TC.mcse","B_TC.q025","B_TC.q975","Q_RE.mean","Q_RE.sd","Q_RE.mcse","Q_RE.q025","Q_RE.q975","B_RE.mean","B_RE.sd","B_RE.mcse","B_RE.q025","B_RE.q975","Q_LC.mean","Q_LC.sd","Q_LC.mcse","Q_LC.q025","Q_LC.q975","B_LC.mean","B_LC.sd","B_LC.mcse","B_LC.q025","B_LC.q975"
"C-PCA","Centers-Euclidean",0.901593867955477,0.0168142494200844,0.00168142494200844,0.867382993848858,0.930985113063855,0.0800617591095489,0.016940111555332,0.0016940111555332,0.0516785940246046,0.117028845342706,0.897017119112941,0.0155602497335509,0.00155602497335509,0.863956617080731,0.925001851448523,0.0917689680478943,0.0175310626059404,0.00175310626059404,0.0605686530086771,0.132209535070157,0.305485066666667,0.027713669231718,0.0027713669231718,0.262108333333333,0.3643,0.0608838666666667,0.0108104962579112,0.00108104962579112,0.0397211666666667,0.0798233333333333
"IMDS","Centers-Euclidean",0.543974133919156,0.0114053476756772,0.00114053476756772,0.524208927357938,0.569846731107206,-0.0444049656707674,0.0188093928392686,0.00188093928392686,-0.0946003684827182,-0.017792935559461,0.543203976342537,0.0121007835533982,0.00121007835533982,0.520253010789483,0.569590546527987,-0.0545731536068646,0.0205032595880521,0.00205032595880521,-0.108774455182601,-0.0257542285552477,0.0537533333333333,0.00679808932026382,0.000679808932026382,0.0435721666666667,0.0670705,-0.000366466666666667,0.00411194318142563,0.000411194318142563,-0.00709716666666667,0.008259
"Int-UMAP","Centers-Euclidean",0.798039039484476,0.0311059518362251,0.00311059518362251,0.741071535735208,0.857539857059168,0.0340701267721148,0.02944681454926,0.002944681454926,-0.010350654950205,0.101360319273579,0.8194227011196,0.0265134633354804,0.00265134633354804,0.769719924304285,0.86979686068539,0.0439932645011555,0.0285056961830711,0.00285056961830711,0.0017648673839698,0.103781614498538,0.294236333333333,0.0286455356520805,0.00286455356520805,0.242876,0.3447625,0.017482,0.0115383875381667,0.00115383875381667,-0.0033445,0.0379941666666666
"MR-PCA","Centers-Euclidean",0.901593869595782,0.0168142649998617,0.00168142649998617,0.867382824545987,0.930985096660808,0.080061778324546,0.0169400493709708,0.00169400493709708,0.0516784885764499,0.117029126537785,0.897017076139999,0.0155602940448173,0.00155602940448173,0.863956388066922,0.925001945564239,0.0917689706138143,0.0175311095615329,0.00175311095615329,0.0605679057032845,0.13220967522091,0.305486466666667,0.0277143194736542,0.00277143194736542,0.262108333333333,0.3643,0.0608780666666667,0.0108170741408986,0.00108170741408986,0.0397186666666667,0.0798213333333333
"SPCA","Centers-Euclidean",0.901593874399531,0.0168142699745219,0.00168142699745219,0.867382603104862,0.930985200351494,0.0800617673110721,0.0169400586321298,0.00169400586321298,0.0516786631517282,0.117028843585237,0.897017112854117,0.0155602929829122,0.00155602929829122,0.863956456060194,0.925002226898545,0.091769019716625,0.0175311814971529,0.00175311814971529,0.0605683571579788,0.132209421313194,0.305486733333333,0.027713617449535,0.0027713617449535,0.262108333333333,0.3643,0.0608772,0.0108094788257736,0.00108094788257736,0.0397268333333333,0.079781
"V-PCA","Centers-Euclidean",0.901530023432923,0.0167992529975249,0.00167992529975249,0.867536117750439,0.931029632688928,0.0801201049794962,0.0168753481729952,0.00168753481729952,0.0515518523725835,0.116290845928529,0.896956936366904,0.0155518486634378,0.00155518486634378,0.864496151305381,0.925190037891226,0.091825914524191,0.0174727999366908,0.00174727999366908,0.0602172174482867,0.131037122180409,0.305356666666667,0.027914538030309,0.0027914538030309,0.262025,0.364546666666667,0.0609894666666667,0.0108196775130302,0.00108196775130302,0.0395026666666667,0.0804635
"C-PCA","Hausdorff",0.919816835266549,0.0138578597033777,0.00138578597033777,0.892524010837727,0.943402718804921,0.062969831751611,0.0133389131638018,0.00133389131638018,0.0399525577035735,0.0940426385471587,0.917431925837175,0.012842784574895,0.0012842784574895,0.894655308983115,0.940797884913714,0.0712625439259129,0.0146650510232522,0.00146650510232522,0.046276680977727,0.103073167014464,0.358312266666667,0.0276572302713157,0.00276572302713157,0.31375,0.415183333333333,0.0638432666666667,0.0104053088623435,0.00104053088623435,0.04496,0.0840616666666666
"IMDS","Hausdorff",0.550617800234329,0.0132490302443033,0.00132490302443033,0.52669731370826,0.579566348564733,-0.0388493143526655,0.0163421515571427,0.00163421515571427,-0.0780262249560633,-0.0118609250146456,0.549754290351794,0.0139589829487192,0.00139589829487192,0.524107526163127,0.579072777575772,-0.047640934648256,0.0170949071992009,0.00170949071992009,-0.0884432357995119,-0.0189111215737008,0.0558755333333333,0.00683681406332481,0.000683681406332481,0.0451583333333333,0.068875,-0.0003312,0.00348888629994114,0.000348888629994114,-0.006175,0.00763966666666665
"Int-UMAP","Hausdorff",0.805885884124194,0.0296667583255486,0.00296667583255486,0.754733256004687,0.861399238722906,0.0263529497363796,0.0244318893585884,0.00244318893585884,-0.0107533063854716,0.0871083807850028,0.831612645191479,0.0244795854051046,0.00244795854051046,0.788461415483916,0.878385336932437,0.0242131799946667,0.0218122085848476,0.00218122085848476,-0.00918451243298311,0.0744005286403126,0.3042398,0.0250250427291535,0.00250250427291535,0.25865,0.348033333333333,0.0003938,0.0103436826745955,0.00103436826745955,-0.0197515,0.0189663333333333
"MR-PCA","Hausdorff",0.906795303339192,0.01624893498014,0.001624893498014,0.876730831868776,0.938639743116579,0.0709172269478617,0.0149847117794473,0.00149847117794473,0.0420901388400703,0.101147885764499,0.9049941005058,0.0148370553703719,0.00148370553703719,0.877936602023184,0.936264190036128,0.0780645310883299,0.0154725159626965,0.00154725159626965,0.0461130067327383,0.107035327875572,0.322171,0.0308121794009907,0.00308121794009907,0.269583333333333,0.389936333333333,0.0570283333333333,0.0104370601609645,0.00104370601609645,0.0375848333333333,0.0779105
