"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"nullproj","Int-Euclidean",0.255,0.355,0.19,0.68,0.425,0.71,1,"raw"
"nullproj","Hausdorff",0.345,0.55,0.37,0.905,0.615,0.675,1,"raw"
"nullproj","Ichino-Yaguchi",0.175,0.965,0.16,0.585,0.53,0.685,1,"raw"
"nullproj","Wasserstein",0.2,0.745,0.225,0.835,0.505,0.69,1,"raw"
"nullproj","Centers-Euclidean",0.085,0.86,0.16,0.52,0.535,0.56,1,"raw"
"nullproj","Int-Euclidean",0.8,0.91,0.67,0.995,0.93,1,1,"minP"
"nullproj","Hausdorff",0.9,0.995,0.905,1,0.995,1,1,"minP"
"nullproj","Ichino-Yaguchi",0.65,1,0.61,0.99,0.965,1,1,"minP"
"nullproj","Wasserstein",0.705,1,0.72,1,0.965,1,1,"minP"
"nullproj","Centers-Euclidean",0.38,1,0.61,0.975,0.965,0.985,1,"minP"
"nullproj","Int-Euclidean",0.85,0.39,0.95,0.905,0.545,0.875,2,"raw"
"nullproj","Hausdorff",0.865,0.035,0.68,0.24,0.77,1,2,"raw"
"nullproj","Ichino-Yaguchi",0.925,0.015,0.875,0.225,0.845,0.89,2,"raw"
"nullproj","Wasserstein",0.92,0.03,0.9,0.335,0.775,0.675,2,"raw"
"nullproj","Centers-Euclidean",0.515,0.755,0.645,0.165,0.41,0.3,2,"raw"
"nullproj","Int-Euclidean",1,0.95,1,1,0.955,1,2,"minP"
"nullproj","Hausdorff",1,0.175,1,0.77,1,1,2,"minP"
"nullproj","Ichino-Yaguchi",1,0.08,1,0.75,1,1,2,"minP"
"nullproj","Wasserstein",1,0.16,1,0.91,1,0.99,2,"minP"
"nullproj","Centers-Euclidean",0.98,1,1,0.655,0.895,0.835,2,"minP"
"nullproj","Int-Euclidean",0.025,0.06,0.005,0.07,0.16,0.885,3,"raw"
"nullproj","Hausdorff",0.065,0.865,0.045,0.24,0.235,0.545,3,"raw"
"nullproj","Ichino-Yaguchi",0.1,0.83,0.085,0.145,0.425,0.78,3,"raw"
"nullproj","Wasserstein",0.075,0.875,0.07,0.19,0.16,0.02,3,"raw"
"nullproj","Centers-Euclidean",0.42,0.72,0.3,0.7,0.535,0.515,3,"raw"
